"brand","sku","product_name","supplier_cost","product_description_html"
"Columbia Tools","13HS","Columbia Finishing 13"" X 13"" Hawk",27.99,"<h3 data-ogsc="""">Finishing Hawk</h3> <p data-start=""0"" data-end=""251"">Introducing the Columbia Finishing Hawk—crafted for professional drywall finishers who demand precision, comfort, and control. Designed for smooth gliding while working with a trowel or knife, this 13” hawk is built to elevate your finishing workflow.</p> <p data-start=""253"" data-end=""532"">Made from high-quality aluminum with milled grooves for enhanced grip and material control, it features round corners for safety and smoother handling. The ergonomic, replaceable cork handle and rubber cover offer superior comfort and reduced fatigue during long days on the job.</p> <p data-start=""534"" data-end=""632"" data-is-last-node="""" data-is-only-node="""">Proudly 100% made in Poland, the Columbia Finishing Hawk is a trusted tool for flawless finishing.</p> <p data-ogsc=""""><strong>Available Size:</strong></p> <ul> <li> <p data-ogsc="""">13”</p> </li> </ul> <p data-ogsc=""""><strong>Key Features:</strong></p> <ul class=""last-child""> <li> <p data-ogsc="""">Round Corners</p> </li> <li> <p data-ogsc="""">High-Quality Aluminum Plate</p> </li> <li> <p data-ogsc="""">Milled Grooves</p> </li> <li> <p data-ogsc="""">Ergonomic &amp; Replaceable Cork Handle</p> </li> <li> <p data-ogsc="""">Rubber Cover</p> </li> <li> <p data-ogsc="""">100% Made in Poland</p> </li> </ul>"
"Columbia Tools","14FFB","Columbia 14"" Flat Box",264.05,"<p>Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5” specialty box to our 14” they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been being told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Flat Box we make exceeds your expectations.</p> <p>Features:</p> <ul> <li>Available in 5.5″, 7″, 8″, 10″, 12″ and now 14″ sizes</li> <li>Manual sweeping grip for tight spaces when you cannot actuate the box handle (not on the 5.5″ box)</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","14FFBA","Columbia 14"" Automatic Flat Box",289.14,"<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p> <p>Features:</p> <ul> <li>Available in 8″, 10″, 12″ &amp; 14″ regular and 8″, 10″ &amp; 12″ Fat Boy sizes</li> <li>Engaging axel creates pressure on mud release</li> <li>Over 50% easier to push</li> <li>Great for vertical flats</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","25AH","Columbia 2.5″ Anglehead",277.45,"<p>The Columbia 2.5″ Angleheads are a tool we are especially proud of. They stand atop our overbuilt lineup of products with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great corner. They run like they are on ice and leave a finish that is ready to paint.</p> <p>Features:</p> <ul> <li>Precision set carbide blades</li> <li>Highly durable stainless wings</li> <li>Comes with wheel kit installed and Allan key for easy removal</li> <li>Slide lock for easy and secure attachment</li> <li>Four sizes available – 2″, 2.5″, 3″ and 3.5″</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","25CSF","Columbia 2.5"" Combo Flusher",117.01,"<p>Columbia Combo Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>4 designs: 2.5″, 3″, 3.5″ &amp; wide track</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","25DF","Columbia 2.5"" Direct Corner Flusher",76.37,"<p>Columbia Direct Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>5 designs: 2.5″, 3″, 3.5″, 4″ and wide track</li> <li>Wheels come standard</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","25SF","Columbia 2.5"" Standard Corner Flusher",70.2,"<p>Columbia Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>5 designs: 2.5″, 3″, 3.5″, 4″ and wide track</li> <li>Wheels come standard</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","2AH","Columbia 2″ Anglehead",268.93,"<p>The Columbia 2″ Angleheads are a tool we are especially proud of. They stand atop our overbuilt lineup of products with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great corner. They run like they are on ice and leave a finish that is ready to paint.</p> <p>Features:</p> <ul> <li>Precision set carbide blades</li> <li>Highly durable stainless wings</li> <li>Comes with wheel kit installed and Allan key for easy removal</li> <li>Slide lock for easy and secure attachment</li> <li>Four sizes available – 2″, 2.5″, 3″ and 3.5″</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","2NS","Columbia 2″ Nailspotter",189.8,"<p>The Columbia 2″ Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for swivel tension. By far the best Nailspotter on the market.</p> <p>Features:</p> <ul> <li>Available in 2″ and 3″ sizes</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","35AH","Columbia 3.5″ Anglehead",320.14,"<p>The Columbia 3.5″ Angleheads are a tool we are especially proud of. They stand atop our overbuilt lineup of products with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great corner. They run like they are on ice and leave a finish that is ready to paint.</p> <p>Features:</p> <ul> <li>Precision set carbide blades</li> <li>Highly durable stainless wings</li> <li>Comes with wheel kit installed and Allan key for easy removal</li> <li>Slide lock for easy and secure attachment</li> <li>Four sizes available – 2″, 2.5″, 3″ and 3.5″</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","35CSF","Columbia 3.5"" Combo Flusher",124.38,"<p>Columbia Combo Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>4 designs: 2.5″, 3″, 3.5″ &amp; wide track</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","35DF","Columbia 3.5"" Direct Corner Flusher",83.75,"<p>Columbia Direct Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>5 designs: 2.5″, 3″, 3.5″, 4″ and wide track</li> <li>Wheels come standard</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","35SF","Columbia 3.5"" Standard Corner Flusher",77.59,"<p>Columbia Standard Corner Flushers have redefined angle finishing. They are built from the best materials, but above all, they are each hand ground and checked on a granite plate for perfection. Each one comes with wheels and an allen key for those who prefer not to use them.</p> <p>Features:</p> <ul> <li>Precision hand ground and set</li> <li>5 designs: 2.5″, 3″, 3.5″, 4″ and wide track</li> <li>Wheels come standard</li> <li>Hand made from U.S. aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","3AH","Columbia 3″ Anglehead",285.99,"<p>The Columbia 3″ Angleheads are a tool we are especially proud of. They stand atop our overbuilt lineup of products with their beautiful looks and construction. But above all their beauty, in the corner is all that matters, and they do not disappoint. Whether you are running behind the Corner Roller or skimming on a Corner Box these tools deliver great corner. They run like they are on ice and leave a finish that is ready to paint.</p> <p>Features:</p> <ul> <li>Precision set carbide blades</li> <li>Highly durable stainless wings</li> <li>Comes with wheel kit installed and Allan key for easy removal</li> <li>Slide lock for easy and secure attachment</li> <li>Four sizes available – 2″, 2.5″, 3″ and 3.5″</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","3BBH","Columbia 36"" 180-Grip Bent Flat Box Handle",153.0,"<p>Columbia 36"" 180-Grip Bent Box Handle allows for a full braking capability over the entire 180º angle span. Grips the axle with a tremendous amount of pressure to eliminates the possibility of slippage when dealing with difficult angle situations. As a result, this produces cleaner, quicker and more efficient application of joint compound. A very versatile design that provides the best possible braking at any angle. The bent handle design adds necessary leverage in all situations, and truly excels on butt-joints and headers.&nbsp;</p> <p>Extra strong billet aluminum design for years of rugged usage. Less moving parts mean less breakdowns. Everything you want in a box handle. Bent handle ergonomics combined with a standard 3/4"" tube - helps you achieve the perfect balance, and perfect finish with less effort.</p> <p>Features:</p> <ul> <li>Bent ergonomic design increases leverage and requires less effort to push</li> <li>Clamp style 180 brake is simple and more durable than pinch brakes</li> <li>Strong billet aluminum design with black anodizing, and laser engraving</li> <li>Additional braking, control, and range of motion versus competitor handles</li> <li>Compatible with all leading brand boxes (Excluding TapeWorm).</li> <li>36"" 180-Grip Bent Box Handle is ideal for wall work, butt joints, and ceilings</li> </ul>"
