Type,SKU,Name,Brand,MPN,UPC,Category,Cost,Min Margin Percent,Original Price,Current Price,Is Part,Parent SKU,Pricing Strategy,Strategy Mode,Status
part,3BH,Columbia 180° Grip Flat Box Handle - 3',Columbia Taping Tools,3BH,,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,113.10,35,174.00,174.00,1,COL-180-GRIP-FLAT-BOX-HANDLE,undercut,auto,Needs Attention
part,42BH,"Columbia 180° Grip Flat Box Handle - 42""",Columbia Taping Tools,42BH,,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,113.75,35,175.00,175.00,1,COL-180-GRIP-FLAT-BOX-HANDLE,undercut,auto,Needs Attention
part,4BH,Columbia 180° Grip Flat Box Handle - 4',Columbia Taping Tools,4BH,,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,114.40,35,176.00,176.00,1,COL-180-GRIP-FLAT-BOX-HANDLE,undercut,auto,Needs Attention
part,5BH,Columbia 180° Grip Flat Box Handle - 5',Columbia Taping Tools,5BH,,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,115.05,35,177.00,177.00,1,COL-180-GRIP-FLAT-BOX-HANDLE,undercut,auto,Needs Attention
part,6BH,Columbia 180° Grip Flat Box Handle - 6',Columbia Taping Tools,6BH,,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,115.70,35,178.00,178.00,1,COL-180-GRIP-FLAT-BOX-HANDLE,undercut,auto,Needs Attention
part,2AH,"Columbia Angle Head - 2""",Columbia Taping Tools,2AH,,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,232.70,35,358.00,358.00,1,COL-ANGLE-HEAD,undercut,auto,Needs Attention
part,2.5AH,"Columbia Angle Head - 2.5""",Columbia Taping Tools,2.5AH,,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,274.16,35,421.79,421.79,1,COL-ANGLE-HEAD,undercut,auto,Needs Attention
part,3AH,"Columbia Angle Head - 3""",Columbia Taping Tools,3AH,,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,238.55,35,367.00,367.00,1,COL-ANGLE-HEAD,undercut,auto,Needs Attention
part,3.5AH,"Columbia Angle Head - 3.5""",Columbia Taping Tools,3.5AH,,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,295.25,35,454.23,454.23,1,COL-ANGLE-HEAD,undercut,auto,Needs Attention
part,8FBBA,"Columbia Automatic Fat Boy Box - 8""",Columbia Taping Tools,8FBBA,,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,280.15,35,431.00,431.00,1,COL-AUTOMATIC-FAT-BOY-BOX,undercut,auto,Needs Attention
part,10FBBA,"Columbia Automatic Fat Boy Box - 10""",Columbia Taping Tools,10FBBA,,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,282.75,35,435.00,435.00,1,COL-AUTOMATIC-FAT-BOY-BOX,undercut,auto,Needs Attention
part,12FBBA,"Columbia Automatic Fat Boy Box - 12""",Columbia Taping Tools,12FBBA,,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,287.95,35,443.00,443.00,1,COL-AUTOMATIC-FAT-BOY-BOX,undercut,auto,Needs Attention
part,8FFBA,"Columbia Automatic Flat Box - 8""",Columbia Taping Tools,8FFBA,,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,258.05,35,397.00,397.00,1,COL-AUTOMATIC-FLAT-BOX,undercut,auto,Needs Attention
part,10FFBA,"Columbia Automatic Flat Box - 10""",Columbia Taping Tools,10FFBA,,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,260.65,35,401.00,401.00,1,COL-AUTOMATIC-FLAT-BOX,undercut,auto,Needs Attention
part,12FFBA,"Columbia Automatic Flat Box - 12""",Columbia Taping Tools,12FFBA,,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,263.25,35,405.00,405.00,1,COL-AUTOMATIC-FLAT-BOX,undercut,auto,Needs Attention
part,14FFBA,"Columbia Automatic Flat Box - 14""",Columbia Taping Tools,14FFBA,,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,265.85,35,409.00,409.00,1,COL-AUTOMATIC-FLAT-BOX,undercut,auto,Needs Attention
