sku,name,brand,product_type,current_price,map_price,gtin,mpn,manufacturer_sku,slug
FA237,"6-32 x 3/16"" Binder Slot",Columbia Tools,simple,1.00,,,FA237,,columbia-fa237-6-32-3-16-binder-slot
FA238,"6-32 X 3/16"" Fillister Slot",Columbia Tools,simple,2.00,,,FA238,,columbia-tools-6-32-x-3-16-fillister-slot-fa238
FA241,"6-32 X 3/8"" Binder Slot",Columbia Tools,simple,1.00,,,FA241,,columbia-tools-fa241-binder-slot-6-32-x-3-8
FA243,"6-32 x 3/8"" Flat Slot",Columbia Tools,simple,1.00,,,FA243,,columbia-tools-fa243-6-32-flat-slot-screw
FA231,"6-32 x 3/8"" Hex Bolt",Columbia Tools,simple,2.25,,,FA231,,columbia-tools-fa231-6-32-hex-bolt
FA247,"6-32 X 5/8"" Hex Bolt",Columbia Tools,simple,2.45,,,FA247,,columbia-tools-6-32-x-5-8-hex-bolt-fa247
FA254,8-32 Nyloc Nut,Columbia Tools,simple,2.00,,,FA254,,columbia-tools-8-32-nyloc-nut-fa254
FA267,"8-32 x 1 1/2"" Pan Slot",Columbia Tools,simple,2.85,,,FA267,,columbia-tools-8-32-x-1-1-2-pan-slot-fa267
FA262,"8-32 x 1/2"" Socket",Columbia Tools,simple,2.95,,,FA262,,columbia-tools-8-32-x-1-2-socket-fa262
FA257,"8-32 x 1/4"" Fillister Slot",Columbia Tools,simple,1.00,,,FA257,,columbia-tools-8-32-x-1-4-fillister-slot-screw-fa257
FA256,"8-32 X 3/16"" Pan Slot",Columbia Tools,simple,2.15,,,FA256,,columbia-tools-8-32-x-3-16-pan-slot-screw-fa256
FA265,"8-32 x 3/4"" Truss Slot",Columbia Tools,simple,1.00,,,FA265,,columbia-tools-8-32-x-3-4-truss-slot-fa265
FA260,"8-32 x 3/8"" Pan Slot",Columbia Tools,simple,1.00,,,FA260,,columbia-tools-8-32-x-3-8-pan-slot-screw-fa260
FA261,"8-32 X 3/8"" Socket Screw",Columbia Tools,simple,2.75,,,FA261,,columbia-tools-8-32-x-3-8-socket-screw-fa261
FA376,8-32 x 5/16 SS Socket Head,Columbia Tools,simple,2.00,,,FA376,,columbia-tools-8-32-x-5-16-ss-socket-head-fa376
FA264,"8-32 x 5/8"" Truss Slot",Columbia Tools,simple,1.00,,,FA264,,columbia-tools-8-32-x-5-8-truss-slot-fa264
FA258,8-32X 1/4 Half Dog Set,Columbia Tools,simple,2.00,,,FA258,,columbia-tools-8-32x-1-4-half-dog-set-fa258
FA249,"8-32X3/16"" Set Screw",Columbia Tools,simple,2.00,,,FA249,,columbia-tools-8-32x3-16-set-screw-fa249
FFB5-7,"Axle - 7""",Columbia Tools,variation,44.00,,,FFB5-7,,columbia-tools-axle-7-ffb5-7
FFB5-8,"Axle - 8""",Columbia Tools,variation,44.00,,,FFB5-8,,columbia-tools-axle-8-ffb5-8
FFB5-10,"Axle - 10""",Columbia Tools,variation,44.00,,,FFB5-10,,columbia-tools-ffb5-10-axle-10-inch
FFB5-12,"Axle - 12""",Columbia Tools,variation,44.00,,,FFB5-12,,columbia-tools-axle-12-ffb5-12
FFB5-14,"Axle - 14""",Columbia Tools,variation,44.00,,,FFB5-14,,columbia-tools-axle-14-ffb5-14
FFB9-5.5,"Blade - 5.5""",Columbia Tools,variation,18.75,,,FFB9-5.5,,columbia-tools-blade-5-5-ffb9-5-5
FFB9-7,"Blade - 7""",Columbia Tools,variation,22.50,,,FFB9-7,,columbia-tools-7-inch-flat-box-blade-ffb9-7
FFB9-8,"Blade - 8""",Columbia Tools,variation,24.95,,,FFB9-8,,columbia-tools-blade-8-ffb9-8
FFB9-10,"Blade - 10""",Columbia Tools,variation,28.95,,,FFB9-10,,columbia-tools-ffb9-10-blade-10-inch
FFB9-12,"Blade - 12""",Columbia Tools,variation,32.50,,,FFB9-12,,columbia-tools-12-inch-flat-box-blade-ffb9-12
FFB9-14,"Blade - 14""",Columbia Tools,variation,36.95,,,FFB9-14,,columbia-tools-ffb9-14-blade-14-inch
HNS7-2,"Blade - 2""",Columbia Tools,variation,23.00,,,HNS7-2,,columbia-tools-hinged-nailspotter-blade-2-inch-hns7-2
HNS7-3,"Blade - 3""",Columbia Tools,variation,23.00,,,HNS7-3,,columbia-tools-hinged-nailspotter-blade-3-inch-hns7-3
FFB5A,Axel Bushing,Columbia Tools,simple,3.00,,,FFB5A,,columbia-tools-axel-bushing-ffb5a
MP32,Backing Washer Locator,Columbia Tools,simple,18.95,,,MP32,,columbia-tools-backing-washer-locator-mp32
FFB8,Bar Retainer Clip,Columbia Tools,simple,2.00,,,FFB8,,columbia-tools-bar-retainer-clip-ffb8
CT103,Barrel- Main Body,Columbia Tools,simple,112.50,,,CT103,,columbia-tools-barrel-main-body-ct103
CT125A,Bearing,Columbia Tools,simple,19.95,,,CT125A,,columbia-tools-bearing-ct125a
BH24A,Bearing Sleeve,Columbia Tools,simple,4.00,,,BH24A,,columbia-tools-bearing-sleeve-bh24a
CFB16,Bearing Sleeve,Columbia Tools,simple,18.75,,,CFB16,,columbia-tools-bearing-sleeve-cfb16
CR-3,Bearing Sleeve,Columbia Tools,simple,19.99,,,CR3,,columbia-tools-cr-3-bearing-sleeve
HNS8-2,"Blade Holder - 2""",Columbia Tools,variation,33.00,,,HNS8-2,,columbia-tools-blade-holder-2-hns8-2
HNS8-3,"Blade Holder - 3""",Columbia Tools,variation,33.00,,,HNS8-3,,columbia-tools-blade-holder-3-hns8-3
AH9A,"Bottom Retainer Corner Clip - 3.5""",Columbia Tools,variation,11.50,,,AH9A,,columbia-tools-bottom-retainer-corner-clip-3-5-ah9a
AH9,Bottom Retainer Corner Clip - Standard,Columbia Tools,variation,10.00,,,AH9,,columbia-tools-bottom-retainer-corner-clip-standard-ah9
BH9-3,Brake Connecting Strap - 3',Columbia Tools,variation,27.00,,,BH9-3,,columbia-tools-brake-connecting-strap-3ft-bh9-3
BH9-42,"Brake Connecting Strap - 42""",Columbia Tools,variation,29.00,,,BH9,,columbia-brake-connecting-strap-42-bh9-42
BH9-4,Brake Connecting Strap - 4',Columbia Tools,variation,31.00,,,BH9-4,,columbia-tools-brake-connecting-strap-4ft-bh9-4
BH9-5,Brake Connecting Strap - 5',Columbia Tools,variation,33.00,,,BH9-5,,columbia-tools-brake-connecting-strap-5-foot-bh9-5
BH9-6,Brake Connecting Strap - 6',Columbia Tools,variation,35.00,,,BH9-6,,columbia-brake-connecting-strap-6-bh9-6
HH16A,Bleeder Screw,Columbia Tools,simple,17.00,,,HH16A,,columbia-tools-bleeder-screw-hh16a
HH10B,Bottom Cap,Columbia Tools,simple,2.00,,,HH10B,,columbia-tools-hydra-reach-bottom-cap-hh10b
CFB8,Box Mount,Columbia Tools,simple,44.00,,,CFB8,,columbia-tools-box-mount-cfb8
FFB36,Box Wheel,Columbia Tools,simple,5.00,,,FFB36,,columbia-tools-box-wheel-ffb36
CT87A,Bracket Brace,Columbia Tools,simple,14.50,,,CT87A,,columbia-tools-ct87a-bracket-brace
HH7,Brake,Columbia Tools,simple,22.00,,,HH7,,columbia-tools-brake-hh7-hydra-reach
MH9A,Brake Activation Rod,Columbia Tools,simple,24.00,,,MH9A,,columbia-tools-brake-activation-rod-mh9a
CT16,Brake Dog,Columbia Tools,simple,15.00,,,CT16,,columbia-tools-automatic-taper-brake-dog-ct16
HH13,Brake Pin,Columbia Tools,simple,16.00,,,HH13,,columbia-tools-brake-pin-hh13
HH14,Brake Piston,Columbia Tools,simple,17.00,,,HH14,,columbia-hh14-brake-piston-hydra-reach
MH8,Brake Rod Bushing,Columbia Tools,simple,8.00,,,MH8,,columbia-tools-mh8-brake-rod-bushing
HH12,Brake Spring,Columbia Tools,simple,5.00,,,HH12,,columbia-tools-brake-spring-hh12
HH17A,Brass Connector - 1,Columbia Tools,variation,5.00,,,HH17A,,columbia-tools-brass-connector-1-hh17a
HH17B,Brass Connector - 2,Columbia Tools,variation,5.00,,,HH17B,,columbia-tools-brass-connector-2-hh17b
CT72,Cable,Columbia Tools,simple,10.00,,,CT72,,columbia-tools-automatic-taper-cable-ct72
CT73,Cable Drum,Columbia Tools,simple,28.95,,,CT73,,columbia-tools-cable-drum-ct73
BH26,Cam,Columbia Tools,simple,21.95,,,BH26,,columbia-bh26-cam-180-grip-handle-part
BH7,Cam Follower,Columbia Tools,simple,15.00,,,BH7,,columbia-tools-bh7-cam-follower-180-grip
HH19,Cap,Columbia Tools,simple,17.00,,,HH19,,columbia-hh19-cap-hydra-reach-part
CT35,Cap Reinforcing Tab,Columbia Tools,simple,4.00,,,CT35,,columbia-tools-cap-reinforcing-tab-ct35
CT55,Carriage Guide Rod,Columbia Tools,simple,12.00,,,CT55,,columbia-tools-automatic-taper-carriage-guide-rod-ct55
CT56,Carriage Guide Rod Stop,Columbia Tools,simple,7.00,,,CT56,,columbia-ct56-carriage-guide-rod-stop
CT31,Chain Tension & Guide Bracket,Columbia Tools,simple,6.00,,,CT31,,columbia-tools-ct31-chain-tension-guide-bracket
CT83,Clutch Dog,Columbia Tools,simple,3.00,,,CT83,,columbia-tools-automatic-taper-head-clutch-dog-ct83
CT82,Clutch Lever,Columbia Tools,simple,19.75,,,CT82,,columbia-tools-automatic-taper-clutch-lever-ct82
CT88,Clutch Release Rod,Columbia Tools,simple,16.50,,,CT88,,columbia-tools-clutch-release-rod-ct88
CT85,Clutch Release Shaft,Columbia Tools,simple,40.00,,,CT85,,columbia-tools-clutch-release-shaft-ct85
CT81,Clutch Return Spring,Columbia Tools,simple,3.00,,,CT81,,columbia-tools-automatic-taper-clutch-return-spring-ct81
HH9,Coiled Hydraulic Line,Columbia Tools,simple,40.00,,,HH9,,columbia-coiled-hydraulic-line-hh9
HP44,Collar O-Ring,Columbia Tools,simple,2.00,,,HP44,,columbia-tools-hp44-collar-o-ring
CT86,CT86 – Toe Kicker Cable,Columbia Tools,simple,14.95,,,CT86,,columbia-tools-automatic-taper-head-ct86-toe-kicker-cable
FA259,"FA259 8-32 X 5/16"" Binder Slot",Columbia Tools,simple,1.00,,,FA259 8,,columbia-fa259-8-32-5-16-binder-slot
FA292,FA292 1/4-20 Nyloc Jam Nut,Columbia Tools,simple,3.15,,,FA292 1/4,,columbia-fa292-1-4-20-nyloc-jam-nut
HNS4-2,"Door - 2""",Columbia Tools,variation,33.00,,,HNS4-2,,columbia-hinged-nailspotter-door-2-inch-hns4-2
HNS4-3,"Door - 3""",Columbia Tools,variation,33.00,,,HNS4-3,,columbia-tools-hinged-nailspotter-door-3-inch
FA311,"FA311 1/4-28 X 1/2"" Socket Head",Columbia Tools,simple,2.00,,,FA311 1/4,,columbia-fa311-socket-head-screw
FA315,"FA315 10-32 X 3/8"" Flat Socket Head",Columbia Tools,simple,2.00,,,FA315 10,,columbia-fa315-10-32-3-8-flat-socket-head
PCLT42,Columbia Predator Camlock Tube,Columbia Tools,simple,368.05,368.05,,PCLT42,,columbia-predator-camlock-tube-42-pclt42
PCMT42,"Columbia Predator Compound Tube 42""",Columbia Tools,simple,274.93,274.93,,PCMT42,,columbia-predator-compound-tube-42-pcmt42
CFB5B,Cone Ball,Columbia Tools,simple,16.00,,,CFB5B,,columbia-tools-cone-ball-cfb5b
CT132,Connecting Link,Columbia Tools,simple,2.00,,,CT132,,columbia-tools-ct132-connecting-link
MH7,Connecting Link Fork,Columbia Tools,simple,29.00,,,MH7,,columbia-tools-mh7-connecting-link-fork
MH5,Connecting Link Pin,Columbia Tools,simple,5.00,,,MH5,,columbia-tools-mh5-connecting-link-pin
CT45,Connecting Rod,Columbia Tools,simple,22.95,,,CT45,,columbia-tools-ct45-connecting-rod
MH16,Connecting Rod Housing,Columbia Tools,simple,8.00,,,MH16,,columbia-tools-mh16-connecting-rod-housing
CT112,Connecting Stud,Columbia Tools,simple,11.00,,,CT112,,columbia-tools-ct112-connecting-stud
CT104,Connection Strap,Columbia Tools,simple,18.95,,,CT104,,columbia-tools-automatic-taper-connection-strap-ct104
CT105,Crimper Lever,Columbia Tools,simple,34.50,,,CT105,,columbia-tools-crimper-lever-ct105
CT10A,Crimping Arm Shaft Bushing - L,Columbia Tools,simple,13.95,,,CT10A,,columbia-tools-ct10a-crimping-arm-shaft-bushing-l
CT47,Crimping Wheel,Columbia Tools,simple,18.95,,,CT47,,columbia-tools-crimping-wheel-ct47
CT50,Crimping Wheel Bushing,Columbia Tools,simple,6.00,,,CT50,,columbia-tools-ct50-crimping-wheel-bushing
CR4,Cut Washer,Columbia Tools,simple,3.00,,,CR4,,columbia-tools-cr4-cut-washer
CT42A,Diamond Blade,Columbia Tools,simple,2.00,,,CT42A,,columbia-tools-diamond-blade-ct42a
