sku,name,brand,product_type,current_price,map_price,gtin,mpn,manufacturer_sku,slug
8FFBA,"Columbia Automatic Flat Box - 8""",Columbia Tools,variation,421.79,421.79,,8FFBA,,columbia-automatic-flat-box-8-8ffba
10FFBA,"Columbia Automatic Flat Box - 10""",Columbia Tools,variation,427.19,427.19,,10FFBA,,columbia-automatic-flat-box-10-10ffba
12FFBA,"Columbia Automatic Flat Box - 12""",Columbia Tools,variation,432.60,432.60,,12FFBA,,columbia-automatic-flat-box-12-12ffba
PTAPER,Columbia One Predator Taper,Columbia Tools,simple,1838.55,,,PTAPER,PTAPER,columbia-one-predator-carbon-fiber-taper-ptaper
TBBF,Columbia Box Filler - Tall Boy,Columbia Tools,variation,75.71,75.71,,TBBF,,columbia-box-filler-tall-boy-tbbf
CLT24,"Columbia Cam Lock Tube - 24""",Columbia Tools,variation,270.95,257.40,,CLT24,,columbia-tools-cam-lock-tube-24-clt24
2.5CSF,"Columbia Combo Flusher - 2.5""",Columbia Tools,variation,167.16,163.31,,2.5CSF,,columbia-combo-flusher-2-5-2-5csf
3WTCSF,"Columbia Combo Flusher - 3"" Widetrack",Columbia Tools,variation,122.51,,,3WTCSF,,columbia-3-widetrack-combo-flusher-3wtcsf
3.5CSF,"Columbia Combo Flusher - 3.5""",Columbia Tools,variation,181.99,181.69,,3.5CSF,,columbia-combo-flusher-3-5-inch
CMT55,"Columbia Compound Tube - 55""",Columbia Tools,variation,232.52,232.52,,CMT55,,columbia-compound-tube-55-cmt55
4DF,"Columbia Direct Flusher - 4""",Columbia Tools,variation,151.41,151.41,,4DF,,columbia-direct-flusher-4-4df
5.5FBB,"Columbia Fat Boy Flat Box - 5.5""",Columbia Tools,variation,189.95,,,5.5FBB,,columbia-fat-boy-flat-box-5-5
HMP-C,Columbia Hot Mud Pump - CDN,Columbia Tools,variation,380.00,,,HMP-C,,columbia-hot-mud-pump-cdn
CHXL,Columbia One Handle - Long Extendable 4'-8',Columbia Tools,variation,173.04,173.04,,CHXL,,columbia-one-handle-long-extendable-4-8-chxl
C1HS,Columbia One Handle - Stubby,Columbia Tools,variation,49.44,49.44,,C1HS,,columbia-one-handle-stubby-c1hs
COBCRE,Columbia Outside Corner Roller - European,Columbia Tools,variation,1.00,,,COBCRE,,columbia-outside-corner-roller-european
PMHS,"Columbia Predator Matrix Handle - Short 29""-39""",Columbia Tools,variation,384.00,379.28,,PMHS,,columbia-predator-matrix-handle-short-29-39
PMH,"Columbia Predator Matrix Handle - 40""-60""",Columbia Tools,variation,418.00,388.34,,PMH,,columbia-predator-matrix-handle-40-60
PMHL,"Columbia Predator Matrix Handle - Long 56""-76""",Columbia Tools,variation,503.00,433.14,,PMHL,,columbia-predator-matrix-handle-long-56-76
PCHXL,Columbia Predator One Handle - Long Extendable 4'-8',Columbia Tools,variation,216.15,216.15,,PCHXL,,columbia-predator-one-handle-long-extendable-4-8-pchxl
3WTSF,"Columbia Standard Flusher - 3"" Widetrack",Columbia Tools,variation,127.62,127.62,,3WTSF,,columbia-standard-flusher-3-widetrack-3wtsf
TCS,Columbia Tool Case - Gun Case,Columbia Tools,variation,201.88,201.88,,TCS,,columbia-tool-case-gun-case-tcs
OA90-325,Columbia UHMW Mud Applicator - Outside 90° 325,Columbia Tools,variation,91.93,91.93,,OA90-325,,columbia-uhmw-mud-applicator-outside-90-325
SACS,Columbia Commando Set,Columbia Tools,simple,1157.93,1157.93,,SACS,SACS,columbia-commando-set-semi-auto-finishing-kit
CPFP,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump,Columbia Tools,simple,1473.00,1249.00,,CPFP,CPFP,columbia-powerfill-3-5-pro-series-cordless-loading-pump
CPFGN,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,Columbia Tools,simple,275.00,185.00,,CPFGN,CPFGN,columbia-powerfill-5-gallon-taper-gooseneck-fill-tube-cpfgn
FA280,#10 Belleville Washer,Columbia Tools,simple,1.00,,,FA280,,columbia-tools-10-belleville-washer-fa280
FA268,#10 Flat Washer,Columbia Tools,simple,2.25,,,FA268,,columbia-tools-10-flat-washer-fa268
FA270,"#10 x 3/4"" Fender Washer",Columbia Tools,simple,2.50,,,FA270,,columbia-fa270-10-3-4-fender-washer
FA228,#6 Flat Washer,Columbia Tools,simple,1.00,,,FA228,,columbia-tools-6-flat-washer-fa228
FA229,#6 Lock Washer,Columbia Tools,simple,1.00,,,FA229,,columbia-tools-fa229-6-lock-washer
FA230,#6 Star Washer,Columbia Tools,simple,1.00,,,FA230,,columbia-tools-fa230-6-star-washer
FA253,#8 Flat Washer,Columbia Tools,simple,1.85,,,FA253,,columbia-tools-8-flat-washer-fa253
FA252,#8 Star Washer,Columbia Tools,simple,2.05,,,FA252,,columbia-tools-8-star-washer-fa252
FA202,"1/16 X 1/2"" Cotter Pin",Columbia Tools,simple,1.00,,,FA202,,columbia-tools-fa202-cotter-pin-1-16-x-1-2
FA200,"1/16 x 1/4"" Split Pin",Columbia Tools,simple,1.00,,,FA200,,columbia-tools-fa200-split-pin-1-16-1-4
FA203,"1/16 x 3/4"" Cotter Pin",Columbia Tools,simple,1.00,,,FA203,,columbia-tools-automatic-taper-head-cotter-pin-fa203
FA3,"1/2"" x 7/8"" Flat Washer",Columbia Tools,simple,2.50,,,FA308,,columbia-tools-fa308-flat-washer-1-2-x-7-8
CT109,1/4 - 20 Hex Nut,Columbia Tools,simple,6.00,,,CT109,,columbia-tools-ct109-1-4-20-hex-nut
FA296,"1/4 -20 x 1/2"" Hex Bolt",Columbia Tools,simple,3.35,,,FA296,,columbia-tools-fa296-hex-bolt-1-4-20-1-2
FA295,"1/4 x 1/2"" Flathead Socket",Columbia Tools,simple,3.45,,,FA295,,columbia-tools-fa295-flathead-socket-1-4-x-1-2
FA379,"1/4"" SS E-Clip",Columbia Tools,simple,3.25,,,FA379,,columbia-tools-1-4-ss-e-clip-fa379
FA286,"1/4"" x 1/2"" Flat Washer",Columbia Tools,simple,1.00,,,FA286,,columbia-tools-fa286-flat-washer-1-4-x-1-2
FA288,"1/4"" X 3/4"" Split Pin",Columbia Tools,simple,2.25,,,FA288,,columbia-tools-fa288-split-pin-1-4-x-3-4
FA291,1/4-20 Hex Nut,Columbia Tools,simple,2.00,,,FA291,,columbia-tools-1-4-20-hex-nut-fa291
FA299,"1/4-20 x 1 1/2"" Pan Phillips",Columbia Tools,simple,4.00,,,FA299,,columbia-tools-corner-roller-screw-fa299
FA313,1/4-20 X 1/4 Socket Head Set Screw,Columbia Tools,simple,2.00,,,FA313,,columbia-tools-fa313-1-4-20-set-screw
FA301,"1/4-20 x 2 1/4"" Hex Bolt",Columbia Tools,simple,3.00,,,FA301,,columbia-tools-fa301-hex-bolt-hot-mud-pump
FA300,"1/4-20 x 2"" Hex Bolt",Columbia Tools,simple,4.25,,,FA300,,columbia-fa300-hex-bolt-1-4-20-x-2
FA294,"1/4-20 x 38"" Socket",Columbia Tools,simple,3.25,,,FA294,,columbia-tools-fa294-socket-1-4-20-38
FA297,"1/4-20 x 5/8"" Socket",Columbia Tools,simple,2.00,,,FA297,,columbia-1-4-20-x-5-8-socket-fa297
FA298,"1/4-20 x 7/8"" Flat Socket",Columbia Tools,simple,2.85,,,FA298,,columbia-tools-fa298-1-4-20-7-8-flat-socket
FA302,"1/4-28 x 1/4"" Set Screw",Columbia Tools,simple,3.85,,,FA302,,columbia-tools-fa302-set-screw-180-grip-handle
FA320,"1/4-28-3/8"" Socket Set Screw",Columbia Tools,simple,2.00,,,FA320,,columbia-fa320-socket-set-screw-hydra-reach
HFFB14-8,"Flat Box Hinged Door Gasket - 8""",Columbia Tools,variation,16.50,,,HFFB14,,columbia-8-inch-flat-box-hinged-door-gasket-hffb14-8
HFFB14-10,"Flat Box Hinged Door Gasket - 10""",Columbia Tools,variation,42.00,,,HFFB14,,columbia-10-inch-flat-box-hinged-door-gasket-hffb14-10
HFFB14-12,"Flat Box Hinged Door Gasket - 12""",Columbia Tools,variation,42.00,,,HFFB14,,columbia-tools-flat-box-hinged-door-gasket-12
HFFB14-14,"Flat Box Hinged Door Gasket - 14""",Columbia Tools,variation,42.00,,,HFFB14,,columbia-tools-flat-box-hinged-door-gasket-14
FFB25-10,"Rubber Gasket Retainer - 10""",Columbia Tools,variation,24.95,,,FFB25,,columbia-tools-rubber-gasket-retainer-10-ffb25-10
FFB25-12,"Rubber Gasket Retainer - 12""",Columbia Tools,variation,28.50,,,FFB25,,columbia-tools-rubber-gasket-retainer-12-ffb25-12
AH3-2,"Top Blade - 2""",Columbia Tools,variation,38.95,,,AH3,,columbia-tools-top-blade-2-inch-ah3-2
AH3-2.5,"Top Blade - 2.5""",Columbia Tools,variation,25.00,,,AH3,,columbia-tools-top-blade-2-5-ah3-2-5
AH3-3,"Top Blade - 3""",Columbia Tools,variation,44.95,,,AH3,,columbia-tools-top-blade-3-ah3-3
AH3-3.5,"Top Blade - 3.5""",Columbia Tools,variation,25.00,,,AH3,,columbia-tools-top-blade-3-5-ah3-3-5
FA380,"1/8"" SS E-Clip",Columbia Tools,simple,2.95,,,FA380,,columbia-tools-fa380-1-8-ss-e-clip
FA225,"1/8"" x 3/8"" Rivet Shoulder Washer",Columbia Tools,simple,2.05,,,FA225,,columbia-tools-fa225-rivet-shoulder-washer
FA224,"1/8"" x 3/8"" Split Pin",Columbia Tools,simple,1.95,,,FA224,,columbia-tools-fa224-split-pin-1-8-x-3-8
FA271,10-24 Nyloc Nut,Columbia Tools,simple,2.00,,,FA271,,columbia-10-24-nyloc-nut-fa271
FA272,10-24 Wing Nut,Columbia Tools,simple,2.00,,,FA272,,columbia-tools-10-24-wing-nut-fa272
FA273,"10-24 x 1"" Hex Bolt",Columbia Tools,simple,3.25,,,FA273,,columbia-tools-hot-mud-pump-hex-bolt-fa273
FA312,"10-24 X 1/4"" Socket Hand Set",Columbia Tools,simple,2.85,,,FA312,,columbia-tools-10-24-x-1-4-socket-hand-set-fa312
FA274,"10-24 x 3/8"" Socket",Columbia Tools,simple,2.65,,,FA274,,columbia-tools-fa274-10-24-x-3-8-socket
FA275,"10-24 x 7/8"" Hex Bolt",Columbia Tools,simple,3.15,,,FA275,,columbia-tools-fa275-10-24-hex-bolt-7-8
FA276,"10-24 x 7/8"" Pan Slot",Columbia Tools,simple,3.35,,,FA276,,columbia-tools-10-24-7-8-pan-slot-fa276
FA316,"10-32 X 1/2"" Flat Socket Head",Columbia Tools,simple,2.00,,,FA316,,columbia-tools-fa316-10-32-1-2-flat-socket-head
FA382,"10-32 x 1/4"" SS Set Screw",Columbia Tools,simple,1.00,,,FA382,,columbia-tools-10-32-x-1-4-ss-set-screw-fa382
FA199,"2-56 x 3/16"" Binder Slot",Columbia Tools,simple,1.00,,,FA199,,columbia-tools-automatic-taper-head-binder-slot-fa199
FA365,"3/16 x 1"" Sping Pin SS",Columbia Tools,simple,3.00,,,FA365,,columbia-3-16-x-1-ss-spring-pin-fa365
FA206,4-40 Hex Nut,Columbia Tools,simple,2.00,,,FA206,,columbia-tools-4-40-hex-nut-fa206
FA207,4-40 Nyloc Nut,Columbia Tools,simple,2.50,,,FA207,,columbia-tools-4-40-nyloc-nut-fa207
FA219,"4-40 x 1/2"" Fillister Slot",Columbia Tools,simple,1.00,,,FA219,,columbia-tools-4-40-x-1-2-fillister-slot-fa219
FA213,"4-40 x 1/4"" Binder Slot",Columbia Tools,simple,1.00,,,FA213,,columbia-4-40-x-1-4-binder-slot-fa213
FA214,"4-40 x 1/4"" Flat Slot",Columbia Tools,simple,1.00,,,FA214,,columbia-tools-fa214-4-40-1-4-flat-slot-screw
FA2,"4-40 x 1/8"" Binder Slot",Columbia Tools,simple,1.65,,,FA208,,columbia-tools-4-40-1-8-binder-slot-fa208
FA210,"4-40 x 3/16"" Binder Slot",Columbia Tools,simple,1.00,,,FA210,,columbia-tools-fa210-binder-slot-4-40-3-16
FA212,"4-40 x 3/16"" Truss Slot",Columbia Tools,simple,1.00,,,FA212,,columbia-tools-4-40-3-16-truss-slot-screw-fa212
FA220,"4-40 x 3/4"" Hex Bolt",Columbia Tools,simple,2.35,,,FA220,,columbia-tools-fa220-4-40-3-4-hex-bolt
FA218,"4-40 x 3/8"" Flat Slot",Columbia Tools,simple,1.00,,,FA218,,columbia-tools-fa218-4-40-3-8-flat-slot-screw
FA216,4-40 X 3/8” Fillister Slot,Columbia Tools,simple,2.00,,,FA216,,columbia-tools-fa216-4-40-3-8-fillister-slot-screw
FA215,"4-40 x 5/16"" Binder Slot",Columbia Tools,simple,1.95,,,FA215,,columbia-tools-4-40-5-16-binder-slot-fa215
FA303,5-16 Flat Washer,Columbia Tools,simple,3.00,,,FA303,,columbia-tools-fa303-5-16-flat-washer
FA307,5-16 x 24 Jam Nut,Columbia Tools,simple,3.00,,,FA307,,columbia-tools-hot-mud-pump-jam-nut-fa307
FA305,"5/16 -18 x 3/4"" Hex Bolt",Columbia Tools,simple,4.15,,,FA305,,columbia-tools-fa305-hex-bolt-5-16-18-x-3-4
FA306,"5/16-18 x 1 1/4"" Hex Bolt",Columbia Tools,simple,3.45,,,FA306,,columbia-tools-fa306-hex-bolt-5-16-18-1-1-4
CFB10,"5/16-18 x 3/4"" Thumb Screw",Columbia Tools,simple,6.00,,,CFB10,,columbia-thumb-screw-5-16-18-x-3-4-cfb10
FA317,"5/32"" x 7/8"" Roll Pin",Columbia Tools,simple,2.00,,,FA317,,columbia-tools-fa317-5-32-x-7-8-roll-pin
FA232,6-32 Hex Nut,Columbia Tools,simple,1.75,,,FA232,,columbia-tools-6-32-hex-nut-fa232
FA234,6-32 Nyloc Jam Nut,Columbia Tools,simple,2.65,,,FA234,,columbia-tools-6-32-nyloc-jam-nut-fa234
FA233,6-32 Nyloc Nut,Columbia Tools,simple,2.00,,,FA233,,columbia-tools-6-32-nyloc-nut-fa233
FA245,"6-32 x 1/2"" Fillister Slot",Columbia Tools,simple,2.15,,,FA245,,columbia-fa245-6-32-1-2-fillister-slot-screw
FA244,"6-32 x 1/2"" Pan Slot",Columbia Tools,simple,1.00,,,FA244,,columbia-6-32-x-1-2-pan-slot-fa244
FFB11-8,"Adjuster Spring - 8""",Columbia Tools,variation,8.00,,,FFB11-8,,columbia-tools-adjuster-spring-8-ffb11-8
FFB11-10,"Adjuster Spring - 10""",Columbia Tools,variation,8.00,,,FFB11-10,,columbia-tools-adjuster-spring-10-ffb11-10
FFB11-12,"Adjuster Spring - 12""",Columbia Tools,variation,8.00,,,FFB11-12,,columbia-tools-adjuster-spring-12-ffb11-12
FA239,"6-32 X 1/4"" Binder Slot",Columbia Tools,simple,1.00,,,FA239,,columbia-tools-fa239-6-32-1-4-binder-slot
FA227,"6-32 X 1/4"" Flat Slot",Columbia Tools,simple,2.00,,,FA227,,columbia-tools-angle-head-screw-fa227
FA236,"6-32 X 1/8"" Binder Slot",Columbia Tools,simple,1.00,,,FA236,,columbia-tools-6-32-x-1-8-binder-slot-fa236
FA235,"6-32 X 1/8"" Set Screw",Columbia Tools,simple,2.00,,,FA235,,columbia-tools-6-32-x-1-8-set-screw-fa235
