sku,name,brand,dtb_price,map_price,competitor_count,site_count,market_low,market_high,market_mean,market_median,market_spread_pct,dtb_vs_market_median,dtb_vs_market_median_pct,market_position,map_floor_status,lowest_competitor,lowest_competitor_url
AH1-3.5,"Head Casting - 3.5""",Columbia Tools,153.00,,1,1,175.48,175.48,175.48,175.48,0.00,-22.48,-12.81,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH1-3-5-Columbia-Angle-Head-Body-Casting-3-5in-5800
AH18,Socket Wear Cap,Columbia Tools,9.00,,1,1,10.16,10.16,10.16,10.16,0.00,-1.16,-11.42,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH18-Columbia-Angle-Head-Socket-Wear-Cup-5817
AH1A,Spring Housing,Columbia Tools,8.00,,1,1,12.18,12.18,12.18,12.18,0.00,-4.18,-34.32,single_source_only,no_map,All-Wall,https://www.all-wall.com/Columbia-Spring-Housing-Angle-Head
AH1B,Return Spring,Columbia Tools,3.00,,0,0,,,,,,,,no_market_data,no_map,,
AH3-2,"Top Blade - 2""",Columbia Tools,38.95,,1,1,36.34,36.34,36.34,36.34,0.00,2.61,7.18,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH3-2-Columbia-Angle-Head-Carbide-Blade-2in-5801
AH3-2.5,"Top Blade - 2.5""",Columbia Tools,25.00,,1,1,36.34,36.34,36.34,36.34,0.00,-11.34,-31.21,single_source_only,no_map,All-Wall,https://www.all-wall.com/Columbia-AngleHead-Blade-25
AH3-3,"Top Blade - 3""",Columbia Tools,44.95,,1,1,36.34,36.34,36.34,36.34,0.00,8.61,23.69,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH3-3-Columbia-Angle-Head-Carbide-Blade-3in-5803
AH3-3.5,"Top Blade - 3.5""",Columbia Tools,25.00,,1,1,36.34,36.34,36.34,36.34,0.00,-11.34,-31.21,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH3-3-5-Columbia-Angle-Head-Carbide-Blade-3-5in-5804
AH4,Side Blade,Columbia Tools,29.50,,0,0,,,,,,,,no_market_data,no_map,,
AH5,Frame Retainer Clip,Columbia Tools,2.00,,1,1,2.28,2.28,2.28,2.28,0.00,-0.28,-12.28,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH5-Columbia-Angle-Head-Frame-Retainer-Clip-5806
AH6A,Funnel Retainer Clip,Columbia Tools,19.00,,0,0,,,,,,,,no_market_data,no_map,,
