dtb_sku,dtb_name,dtb_brand,dtb_price,dtb_map_price,competitor_site,competitor_title,competitor_brand,competitor_sku,competitor_mpn,competitor_gtin,competitor_url,competitor_price,competitor_regular_price,competitor_sale_price,currency,availability,variant,match_method,match_score,price_delta,price_delta_pct
8FBB,"Columbia Fat Boy Flat Box - 8""",Columbia Tools,443.42,443.42,Al's Taping Tools,"Columbia 8"" Fat Boy Drywall Flat Finishing Box",Columbia Taping Tools,8FBB,,,https://www.alstapingtools.com/columbia-8-fat-boy-drywall-flat-finishing-box/,443.42,443.42,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
8FBBA,"Columbia Automatic Fat Boy Box - 8""",Columbia Tools,481.27,481.27,Al's Taping Tools,"Columbia 8"" Fat Boy Automatic Assist Drywall Flat Box",Columbia Taping Tools,8FBBA,,,https://www.alstapingtools.com/columbia-8-fat-boy-automatic-assist-drywall-flat-box/,481.27,481.27,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
AHA,Angle Head Adapter,Columbia Tools,24.87,24.87,Al's Taping Tools,Columbia Angle Head Ball Adapter,Columbia Taping Tools,AHA,,,https://www.alstapingtools.com/columbia-angle-head-ball-adapter/,24.87,24.87,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CBNCR,Columbia Outside Corner Roller - Bullnose,Columbia Tools,86.52,86.52,Al's Taping Tools,Columbia Outside Bullnose Corner Roller,Columbia Taping Tools,CBNCR,,,https://www.alstapingtools.com/columbia-outside-bullnose-corner-roller/,86.52,86.52,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CC,Columbia Corner Cobra,Columbia Tools,401.00,367.71,Al's Taping Tools,Columbia Corner Cobra Adjustable Inside & Outside Corner Roller,Columbia Taping Tools,CC,,,https://www.alstapingtools.com/columbia-corner-cobra-adjustable-inside-outside-corner-roller/,367.71,367.71,,USD,,,competitor_sku_to_mpn_exact,98.0,-33.29,-8.30
CEXT90,Columbia Billet Mud Applicator - External 90,Columbia Tools,127.62,127.62,Al's Taping Tools,Columbia Outside 90 Corner Applicator Head,Columbia Taping Tools,CEXT90,,,https://www.alstapingtools.com/columbia-outside-90-corner-applicator-head/,127.62,127.62,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CFLT,Columbia Billet Mud Applicator - Flat,Columbia Tools,91.93,91.93,Al's Taping Tools,"Columbia 4"" Flat Applicator Head",Columbia Taping Tools,CFLT,,,https://www.alstapingtools.com/columbia-4-flat-applicator-head/,91.93,91.93,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CLT32,"Columbia Cam Lock Tube - 32""",Columbia Tools,279.72,268.21,Al's Taping Tools,"Columbia 32"" Cam-Lock Compound Mud Tube",Columbia Taping Tools,CLT32,,,https://www.alstapingtools.com/columbia-32-cam-lock-compound-mud-tube/,268.21,268.21,,USD,,,competitor_sku_to_mpn_exact,98.0,-11.51,-4.11
CLT42,"Columbia Cam Lock Tube - 42""",Columbia Tools,297.33,280.11,Al's Taping Tools,"Columbia 42"" Cam-Lock Compound Mud Tube",Columbia Taping Tools,CLT42,,,https://www.alstapingtools.com/columbia-42-cam-lock-compound-mud-tube/,280.11,280.11,,USD,,,competitor_sku_to_mpn_exact,98.0,-17.22,-5.79
CLT55,"Columbia Cam Lock Tube - 55""",Columbia Tools,307.89,278.10,Al's Taping Tools,"Columbia 55"" Cam-Lock Compound Mud Tube",Columbia Taping Tools,CLT55,,,https://www.alstapingtools.com/columbia-55-cam-lock-compound-mud-tube/,278.10,278.10,,USD,,,competitor_sku_to_mpn_exact,98.0,-29.79,-9.68
