dtb_sku,dtb_name,dtb_brand,dtb_price,dtb_map_price,competitor_site,competitor_title,competitor_brand,competitor_sku,competitor_mpn,competitor_gtin,competitor_url,competitor_price,competitor_regular_price,competitor_sale_price,currency,availability,variant,match_method,match_score,price_delta,price_delta_pct
48TT,"TapeTech Corner Finisher - 3"" EasyRoll® Adjustable",TapeTech,429.00,429.00,Al's Taping Tools,"TapeTech 3"" EasyRoll Angle Head Drywall Finishing Tool - 48TT",TapeTech,48TT,,,https://www.alstapingtools.com/tapetech-3-easyroll-angle-head-drywall-finishing-tool-48tt/,429.00,429.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
48XTT,"TapeTech Corner Finisher - 3.5"" EasyRoll® Adjustable",TapeTech,448.22,439.00,Al's Taping Tools,"TapeTech 3.5"" EasyRoll Angle Head Corner Finisher - 48XTT",TapeTech,48XTT,,,https://www.alstapingtools.com/tapetech-3-5-easyroll-angle-head-corner-finisher-48xtt/,439.00,439.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-9.22,-2.06
76TT,TapeTech EasyClean® Pump - Standard,TapeTech,399.00,,Al's Taping Tools,TapeTech EasyClean Loading Pump - 76TT,TapeTech,76TT,,,https://www.alstapingtools.com/tapetech-easyclean-loading-pump-76tt/,399.00,399.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
76XLTT,TapeTech EasyClean® Pump - Extra Long,TapeTech,659.00,659.00,Al's Taping Tools,TapeTech Extra Long EasyClean Tall Loading Pump - 76XLTT,TapeTech,76XLTT,,,https://www.alstapingtools.com/tapetech-extra-long-easyclean-tall-loading-pump-76xltt/,665.00,665.00,,USD,,,competitor_sku_to_mpn_exact,98.0,6.00,0.91
8000TT-PA,TapeTech Wizard® Compact Finishing Box Handle - Power Assist,TapeTech,109.00,109.00,Al's Taping Tools,TapeTech Wizard Compact Handle for Power Assist Boxes,TapeTech,8000TT-PA,,,https://www.alstapingtools.com/tapetech-wizard-compact-handle-for-power-assist-boxes/,109.00,109.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
8034TT,"TapeTech Flat Box Handle - 34""",TapeTech,229.00,229.00,Al's Taping Tools,"TapeTech 34"" Drywall Flat Finishing Box Handle - 8034TT",TapeTech,8034TT,,,https://www.alstapingtools.com/tapetech-34-drywall-flat-finishing-box-handle-8034tt/,229.00,229.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
8042TT,"TapeTech Flat Box Handle - 42""",TapeTech,234.00,234.00,Al's Taping Tools,"TapeTech 42"" Drywall Flat Finisher Box Handle - 8042TT",TapeTech,8042TT,,,https://www.alstapingtools.com/tapetech-42-drywall-flat-finisher-box-handle-8042tt/,234.00,234.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
8072TT,"TapeTech Flat Box Handle - 72""",TapeTech,249.00,249.00,Al's Taping Tools,"TapeTech 72"" Drywall Flat Finisher Box Handle - 8072TT",TapeTech,8072TT,,,https://www.alstapingtools.com/tapetech-72-drywall-flat-finisher-box-handle-8072tt/,249.00,249.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
8134TT,"TapeTech EasyFinish™ Box Handle - 34""",TapeTech,259.76,259.00,Al's Taping Tools,"TapeTech 34"" EasyFinish Flat Box Handle - 8134TT",TapeTech,8134TT,,,https://www.alstapingtools.com/tapetech-34-easyfinish-flat-box-handle-8134tt/,259.00,259.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-0.76,-0.29
8142TT,"TapeTech EasyFinish™ Box Handle - 42""",TapeTech,269.00,269.00,Al's Taping Tools,"TapeTech 42"" EasyFinish Flat Box Handle - 8142TT",TapeTech,8142TT,,,https://www.alstapingtools.com/tapetech-42-easyfinish-flat-box-handle-8142tt/,269.00,269.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
8154TT,"TapeTech EasyFinish™ Box Handle - 54""",TapeTech,279.00,279.00,Al's Taping Tools,"TapeTech 54"" EasyFinish Flat Box Handle - 8154TT",TapeTech,8154TT,,,https://www.alstapingtools.com/tapetech-54-easyfinish-flat-box-handle-8154tt/,279.00,279.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
8172TT,"TapeTech EasyFinish™ Box Handle - 72""",TapeTech,291.28,289.00,Al's Taping Tools,"TapeTech 72"" EasyFinish Flat Box Handle - 8172TT",TapeTech,8172TT,,,https://www.alstapingtools.com/tapetech-72-easyfinish-flat-box-handle-8172tt/,289.00,289.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-2.28,-0.78
85XLTT,TapeTech Gooseneck - Extra Long,TapeTech,199.00,,Al's Taping Tools,TapeTech Extra Long Gooseneck Adapter,TapeTech,85XLTT,,,https://www.alstapingtools.com/tapetech-extra-long-gooseneck-adapter/,199.00,199.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
90T,TapeTech Filler Adapter,TapeTech,79.00,79.00,Al's Taping Tools,TapeTech Drywall Box Filler Attachment - 90T,TapeTech,90T,,,https://www.alstapingtools.com/tapetech-drywall-box-filler-attachment-90t/,79.00,79.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CA08TT,"TapeTech Corner Applicator - 8""",TapeTech,330.00,330.00,Al's Taping Tools,"TapeTech 8"" Corner Applicator - CA08TT",TapeTech,CA08TT,,,https://www.alstapingtools.com/tapetech-8-corner-applicator-ca08tt/,330.00,330.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CAA-TT,TapeTech Support Handle Adapter - Corner Applicator,TapeTech,45.00,45.00,Al's Taping Tools,TapeTech Corner Applicator Adapter - CAA-TT,TapeTech,CAA-TT,,,https://www.alstapingtools.com/tapetech-corner-applicator-adapter-caa-tt/,42.00,42.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-3.00,-6.67
CF25TT,"TapeTech Direct Corner Flusher - 2.5""",TapeTech,114.00,114.00,Al's Taping Tools,"TapeTech 2.5"" Direct Flusher - CF25TT",TapeTech,CF25TT,,,https://www.alstapingtools.com/tapetech-2-5-direct-flusher-cf25tt/,114.00,114.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CF40TT,"TapeTech Direct Corner Flusher - 4""",TapeTech,129.00,129.00,Al's Taping Tools,"TapeTech 4"" Direct Flusher - CF40TT",TapeTech,CF40TT,,,https://www.alstapingtools.com/tapetech-4-direct-flusher-cf40tt/,129.00,129.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CFA-TT,TapeTech Support Handle Adapter - Corner Finisher,TapeTech,49.00,49.00,Al's Taping Tools,TapeTech Corner Finisher Ball Adapter - CFA-TT,TapeTech,CFA-TT,,,https://www.alstapingtools.com/tapetech-corner-finisher-ball-adapter-cfa-tt/,49.00,49.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CH55TT,TapeTech Cove Applicator Head - 55 mm,TapeTech,99.00,99.00,Al's Taping Tools,TapeTech 55 mm Cove Applicator Head CH55TT,TapeTech,CH55TT,,,https://www.alstapingtools.com/tapetech-55-mm-cove-applicator-head-ch55tt/,138.19,138.19,,USD,,,competitor_sku_to_mpn_exact,98.0,39.19,39.59
CH75TT,TapeTech Cove Applicator Head - 75 mm,TapeTech,99.00,99.00,Al's Taping Tools,TapeTech 75 mm Cove Applicator Head CH75TT,TapeTech,CH75TT,,,https://www.alstapingtools.com/tapetech-75-mm-cove-applicator-head-ch75tt/,140.86,140.86,,USD,,,competitor_sku_to_mpn_exact,98.0,41.86,42.28
CH83TT,TapeTech Cove Applicator Head - 83 mm,TapeTech,99.00,99.00,Al's Taping Tools,TapeTech 83 mm Cove Applicator Head CH83TT,TapeTech,CH83TT,,,https://www.alstapingtools.com/tapetech-83-mm-cove-applicator-head-ch83tt/,144.85,144.85,,USD,,,competitor_sku_to_mpn_exact,98.0,45.85,46.31
CH90TT,TapeTech Cove Applicator Head - 90 mm,TapeTech,99.00,99.00,Al's Taping Tools,TapeTech 90 mm Cove Applicator Head CH90TT,TapeTech,CH90TT,,,https://www.alstapingtools.com/tapetech-90-mm-cove-applicator-head-ch90tt/,159.46,159.46,,USD,,,competitor_sku_to_mpn_exact,98.0,60.46,61.07
CT24TT,"TapeTech Compound Tube - 24""",TapeTech,189.00,189.00,Al's Taping Tools,"Tapetech 24"" Drywall Compound Tube - CT24TT",TapeTech,CT24TT,,,https://www.alstapingtools.com/tapetech-24-drywall-compound-tube-ct24tt/,189.00,189.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CT36TT,"TapeTech Compound Tube - 36""",TapeTech,199.00,199.00,Al's Taping Tools,"TapeTech 36"" Drywall Compound Tube - CT36TT",TapeTech,CT36TT,,,https://www.alstapingtools.com/tapetech-36-drywall-compound-tube-ct36tt/,199.00,199.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
CT42TT,"TapeTech Compound Tube - 42""",TapeTech,211.09,209.00,Al's Taping Tools,"Tapetech 42"" Drywall Compound Tube - CT42TT",TapeTech,CT42TT,,,https://www.alstapingtools.com/tapetech-42-drywall-compound-tube-ct42tt/,209.00,209.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-2.09,-0.99
CTA01TT,TapeTech Compound Tube Filler Adapter,TapeTech,19.99,19.99,Al's Taping Tools,TapeTech Compound Tube Filler Adapter - CTA01TT,TapeTech,CTA01TT,,,https://www.alstapingtools.com/tapetech-compound-tube-filler-adapter-cta01tt/,19.99,19.99,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
EHC10,"TapeTech MaxxBox® High Capacity Finishing Box - 10""",TapeTech,419.00,419.00,Al's Taping Tools,"TapeTech 10"" MAXXBOX w/ Easy Roll Wheels - EHC10",TapeTech,EHC10,,,https://www.alstapingtools.com/tapetech-10-maxxbox-w-easy-roll-wheels-ehc10/,419.00,419.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
EHC12,"TapeTech MaxxBox® High Capacity Finishing Box - 12""",TapeTech,444.00,444.00,Al's Taping Tools,"TapeTech 12"" MAXXBOX w/ Easy Roll Wheels - EHC12",TapeTech,EHC12,,,https://www.alstapingtools.com/tapetech-12-maxxbox-w-easy-roll-wheels-ehc12/,444.00,444.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
EZ07TT,"TapeTech EasyClean® Finishing Box - 7""",TapeTech,379.00,379.00,Al's Taping Tools,"TapeTech 7"" EasyClean Drywall Flat Box - EZ07TT",TapeTech,EZ07TT,,,https://www.alstapingtools.com/tapetech-7-easyclean-drywall-flat-box-ez07tt/,379.00,379.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
EZ15TT,"TapeTech EasyClean® Finishing Box - 15""",TapeTech,429.00,429.00,Al's Taping Tools,"TapeTech 15"" EasyClean Drywall Flat Box - EZ15TT",TapeTech,EZ15TT,,,https://www.alstapingtools.com/tapetech-15-easyclean-drywall-flat-box-ez15tt/,429.00,429.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
FHTT,TapeTech Support Handle - Fiberglass,TapeTech,59.00,59.00,Al's Taping Tools,TapeTech Interchangeable Fiberglass Handle - FHTT,TapeTech,FHTT,,,https://www.alstapingtools.com/tapetech-interchangeable-fiberglass-handle-fhtt/,59.00,59.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
FHTT-CC,TapeTech Support Handle - Closet Crusher Fiberglass,TapeTech,50.00,50.00,Al's Taping Tools,"TapeTech Closet Crusher 18"" Support Handle",TapeTech,FHTT-CC,,,https://www.alstapingtools.com/tapetech-closet-crusher-18-support-handle/,50.00,50.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
NS02TT,"TapeTech Nail Spotter - 2""",TapeTech,303.66,278.00,Al's Taping Tools,"TapeTech 2"" EasyClean Nail/Screw Spotter Head",TapeTech,NS02TT,,,https://www.alstapingtools.com/tapetech-2-easyclean-nail-screw-spotter-head/,278.00,278.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-25.66,-8.45
NS03TT,"TapeTech Nail Spotter - 3""",TapeTech,313.10,289.00,Al's Taping Tools,"TapeTech 3"" EasyClean Nail/Screw Spotter",TapeTech,NS03TT,,,https://www.alstapingtools.com/tapetech-3-easyclean-nail-screw-spotter/,289.00,289.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-24.10,-7.70
NSA-TT,TapeTech Support Handle Adapter - Nail Spotter,TapeTech,40.00,,Al's Taping Tools,TapeTech Nail Spotter Adapter - NSA-TT,TapeTech,NSA-TT,,,https://www.alstapingtools.com/tapetech-nail-spotter-adapter-nsa-tt/,45.00,45.00,,USD,,,competitor_sku_to_mpn_exact,98.0,5.00,12.50
PAHC07,"TapeTech Power Assist® MaxxBox® Finishing Box - 7""",TapeTech,491.26,459.00,Al's Taping Tools,"TapeTech 7"" PowerAssist MaxxBox w/ EasyRoll Wheels - PAHC07",TapeTech,PAHC07,,,https://www.alstapingtools.com/tapetech-7-powerassist-maxxbox-w-easyroll-wheels-pahc07/,459.00,459.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-32.26,-6.57
PAHC10,"TapeTech Power Assist® MaxxBox® Finishing Box - 10""",TapeTech,494.93,469.00,Al's Taping Tools,"TapeTech 10"" PowerAssist MaxxBox w/ EasyRoll Wheels - PAHC10",TapeTech,PAHC10,,,https://www.alstapingtools.com/tapetech-10-powerassist-maxxbox-w-easyroll-wheels-pahc10/,469.00,469.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-25.93,-5.24
PAHC12,"TapeTech Power Assist® MaxxBox® Finishing Box - 12""",TapeTech,520.16,479.00,Al's Taping Tools,"TapeTech 12"" PowerAssist MaxxBox w/ EasyRoll Wheels - PAHC12",TapeTech,PAHC12,,,https://www.alstapingtools.com/tapetech-12-powerassist-maxxbox-w-easyroll-wheels-pahc12/,479.00,479.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-41.16,-7.91
TTPPS-EF,TapeTech Pro Performance Easy Finish Set,TapeTech,7295.00,,Al's Taping Tools,TapeTech Ultimate Pro Performance Easy Finish Set w/ FREE Stilts,TapeTech,Gttpps-ez,,,https://www.alstapingtools.com/tapetech-ultimate-pro-performance-easy-finish-set-w-free-stilts/,6930.00,7573.86,6930.00,USD,,,brand_name_fuzzy,91.88235294117648,-365.00,-5.00
XHTT,TapeTech Support Handle - Extension,TapeTech,179.00,179.00,Al's Taping Tools,TapeTech Extendable Interchangeable Handle - XHTT,TapeTech,XHTT,,,https://www.alstapingtools.com/tapetech-extendable-interchangeable-handle-xhtt/,179.00,179.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
