sku,name,type,parent,brand,effective_categories,regular_price,sale_price,cogs,map_price,missing_fields,map_violation,regular_price_below_cogs
FA200,"1/16 x 1/4"" Split Pin",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA203,"1/16 x 3/4"" Cotter Pin",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA3,"1/2"" x 7/8"" Flat Washer",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.50,,0.89,,map,0,0
CT109,1/4 - 20 Hex Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,2.72,,map,0,0
FA296,"1/4 -20 x 1/2"" Hex Bolt",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.35,,0.41,,map,0,0
FA295,"1/4 x 1/2"" Flathead Socket",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.45,,0.32,,map,0,0
FA379,"1/4"" SS E-Clip",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.25,,1.71,,map,0,0
FA286,"1/4"" x 1/2"" Flat Washer",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA288,"1/4"" X 3/4"" Split Pin",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.25,,,,cogs|map,0,0
FA291,1/4-20 Hex Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA299,"1/4-20 x 1 1/2"" Pan Phillips",simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
FA313,1/4-20 X 1/4 Socket Head Set Screw,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA301,"1/4-20 x 2 1/4"" Hex Bolt",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
FA300,"1/4-20 x 2"" Hex Bolt",simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.25,,1.63,,map,0,0
FA294,"1/4-20 x 38"" Socket",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.25,,1.21,,map,0,0
FA297,"1/4-20 x 5/8"" Socket",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA298,"1/4-20 x 7/8"" Flat Socket",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.85,,0.32,,map,0,0
FA302,"1/4-28 x 1/4"" Set Screw",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.85,,0.89,,map,0,0
FA320,"1/4-28-3/8"" Socket Set Screw",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
HFFB14-8,"Flat Box Hinged Door Gasket - 8""",variation,HFFB14,Columbia Tools,Drywall Finishing Tools > Parts,16.50,,,,cogs|map,0,0
HFFB14-10,"Flat Box Hinged Door Gasket - 10""",variation,HFFB14,Columbia Tools,Drywall Finishing Tools > Parts,42.00,,,,cogs|map,0,0
HFFB14-12,"Flat Box Hinged Door Gasket - 12""",variation,HFFB14,Columbia Tools,Drywall Finishing Tools > Parts,42.00,,,,cogs|map,0,0
HFFB14-14,"Flat Box Hinged Door Gasket - 14""",variation,HFFB14,Columbia Tools,Drywall Finishing Tools > Parts,42.00,,,,cogs|map,0,0
FFB25-10,"Rubber Gasket Retainer - 10""",variation,FFB25,Columbia Tools,Drywall Finishing Tools > Parts,24.95,,,,cogs|map,0,0
FFB25-12,"Rubber Gasket Retainer - 12""",variation,FFB25,Columbia Tools,Drywall Finishing Tools > Parts,28.50,,,,cogs|map,0,0
AH3-2,"Top Blade - 2""",variation,AH3,Columbia Tools,Drywall Finishing Tools > Parts,38.95,,18.72,,map,0,0
AH3-2.5,"Top Blade - 2.5""",variation,AH3,Columbia Tools,Drywall Finishing Tools > Parts,25.00,,18.72,,map,0,0
AH3-3,"Top Blade - 3""",variation,AH3,Columbia Tools,Drywall Finishing Tools > Parts,44.95,,18.72,,map,0,0
AH3-3.5,"Top Blade - 3.5""",variation,AH3,Columbia Tools,Drywall Finishing Tools > Parts,25.00,,18.72,,map,0,0
FA380,"1/8"" SS E-Clip",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.95,,1.71,,map,0,0
FA225,"1/8"" x 3/8"" Rivet Shoulder Washer",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.05,,0.89,,map,0,0
FA224,"1/8"" x 3/8"" Split Pin",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.95,,0.48,,map,0,0
FA271,10-24 Nyloc Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA272,10-24 Wing Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA273,"10-24 x 1"" Hex Bolt",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.25,,0.89,,map,0,0
FA312,"10-24 X 1/4"" Socket Hand Set",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.85,,0.89,,map,0,0
FA274,"10-24 x 3/8"" Socket",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.65,,1.21,,map,0,0
FA275,"10-24 x 7/8"" Hex Bolt",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.15,,0.89,,map,0,0
FA276,"10-24 x 7/8"" Pan Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.35,,0.32,,map,0,0
FA316,"10-32 X 1/2"" Flat Socket Head",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA382,"10-32 x 1/4"" SS Set Screw",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA199,"2-56 x 3/16"" Binder Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA365,"3/16 x 1"" Sping Pin SS",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
FA206,4-40 Hex Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA207,4-40 Nyloc Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.50,,,,cogs|map,0,0
FA219,"4-40 x 1/2"" Fillister Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA213,"4-40 x 1/4"" Binder Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA214,"4-40 x 1/4"" Flat Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA2,"4-40 x 1/8"" Binder Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.65,,0.32,,map,0,0
FA210,"4-40 x 3/16"" Binder Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA212,"4-40 x 3/16"" Truss Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA220,"4-40 x 3/4"" Hex Bolt",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.35,,0.32,,map,0,0
FA218,"4-40 x 3/8"" Flat Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA216,4-40 X 3/8” Fillister Slot,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA215,"4-40 x 5/16"" Binder Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.95,,0.32,,map,0,0
FA303,5-16 Flat Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
FA307,5-16 x 24 Jam Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
FA305,"5/16 -18 x 3/4"" Hex Bolt",simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.15,,1.63,,map,0,0
FA306,"5/16-18 x 1 1/4"" Hex Bolt",simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.45,,1.63,,map,0,0
CFB10,"5/16-18 x 3/4"" Thumb Screw",simple,,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,,,cogs|map,0,0
FA317,"5/32"" x 7/8"" Roll Pin",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA232,6-32 Hex Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.75,,0.89,,map,0,0
FA234,6-32 Nyloc Jam Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.65,,0.79,,map,0,0
FA233,6-32 Nyloc Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA245,"6-32 x 1/2"" Fillister Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.15,,0.41,,map,0,0
FA244,"6-32 x 1/2"" Pan Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FFB11-8,"Adjuster Spring - 8""",variation,FFB11,Columbia Tools,Drywall Finishing Tools > Parts,8.00,,,,cogs|map,0,0
FFB11-10,"Adjuster Spring - 10""",variation,FFB11,Columbia Tools,Drywall Finishing Tools > Parts,8.00,,,,cogs|map,0,0
FFB11-12,"Adjuster Spring - 12""",variation,FFB11,Columbia Tools,Drywall Finishing Tools > Parts,8.00,,,,cogs|map,0,0
FA239,"6-32 X 1/4"" Binder Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA227,"6-32 X 1/4"" Flat Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA236,"6-32 X 1/8"" Binder Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA235,"6-32 X 1/8"" Set Screw",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA237,"6-32 x 3/16"" Binder Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA238,"6-32 X 3/16"" Fillister Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA241,"6-32 X 3/8"" Binder Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA243,"6-32 x 3/8"" Flat Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA231,"6-32 x 3/8"" Hex Bolt",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.25,,0.64,,map,0,0
FA247,"6-32 X 5/8"" Hex Bolt",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.45,,0.80,,map,0,0
FA254,8-32 Nyloc Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA267,"8-32 x 1 1/2"" Pan Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.85,,0.41,,map,0,0
FA262,"8-32 x 1/2"" Socket",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.95,,1.11,,map,0,0
FA257,"8-32 x 1/4"" Fillister Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA256,"8-32 X 3/16"" Pan Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.15,,0.32,,map,0,0
FA265,"8-32 x 3/4"" Truss Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA260,"8-32 x 3/8"" Pan Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA261,"8-32 X 3/8"" Socket Screw",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.75,,0.43,,map,0,0
FA376,8-32 x 5/16 SS Socket Head,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA264,"8-32 x 5/8"" Truss Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA258,8-32X 1/4 Half Dog Set,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA249,"8-32X3/16"" Set Screw",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FFB5-7,"Axle - 7""",variation,FFB5,Columbia Tools,Drywall Finishing Tools > Parts,44.00,,,,cogs|map,0,0
FFB5-8,"Axle - 8""",variation,FFB5,Columbia Tools,Drywall Finishing Tools > Parts,44.00,,,,cogs|map,0,0
FFB5-10,"Axle - 10""",variation,FFB5,Columbia Tools,Drywall Finishing Tools > Parts,44.00,,,,cogs|map,0,0
FFB5-12,"Axle - 12""",variation,FFB5,Columbia Tools,Drywall Finishing Tools > Parts,44.00,,,,cogs|map,0,0
FFB5-14,"Axle - 14""",variation,FFB5,Columbia Tools,Drywall Finishing Tools > Parts,44.00,,,,cogs|map,0,0
FFB9-5.5,"Blade - 5.5""",variation,FFB9,Columbia Tools,Drywall Finishing Tools > Parts,18.75,,,,cogs|map,0,0
FFB9-7,"Blade - 7""",variation,FFB9,Columbia Tools,Drywall Finishing Tools > Parts,22.50,,,,cogs|map,0,0
FFB9-8,"Blade - 8""",variation,FFB9,Columbia Tools,Drywall Finishing Tools > Parts,24.95,,,,cogs|map,0,0
FFB9-10,"Blade - 10""",variation,FFB9,Columbia Tools,Drywall Finishing Tools > Parts,28.95,,,,cogs|map,0,0
FFB9-12,"Blade - 12""",variation,FFB9,Columbia Tools,Drywall Finishing Tools > Parts,32.50,,,,cogs|map,0,0
FFB9-14,"Blade - 14""",variation,FFB9,Columbia Tools,Drywall Finishing Tools > Parts,36.95,,,,cogs|map,0,0
HNS7-2,"Blade - 2""",variation,HNS7,Columbia Tools,Drywall Finishing Tools > Parts,23.00,,,,cogs|map,0,0
HNS7-3,"Blade - 3""",variation,HNS7,Columbia Tools,Drywall Finishing Tools > Parts,23.00,,,,cogs|map,0,0
FFB5A,Axel Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
MP32,Backing Washer Locator,simple,,Columbia Tools,Drywall Finishing Tools > Parts,18.95,,,,cogs|map,0,0
FFB8,Bar Retainer Clip,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
CT103,Barrel- Main Body,simple,,Columbia Tools,Drywall Finishing Tools > Parts,112.50,,77.59,,map,0,0
CT125A,Bearing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,19.95,,1.93,,map,0,0
BH24A,Bearing Sleeve,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,,,cogs|map,0,0
CFB16,Bearing Sleeve,simple,,Columbia Tools,Drywall Finishing Tools > Parts,18.75,,3.09,,map,0,0
CR-3,Bearing Sleeve,simple,,Columbia Tools,Drywall Finishing Tools > Parts,19.99,,,,cogs|map,0,0
HNS8-2,"Blade Holder - 2""",variation,HNS8,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,,,cogs|map,0,0
HNS8-3,"Blade Holder - 3""",variation,HNS8,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,,,cogs|map,0,0
AH9A,"Bottom Retainer Corner Clip - 3.5""",variation,AH9-CLIP,Columbia Tools,Drywall Finishing Tools > Parts,11.50,,,,cogs|map,0,0
AH9,Bottom Retainer Corner Clip - Standard,variation,AH9-CLIP,Columbia Tools,Drywall Finishing Tools > Parts,10.00,,5.07,,map,0,0
BH9-3,Brake Connecting Strap - 3',variation,BH9,Columbia Tools,Drywall Finishing Tools > Parts,27.00,,,,cogs|map,0,0
BH9-42,"Brake Connecting Strap - 42""",variation,BH9,Columbia Tools,Drywall Finishing Tools > Parts,29.00,,,,cogs|map,0,0
BH9-4,Brake Connecting Strap - 4',variation,BH9,Columbia Tools,Drywall Finishing Tools > Parts,31.00,,,,cogs|map,0,0
BH9-5,Brake Connecting Strap - 5',variation,BH9,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,,,cogs|map,0,0
BH9-6,Brake Connecting Strap - 6',variation,BH9,Columbia Tools,Drywall Finishing Tools > Parts,35.00,,,,cogs|map,0,0
HH16A,Bleeder Screw,simple,,Columbia Tools,Drywall Finishing Tools > Parts,17.00,,,,cogs|map,0,0
HH10B,Bottom Cap,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
CFB8,Box Mount,simple,,Columbia Tools,Drywall Finishing Tools > Parts,44.00,,27.15,,map,0,0
FFB36,Box Wheel,simple,,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,,,cogs|map,0,0
CT87A,Bracket Brace,simple,,Columbia Tools,Drywall Finishing Tools > Parts,14.50,,4.67,,map,0,0
HH7,Brake,simple,,Columbia Tools,Drywall Finishing Tools > Parts,22.00,,,,cogs|map,0,0
MH9A,Brake Activation Rod,simple,,Columbia Tools,Drywall Finishing Tools > Parts,24.00,,,,cogs|map,0,0
CT16,Brake Dog,simple,,Columbia Tools,Drywall Finishing Tools > Parts,15.00,,,,cogs|map,0,0
HH13,Brake Pin,simple,,Columbia Tools,Drywall Finishing Tools > Parts,16.00,,,,cogs|map,0,0
HH14,Brake Piston,simple,,Columbia Tools,Drywall Finishing Tools > Parts,17.00,,,,cogs|map,0,0
MH8,Brake Rod Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,8.00,,,,cogs|map,0,0
HH12,Brake Spring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,,,cogs|map,0,0
HH17A,Brass Connector - 1,variation,HH-BRASS-CONNECTOR,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,,,cogs|map,0,0
HH17B,Brass Connector - 2,variation,HH-BRASS-CONNECTOR,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,,,cogs|map,0,0
CT72,Cable,simple,,Columbia Tools,Drywall Finishing Tools > Parts,10.00,,,,cogs|map,0,0
CT73,Cable Drum,simple,,Columbia Tools,Drywall Finishing Tools > Parts,28.95,,23.27,,map,0,0
BH26,Cam,simple,,Columbia Tools,Drywall Finishing Tools > Parts,21.95,,,,cogs|map,0,0
BH7,Cam Follower,simple,,Columbia Tools,Drywall Finishing Tools > Parts,15.00,,,,cogs|map,0,0
HH19,Cap,simple,,Columbia Tools,Drywall Finishing Tools > Parts,17.00,,,,cogs|map,0,0
CT35,Cap Reinforcing Tab,simple,,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,1.93,,map,0,0
CT55,Carriage Guide Rod,simple,,Columbia Tools,Drywall Finishing Tools > Parts,12.00,,,,cogs|map,0,0
CT56,Carriage Guide Rod Stop,simple,,Columbia Tools,Drywall Finishing Tools > Parts,7.00,,,,cogs|map,0,0
CT31,Chain Tension & Guide Bracket,simple,,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,3.49,,map,0,0
CT83,Clutch Dog,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
CT82,Clutch Lever,simple,,Columbia Tools,Drywall Finishing Tools > Parts,19.75,,,,cogs|map,0,0
CT88,Clutch Release Rod,simple,,Columbia Tools,Drywall Finishing Tools > Parts,16.50,,9.31,,map,0,0
CT85,Clutch Release Shaft,simple,,Columbia Tools,Drywall Finishing Tools > Parts,40.00,,23.27,,map,0,0
CT81,Clutch Return Spring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,1.56,,map,0,0
HH9,Coiled Hydraulic Line,simple,,Columbia Tools,Drywall Finishing Tools > Parts,40.00,,,,cogs|map,0,0
HP44,Collar O-Ring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
CT86,CT86 – Toe Kicker Cable,simple,,Columbia Tools,Drywall Finishing Tools > Parts,14.95,,11.64,,map,0,0
FA259,"FA259 8-32 X 5/16"" Binder Slot",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA292,FA292 1/4-20 Nyloc Jam Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.15,,0.81,,map,0,0
HNS4-2,"Door - 2""",variation,HNS4,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,,,cogs|map,0,0
HNS4-3,"Door - 3""",variation,HNS4,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,,,cogs|map,0,0
FA311,"FA311 1/4-28 X 1/2"" Socket Head",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
FA315,"FA315 10-32 X 3/8"" Flat Socket Head",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
CFB5B,Cone Ball,simple,,Columbia Tools,Drywall Finishing Tools > Parts,16.00,,,,cogs|map,0,0
CT132,Connecting Link,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
MH7,Connecting Link Fork,simple,,Columbia Tools,Drywall Finishing Tools > Parts,29.00,,,,cogs|map,0,0
MH5,Connecting Link Pin,simple,,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,,,cogs|map,0,0
CT45,Connecting Rod,simple,,Columbia Tools,Drywall Finishing Tools > Parts,22.95,,10.48,,map,0,0
MH16,Connecting Rod Housing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,8.00,,,,cogs|map,0,0
CT112,Connecting Stud,simple,,Columbia Tools,Drywall Finishing Tools > Parts,11.00,,6.51,,map,0,0
CT104,Connection Strap,simple,,Columbia Tools,Drywall Finishing Tools > Parts,18.95,,,,cogs|map,0,0
CT105,Crimper Lever,simple,,Columbia Tools,Drywall Finishing Tools > Parts,34.50,,17.83,,map,0,0
CT10A,Crimping Arm Shaft Bushing - L,simple,,Columbia Tools,Drywall Finishing Tools > Parts,13.95,,2.91,,map,0,0
CT47,Crimping Wheel,simple,,Columbia Tools,Drywall Finishing Tools > Parts,18.95,,7.76,,map,0,0
CT50,Crimping Wheel Bushing,simple,,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,3.49,,map,0,0
CR4,Cut Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
CT42A,Diamond Blade,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,,,cogs|map,0,0
CT13,Dog Base Bracket,simple,,Columbia Tools,Drywall Finishing Tools > Parts,16.00,,,,cogs|map,0,0
CFB4-7,"Door - 7""",variation,CFB4,Columbia Tools,Drywall Finishing Tools > Parts,42.50,,7.76,,map,0,0
CFB4-8,"Door - 8""",variation,CFB4,Columbia Tools,Drywall Finishing Tools > Parts,46.95,,7.76,,map,0,0
HNS15-2,"Door Gasket - 2""",variation,HNS15,Columbia Tools,Drywall Finishing Tools > Parts,36.00,,,,cogs|map,0,0
HNS15-3,"Door Gasket - 3""",variation,HNS15,Columbia Tools,Drywall Finishing Tools > Parts,35.00,,,,cogs|map,0,0
CFB7-7,"Door Gasket - 7""",variation,CFB7,Columbia Tools,Drywall Finishing Tools > Parts,28.50,,23.27,,map,0,0
CFB7-8,"Door Gasket - 8""",variation,CFB7,Columbia Tools,Drywall Finishing Tools > Parts,31.95,,23.27,,map,0,0
HNS10A,Door Spring - Short,variation,HNS-DOOR-SPRING,Columbia Tools,Drywall Finishing Tools > Parts,18.75,,,,cogs|map,0,0
HNS10,Door Spring - Long,variation,HNS-DOOR-SPRING,Columbia Tools,Drywall Finishing Tools > Parts,18.75,,,,cogs|map,0,0
CT71,Drive Sprocket - Small,variation,CT-SPROCKET,Columbia Tools,Drywall Finishing Tools > Parts,15.00,,,,cogs|map,0,0
CT77,Drive Sprocket - Large,variation,CT-SPROCKET,Columbia Tools,Drywall Finishing Tools > Parts,26.50,,38.77,,map,0,1
CFB15,Door Hinge,simple,,Columbia Tools,Drywall Finishing Tools > Parts,24.95,,15.51,,map,0,0
FFB17,Door Spring,simple,,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,2.72,,map,0,0
FFB16,Door Spring Nut,simple,,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,,,cogs|map,0,0
CFB11A,Door Stop,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
FFB32,Door Stop,simple,,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,,,cogs|map,0,0
CT78,Drive Chain,simple,,Columbia Tools,Drywall Finishing Tools > Parts,66.00,,51.20,,map,0,0
CT70,Drive Shaft,simple,,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,,,cogs|map,0,0
