sku,name,type,parent,brand,effective_categories,regular_price,sale_price,cogs,map_price,missing_fields,map_violation,regular_price_below_cogs
PTAPER,Columbia One Predator Taper,simple,,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Automatic Tapers,1838.55,,1458.91,,map,0,0
3WTCSF,"Columbia Combo Flusher - 3"" Widetrack",variation,COL-COMBO-FLUSHER,Columbia Tools,Drywall Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,122.51,,,,cogs|map,0,0
4DF,"Columbia Direct Flusher - 4""",variation,COL-DIRECT-FLUSHER,Columbia Tools,Drywall Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,151.41,,,151.41,cogs,0,0
5.5FBB,"Columbia Fat Boy Flat Box - 5.5""",variation,COL-FAT-BOY-FLAT-BOX,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,189.95,,269.07,,map,0,1
GN,Columbia Gooseneck - Standard,variation,COL-GOOSENECK,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Goosenecks,86.00,,68.28,,map,0,0
HMP-C,Columbia Hot Mud Pump - CDN,variation,COL-HOT-MUD-PUMP,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Loading Pumps,380.00,,,,cogs|map,0,0
C1HS,Columbia One Handle - Stubby,variation,COL-ONE-HANDLE,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,49.44,,,49.44,cogs,0,0
COBCRE,Columbia Outside Corner Roller - European,variation,COL-OUTSIDE-CORNER-ROLLER,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,1.00,,,,cogs|map,0,0
4SF,"Columbia Standard Flusher - 4""",variation,COL-STANDARD-FLUSHER,Columbia Tools,Drywall Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,140.60,,,140.60,cogs,0,0
OA90-325,Columbia UHMW Mud Applicator - Outside 90° 325,variation,COL-UHMW-MUD-APPLICATOR,Columbia Tools,Drywall Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,91.93,,,91.93,cogs,0,0
FA280,#10 Belleville Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,0.32,,map,0,0
FA268,#10 Flat Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.25,,0.32,,map,0,0
FA270,"#10 x 3/4"" Fender Washer",simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.50,,0.89,,map,0,0
FA228,#6 Flat Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA229,#6 Lock Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA230,#6 Star Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
FA253,#8 Flat Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.85,,0.32,,map,0,0
FA252,#8 Star Washer,simple,,Columbia Tools,Drywall Finishing Tools > Parts,2.05,,0.32,,map,0,0
FA202,"1/16 X 1/2"" Cotter Pin",simple,,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,,,cogs|map,0,0
