sku,field,before,after,protected_field
COL-BOX-FILLER,Categories,Drywall Finishing Tools > Automatic Taping Tools > Box Fillers,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,false
COL-BOX-FILLER,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COL-BOX-FILLER,Meta: _dtb_category_key,mudboxes,automatic_taping_tools,false
COL-BOX-FILLER,Meta: _dtb_display_category_key,pumps,automatic_goosenecks_box_fillers,false
COL-BOX-FILLER,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Pumps&amp;schematic=columbia-box-filler,/schematics?brand=columbia-taping-tools&category=Pumps&schematic=columbia-box-filler,false
COL-CAM-LOCK-TUBE,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,false
COL-CAM-LOCK-TUBE,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COL-CAM-LOCK-TUBE,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
COL-CAM-LOCK-TUBE,Meta: _dtb_display_category_key,compound_tubes,semi_compound_tubes,false
COL-CAM-LOCK-TUBE,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Compound+Tubes&amp;schematic=columbia-cam-lock-tube,/schematics?brand=columbia-taping-tools&category=Compound+Tubes&schematic=columbia-cam-lock-tube,false
COL-COMBO-FLUSHER,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
COL-COMBO-FLUSHER,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COL-COMBO-FLUSHER,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
