sku,field,before,after,protected_field
CAA-TT,Meta: _dtb_display_category_key,handles,automatic_handles_extensions,false
CBNCR,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,false
CBNCR,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CBNCR,Meta: _dtb_category_key,corner,automatic_taping_tools,false
CBNCR,Meta: _dtb_display_category_key,corner_tools,automatic_corner_rollers,false
CC,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,false
CC,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CC,Meta: _dtb_category_key,corner,automatic_taping_tools,false
CC,Meta: _dtb_display_category_key,corner_tools,automatic_corner_rollers,false
CC,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Rollers&amp;schematic=columbia-corner-cobra,/schematics?brand=columbia-taping-tools&category=Corner+Rollers&schematic=columbia-corner-cobra,false
CEXT90,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
CEXT90,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CEXT90,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
CEXT90,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
CEXT90,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Applicators&amp;schematic=columbia-external-corner-applicator,/schematics?brand=columbia-taping-tools&category=Applicators&schematic=columbia-external-corner-applicator,false
CF25COMBO,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Corner Flushers,Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,false
CF25COMBO,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
CF25COMBO,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
