brand_key,canonical_identifier,alias_identifier,status,evidence
columbia,CT103,CT-103,approved,"products/launch/official/dtb_official_catalog.csv uses CT103; docs/pricing_engine/reports/columbia_price_backfill_report.csv maps CT103 to CT-103; frontend Columbia schematic names CT-103 with sku CT103"
columbia,CT104,CT-104,approved,"products/launch/official/dtb_official_catalog.csv uses CT104; docs/pricing_engine/reports/columbia_price_backfill_report.csv maps CT104 to CT-104"
columbia,CT105,CT-105,approved,"products/launch/official/dtb_official_catalog.csv uses CT105; docs/pricing_engine/reports/columbia_price_backfill_report.csv maps CT105 to CT-105"
columbia,CT111,CT-111,approved,"products/launch/official/dtb_official_catalog.csv uses CT111; docs/pricing_engine/reports/columbia_price_backfill_report.csv maps CT111 to CT-111"
columbia,CT119,CT-119,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier CT119; repository mapping CT119 -> CT-119; Columbia Spool Retaining Spring"
columbia,CT130,CT-130,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier CT130; repository mapping CT130 -> CT-130; Columbia CT130 - Taper Extension Shaft"
columbia,CT19,CT-19,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier CT19; repository mapping CT19 -> CT-19; Columbia CT19 - Taper Paper Feed Guide"
columbia,CT28,CT-28,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier CT28; repository mapping CT28 -> CT-28; Columbia CT28 - Taper Roller Bushing"
columbia,CT3A,CT-3A,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier CT3A; repository mapping CT3A -> CT-3A; Columbia Taper Left Insert Bushing - CT3A"
columbia,CT43,CT-43,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier CT43; repository mapping CT43 -> CT-43; Columbia Taper Micro Chain #5618"
columbia,CT67,CT-67,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier CT67; repository mapping CT67 -> CT-67; Columbia Taper Ratchet Gear"
columbia,CT73,CT-73,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier CT73; repository mapping CT73 -> CT-73; Columbia Taper Cable Drum"
columbia,CT80,CT-80,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier CT80; repository mapping CT80 -> CT-80; Columbia Taper Manual Drive Grip"
columbia,FFB25-10,FFB-25-10,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier FFB25-10; repository mapping FFB25-10 -> FFB-25-10; Columbia Flat Box Rubber Gasket Retainer 10in"
columbia,FFB7,FFB-7,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier FFB7; repository mapping FFB7 -> FFB-7; Columbia Flat Box Shoe (Right) - FFB7"
columbia,FFB7A,FFB-7A,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier FFB7A; repository mapping FFB7A -> FFB-7A; Columbia Flat Box Shoe (Left) - FFB7A"
columbia,MP23,MP-23,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier MP23; repository mapping MP23 -> MP-23; Columbia Mud Pump Seal"
columbia,MP36,MP-36,approved,"competitor_identifier_collision_evidence.csv: direct_existing_normalized_mapping; protected DTB identifier MP36; repository mapping MP36 -> MP-36; Columbia Mud Pump Nylatron Bushing"
