sku,name,type,brand,categories,regular_price,sale_price,effective_price,cogs,map_price,gross_profit,current_gross_margin_pct,regular_gross_margin_pct,current_markup_pct,map_gross_margin_pct,comparison_target_margin_pct,target_margin_price,allowable_cost_at_current_price,cost_gap_vs_target,map_violation
FA312,"10-24 X 1/4"" Socket Hand Set",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.85,,2.85,0.89,,1.96,68.77,68.77,220.22,,30.00,1.28,2.00,-1.11,0
FA274,"10-24 x 3/8"" Socket",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.65,,2.65,1.21,,1.44,54.34,54.34,119.01,,30.00,1.73,1.86,-0.65,0
FA275,"10-24 x 7/8"" Hex Bolt",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.15,,3.15,0.89,,2.26,71.75,71.75,253.93,,30.00,1.28,2.20,-1.31,0
FA276,"10-24 x 7/8"" Pan Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.35,,3.35,0.32,,3.03,90.45,90.45,946.88,,30.00,0.46,2.34,-2.02,0
FA316,"10-32 X 1/2"" Flat Socket Head",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA382,"10-32 x 1/4"" SS Set Screw",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA199,"2-56 x 3/16"" Binder Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA365,"3/16 x 1"" Sping Pin SS",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,3.00,,,,,,,,30.00,,2.10,,0
FA206,4-40 Hex Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA207,4-40 Nyloc Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.50,,2.50,,,,,,,,30.00,,1.75,,0
FA219,"4-40 x 1/2"" Fillister Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA213,"4-40 x 1/4"" Binder Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA214,"4-40 x 1/4"" Flat Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA2,"4-40 x 1/8"" Binder Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.65,,1.65,0.32,,1.33,80.61,80.61,415.62,,30.00,0.46,1.16,-0.84,0
FA210,"4-40 x 3/16"" Binder Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA212,"4-40 x 3/16"" Truss Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA220,"4-40 x 3/4"" Hex Bolt",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.35,,2.35,0.32,,2.03,86.38,86.38,634.38,,30.00,0.46,1.64,-1.32,0
FA218,"4-40 x 3/8"" Flat Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA216,4-40 X 3/8” Fillister Slot,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA215,"4-40 x 5/16"" Binder Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.95,,1.95,0.32,,1.63,83.59,83.59,509.38,,30.00,0.46,1.36,-1.04,0
FA303,5-16 Flat Washer,simple,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,3.00,,,,,,,,30.00,,2.10,,0
FA307,5-16 x 24 Jam Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,3.00,,,,,,,,30.00,,2.10,,0
FA305,"5/16 -18 x 3/4"" Hex Bolt",simple,Columbia Tools,Drywall Finishing Tools > Parts,4.15,,4.15,1.63,,2.52,60.72,60.72,154.60,,30.00,2.33,2.90,-1.27,0
FA306,"5/16-18 x 1 1/4"" Hex Bolt",simple,Columbia Tools,Drywall Finishing Tools > Parts,3.45,,3.45,1.63,,1.82,52.75,52.75,111.66,,30.00,2.33,2.42,-0.79,0
CFB10,"5/16-18 x 3/4"" Thumb Screw",simple,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,6.00,,,,,,,,30.00,,4.20,,0
FA317,"5/32"" x 7/8"" Roll Pin",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA232,6-32 Hex Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,1.75,,1.75,0.89,,0.86,49.14,49.14,96.63,,30.00,1.28,1.22,-0.33,0
FA234,6-32 Nyloc Jam Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.65,,2.65,0.79,,1.86,70.19,70.19,235.44,,30.00,1.13,1.86,-1.07,0
FA233,6-32 Nyloc Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA245,"6-32 x 1/2"" Fillister Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.15,,2.15,0.41,,1.74,80.93,80.93,424.39,,30.00,0.59,1.50,-1.09,0
FA244,"6-32 x 1/2"" Pan Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FFB11-8,"Adjuster Spring - 8""",variation,Columbia Tools,(Uncategorized),8.00,,8.00,,,,,,,,30.00,,5.60,,0
FFB11-10,"Adjuster Spring - 10""",variation,Columbia Tools,(Uncategorized),8.00,,8.00,,,,,,,,30.00,,5.60,,0
FFB11-12,"Adjuster Spring - 12""",variation,Columbia Tools,(Uncategorized),8.00,,8.00,,,,,,,,30.00,,5.60,,0
FA239,"6-32 X 1/4"" Binder Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA227,"6-32 X 1/4"" Flat Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA236,"6-32 X 1/8"" Binder Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA235,"6-32 X 1/8"" Set Screw",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA237,"6-32 x 3/16"" Binder Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA238,"6-32 X 3/16"" Fillister Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA241,"6-32 X 3/8"" Binder Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA243,"6-32 x 3/8"" Flat Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA231,"6-32 x 3/8"" Hex Bolt",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.25,,2.25,0.64,,1.61,71.56,71.56,251.56,,30.00,0.92,1.58,-0.94,0
FA247,"6-32 X 5/8"" Hex Bolt",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.45,,2.45,0.80,,1.65,67.35,67.35,206.25,,30.00,1.15,1.72,-0.92,0
FA254,8-32 Nyloc Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA267,"8-32 x 1 1/2"" Pan Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.85,,2.85,0.41,,2.44,85.61,85.61,595.12,,30.00,0.59,2.00,-1.59,0
FA262,"8-32 x 1/2"" Socket",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.95,,2.95,1.11,,1.84,62.37,62.37,165.77,,30.00,1.59,2.06,-0.95,0
FA257,"8-32 x 1/4"" Fillister Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA256,"8-32 X 3/16"" Pan Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.15,,2.15,0.32,,1.83,85.12,85.12,571.88,,30.00,0.46,1.50,-1.18,0
FA265,"8-32 x 3/4"" Truss Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA260,"8-32 x 3/8"" Pan Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA261,"8-32 X 3/8"" Socket Screw",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.75,,2.75,0.43,,2.32,84.36,84.36,539.53,,30.00,0.62,1.92,-1.49,0
FA376,8-32 x 5/16 SS Socket Head,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA264,"8-32 x 5/8"" Truss Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA258,8-32X 1/4 Half Dog Set,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA249,"8-32X3/16"" Set Screw",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FFB5-7,"Axle - 7""",variation,Columbia Tools,(Uncategorized),44.00,,44.00,,,,,,,,30.00,,30.80,,0
FFB5-8,"Axle - 8""",variation,Columbia Tools,(Uncategorized),44.00,,44.00,,,,,,,,30.00,,30.80,,0
FFB5-10,"Axle - 10""",variation,Columbia Tools,(Uncategorized),44.00,,44.00,,,,,,,,30.00,,30.80,,0
FFB5-12,"Axle - 12""",variation,Columbia Tools,(Uncategorized),44.00,,44.00,,,,,,,,30.00,,30.80,,0
FFB5-14,"Axle - 14""",variation,Columbia Tools,(Uncategorized),44.00,,44.00,,,,,,,,30.00,,30.80,,0
FFB9-5.5,"Blade - 5.5""",variation,Columbia Tools,(Uncategorized),18.75,,18.75,,,,,,,,30.00,,13.12,,0
FFB9-7,"Blade - 7""",variation,Columbia Tools,(Uncategorized),22.50,,22.50,,,,,,,,30.00,,15.75,,0
FFB9-8,"Blade - 8""",variation,Columbia Tools,(Uncategorized),24.95,,24.95,,,,,,,,30.00,,17.46,,0
FFB9-10,"Blade - 10""",variation,Columbia Tools,(Uncategorized),28.95,,28.95,,,,,,,,30.00,,20.26,,0
FFB9-12,"Blade - 12""",variation,Columbia Tools,(Uncategorized),32.50,,32.50,,,,,,,,30.00,,22.75,,0
FFB9-14,"Blade - 14""",variation,Columbia Tools,(Uncategorized),36.95,,36.95,,,,,,,,30.00,,25.86,,0
HNS7-2,"Blade - 2""",variation,Columbia Tools,(Uncategorized),23.00,,23.00,,,,,,,,30.00,,16.10,,0
HNS7-3,"Blade - 3""",variation,Columbia Tools,(Uncategorized),23.00,,23.00,,,,,,,,30.00,,16.10,,0
FFB5A,Axel Bushing,simple,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,3.00,,,,,,,,30.00,,2.10,,0
MP32,Backing Washer Locator,simple,Columbia Tools,Drywall Finishing Tools > Parts,18.95,,18.95,,,,,,,,30.00,,13.26,,0
FFB8,Bar Retainer Clip,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
CT103,Barrel- Main Body,simple,Columbia Tools,Drywall Finishing Tools > Parts,112.50,,112.50,77.59,,34.91,31.03,31.03,44.99,,30.00,110.85,78.75,-1.16,0
CT125A,Bearing,simple,Columbia Tools,Drywall Finishing Tools > Parts,19.95,,19.95,1.93,,18.02,90.33,90.33,933.68,,30.00,2.76,13.96,-12.03,0
BH24A,Bearing Sleeve,simple,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,4.00,,,,,,,,30.00,,2.80,,0
CFB16,Bearing Sleeve,simple,Columbia Tools,Drywall Finishing Tools > Parts,18.75,,18.75,3.09,,15.66,83.52,83.52,506.80,,30.00,4.42,13.12,-10.03,0
CR-3,Bearing Sleeve,simple,Columbia Tools,Drywall Finishing Tools > Parts,19.99,,19.99,,,,,,,,30.00,,13.99,,0
HNS8-2,"Blade Holder - 2""",variation,Columbia Tools,(Uncategorized),33.00,,33.00,,,,,,,,30.00,,23.10,,0
HNS8-3,"Blade Holder - 3""",variation,Columbia Tools,(Uncategorized),33.00,,33.00,,,,,,,,30.00,,23.10,,0
AH9A,"Bottom Retainer Corner Clip - 3.5""",variation,Columbia Tools,(Uncategorized),11.50,,11.50,,,,,,,,30.00,,8.05,,0
AH9,Bottom Retainer Corner Clip - Standard,variation,Columbia Tools,(Uncategorized),10.00,,10.00,5.07,,4.93,49.30,49.30,97.24,,30.00,7.25,7.00,-1.93,0
BH9-3,Brake Connecting Strap - 3',variation,Columbia Tools,(Uncategorized),27.00,,27.00,,,,,,,,30.00,,18.90,,0
BH9-42,"Brake Connecting Strap - 42""",variation,Columbia Tools,(Uncategorized),29.00,,29.00,,,,,,,,30.00,,20.30,,0
BH9-4,Brake Connecting Strap - 4',variation,Columbia Tools,(Uncategorized),31.00,,31.00,,,,,,,,30.00,,21.70,,0
BH9-5,Brake Connecting Strap - 5',variation,Columbia Tools,(Uncategorized),33.00,,33.00,,,,,,,,30.00,,23.10,,0
BH9-6,Brake Connecting Strap - 6',variation,Columbia Tools,(Uncategorized),35.00,,35.00,,,,,,,,30.00,,24.50,,0
HH16A,Bleeder Screw,simple,Columbia Tools,Drywall Finishing Tools > Parts,17.00,,17.00,,,,,,,,30.00,,11.90,,0
HH10B,Bottom Cap,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
CFB8,Box Mount,simple,Columbia Tools,Drywall Finishing Tools > Parts,44.00,,44.00,27.15,,16.85,38.30,38.30,62.06,,30.00,38.79,30.80,-3.65,0
FFB36,Box Wheel,simple,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,5.00,,,,,,,,30.00,,3.50,,0
CT87A,Bracket Brace,simple,Columbia Tools,Drywall Finishing Tools > Parts,14.50,,14.50,4.67,,9.83,67.79,67.79,210.49,,30.00,6.68,10.15,-5.48,0
HH7,Brake,simple,Columbia Tools,Drywall Finishing Tools > Parts,22.00,,22.00,,,,,,,,30.00,,15.40,,0
MH9A,Brake Activation Rod,simple,Columbia Tools,Drywall Finishing Tools > Parts,24.00,,24.00,,,,,,,,30.00,,16.80,,0
CT16,Brake Dog,simple,Columbia Tools,Drywall Finishing Tools > Parts,15.00,,15.00,,,,,,,,30.00,,10.50,,0
HH13,Brake Pin,simple,Columbia Tools,Drywall Finishing Tools > Parts,16.00,,16.00,,,,,,,,30.00,,11.20,,0
HH14,Brake Piston,simple,Columbia Tools,Drywall Finishing Tools > Parts,17.00,,17.00,,,,,,,,30.00,,11.90,,0
MH8,Brake Rod Bushing,simple,Columbia Tools,Drywall Finishing Tools > Parts,8.00,,8.00,,,,,,,,30.00,,5.60,,0
HH12,Brake Spring,simple,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,5.00,,,,,,,,30.00,,3.50,,0
HH17A,Brass Connector - 1,variation,Columbia Tools,(Uncategorized),5.00,,5.00,,,,,,,,30.00,,3.50,,0
HH17B,Brass Connector - 2,variation,Columbia Tools,(Uncategorized),5.00,,5.00,,,,,,,,30.00,,3.50,,0
CT72,Cable,simple,Columbia Tools,Drywall Finishing Tools > Parts,10.00,,10.00,,,,,,,,30.00,,7.00,,0
CT73,Cable Drum,simple,Columbia Tools,Drywall Finishing Tools > Parts,28.95,,28.95,23.27,,5.68,19.62,19.62,24.41,,30.00,33.25,20.26,3.01,0
BH26,Cam,simple,Columbia Tools,Drywall Finishing Tools > Parts,21.95,,21.95,,,,,,,,30.00,,15.36,,0
BH7,Cam Follower,simple,Columbia Tools,Drywall Finishing Tools > Parts,15.00,,15.00,,,,,,,,30.00,,10.50,,0
HH19,Cap,simple,Columbia Tools,Drywall Finishing Tools > Parts,17.00,,17.00,,,,,,,,30.00,,11.90,,0
CT35,Cap Reinforcing Tab,simple,Columbia Tools,Drywall Finishing Tools > Parts,4.00,,4.00,1.93,,2.07,51.75,51.75,107.25,,30.00,2.76,2.80,-0.87,0
CT55,Carriage Guide Rod,simple,Columbia Tools,Drywall Finishing Tools > Parts,12.00,,12.00,,,,,,,,30.00,,8.40,,0
CT56,Carriage Guide Rod Stop,simple,Columbia Tools,Drywall Finishing Tools > Parts,7.00,,7.00,,,,,,,,30.00,,4.90,,0
CT31,Chain Tension & Guide Bracket,simple,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,6.00,3.49,,2.51,41.83,41.83,71.92,,30.00,4.99,4.20,-0.71,0
CT83,Clutch Dog,simple,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,3.00,,,,,,,,30.00,,2.10,,0
CT82,Clutch Lever,simple,Columbia Tools,Drywall Finishing Tools > Parts,19.75,,19.75,,,,,,,,30.00,,13.82,,0
CT88,Clutch Release Rod,simple,Columbia Tools,Drywall Finishing Tools > Parts,16.50,,16.50,9.31,,7.19,43.58,43.58,77.23,,30.00,13.30,11.55,-2.24,0
CT85,Clutch Release Shaft,simple,Columbia Tools,Drywall Finishing Tools > Parts,40.00,,40.00,23.27,,16.73,41.82,41.82,71.90,,30.00,33.25,28.00,-4.73,0
CT81,Clutch Return Spring,simple,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,3.00,1.56,,1.44,48.00,48.00,92.31,,30.00,2.23,2.10,-0.54,0
HH9,Coiled Hydraulic Line,simple,Columbia Tools,Drywall Finishing Tools > Parts,40.00,,40.00,,,,,,,,30.00,,28.00,,0
HP44,Collar O-Ring,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
AHA,Angle Head Adapter,simple,Columbia Tools,Drywall Finishing Tools > Parts,24.87,,24.87,14.56,24.87,10.31,41.46,41.46,70.81,41.46,30.00,20.80,17.41,-2.85,0
CMH,Columbia Closet Monster Handle,simple,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,119.76,,119.76,83.83,113.56,35.93,30.00,30.00,42.86,26.18,30.00,119.76,83.83,0.00,0
CC,Columbia Corner Cobra,simple,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,401.00,,401.00,245.62,367.71,155.38,38.75,38.75,63.26,33.20,30.00,350.89,280.70,-35.08,0
CR,Columbia Corner Roller,simple,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,167.63,,167.63,104.43,167.63,63.20,37.70,37.70,60.52,37.70,30.00,149.19,117.34,-12.91,0
CT86,CT86 – Toe Kicker Cable,simple,Columbia Tools,Drywall Finishing Tools > Parts,14.95,,14.95,11.64,,3.31,22.14,22.14,28.44,,30.00,16.63,10.46,1.18,0
FA259,"FA259 8-32 X 5/16"" Binder Slot",simple,Columbia Tools,Drywall Finishing Tools > Parts,1.00,,1.00,,,,,,,,30.00,,0.70,,0
FA292,FA292 1/4-20 Nyloc Jam Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,3.15,,3.15,0.81,,2.34,74.29,74.29,288.89,,30.00,1.16,2.20,-1.39,0
HNS4-2,"Door - 2""",variation,Columbia Tools,(Uncategorized),33.00,,33.00,,,,,,,,30.00,,23.10,,0
HNS4-3,"Door - 3""",variation,Columbia Tools,(Uncategorized),33.00,,33.00,,,,,,,,30.00,,23.10,,0
FA311,"FA311 1/4-28 X 1/2"" Socket Head",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
FA315,"FA315 10-32 X 3/8"" Flat Socket Head",simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
PCLT42,Columbia Predator Camlock Tube,simple,Columbia Tools,Drywall Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes | Drywall Finishing Tools > Predator Family,368.05,,368.05,242.69,368.05,125.36,34.06,34.06,51.65,34.06,30.00,346.70,257.64,-14.95,0
PCMT42,"Columbia Predator Compound Tube 42""",simple,Columbia Tools,Drywall Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes | Drywall Finishing Tools > Predator Family,274.93,,274.93,181.28,274.93,93.65,34.06,34.06,51.66,34.06,30.00,258.98,192.45,-11.17,0
PHMP,Columbia Predator Mud Pump,simple,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Loading Pumps | Drywall Finishing Tools > Predator Family,496.42,,496.42,327.49,496.42,168.93,34.03,34.03,51.58,34.03,30.00,467.85,347.49,-20.00,0
SAT,Columbia Semi Automatic Taper,simple,Columbia Tools,Drywall Finishing Tools > Semi-Automatic Taping Tools > Semi-Automatic Tapers,243.34,,243.34,166.26,243.34,77.08,31.68,31.68,46.36,31.68,30.00,237.52,170.34,-4.08,0
CFB5B,Cone Ball,simple,Columbia Tools,Drywall Finishing Tools > Parts,16.00,,16.00,,,,,,,,30.00,,11.20,,0
CT132,Connecting Link,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
MH7,Connecting Link Fork,simple,Columbia Tools,Drywall Finishing Tools > Parts,29.00,,29.00,,,,,,,,30.00,,20.30,,0
MH5,Connecting Link Pin,simple,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,5.00,,,,,,,,30.00,,3.50,,0
CT45,Connecting Rod,simple,Columbia Tools,Drywall Finishing Tools > Parts,22.95,,22.95,10.48,,12.47,54.34,54.34,118.99,,30.00,14.98,16.06,-5.58,0
MH16,Connecting Rod Housing,simple,Columbia Tools,Drywall Finishing Tools > Parts,8.00,,8.00,,,,,,,,30.00,,5.60,,0
CT112,Connecting Stud,simple,Columbia Tools,Drywall Finishing Tools > Parts,11.00,,11.00,6.51,,4.49,40.82,40.82,68.97,,30.00,9.30,7.70,-1.19,0
CT104,Connection Strap,simple,Columbia Tools,Drywall Finishing Tools > Parts,18.95,,18.95,,,,,,,,30.00,,13.26,,0
CT105,Crimper Lever,simple,Columbia Tools,Drywall Finishing Tools > Parts,34.50,,34.50,17.83,,16.67,48.32,48.32,93.49,,30.00,25.48,24.15,-6.32,0
CT10A,Crimping Arm Shaft Bushing - L,simple,Columbia Tools,Drywall Finishing Tools > Parts,13.95,,13.95,2.91,,11.04,79.14,79.14,379.38,,30.00,4.16,9.76,-6.85,0
CT47,Crimping Wheel,simple,Columbia Tools,Drywall Finishing Tools > Parts,18.95,,18.95,7.76,,11.19,59.05,59.05,144.20,,30.00,11.09,13.26,-5.50,0
CT50,Crimping Wheel Bushing,simple,Columbia Tools,Drywall Finishing Tools > Parts,6.00,,6.00,3.49,,2.51,41.83,41.83,71.92,,30.00,4.99,4.20,-0.71,0
CR4,Cut Washer,simple,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,3.00,,,,,,,,30.00,,2.10,,0
CT42A,Diamond Blade,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
CT13,Dog Base Bracket,simple,Columbia Tools,Drywall Finishing Tools > Parts,16.00,,16.00,,,,,,,,30.00,,11.20,,0
CFB4-7,"Door - 7""",variation,Columbia Tools,(Uncategorized),42.50,,42.50,7.76,,34.74,81.74,81.74,447.68,,30.00,11.09,29.75,-21.99,0
CFB4-8,"Door - 8""",variation,Columbia Tools,(Uncategorized),46.95,,46.95,7.76,,39.19,83.47,83.47,505.03,,30.00,11.09,32.86,-25.10,0
HNS15-2,"Door Gasket - 2""",variation,Columbia Tools,(Uncategorized),36.00,,36.00,,,,,,,,30.00,,25.20,,0
HNS15-3,"Door Gasket - 3""",variation,Columbia Tools,(Uncategorized),35.00,,35.00,,,,,,,,30.00,,24.50,,0
CFB7-7,"Door Gasket - 7""",variation,Columbia Tools,(Uncategorized),28.50,,28.50,23.27,,5.23,18.35,18.35,22.48,,30.00,33.25,19.95,3.32,0
CFB7-8,"Door Gasket - 8""",variation,Columbia Tools,(Uncategorized),31.95,,31.95,23.27,,8.68,27.17,27.17,37.30,,30.00,33.25,22.36,0.91,0
HNS10A,Door Spring - Short,variation,Columbia Tools,(Uncategorized),18.75,,18.75,,,,,,,,30.00,,13.12,,0
HNS10,Door Spring - Long,variation,Columbia Tools,(Uncategorized),18.75,,18.75,,,,,,,,30.00,,13.12,,0
CT71,Drive Sprocket - Small,variation,Columbia Tools,(Uncategorized),15.00,,15.00,,,,,,,,30.00,,10.50,,0
CT77,Drive Sprocket - Large,variation,Columbia Tools,(Uncategorized),26.50,,26.50,38.77,,-12.27,-46.30,-46.30,-31.65,,30.00,55.39,18.55,20.22,0
CFB15,Door Hinge,simple,Columbia Tools,Drywall Finishing Tools > Parts,24.95,,24.95,15.51,,9.44,37.84,37.84,60.86,,30.00,22.16,17.46,-1.95,0
FFB17,Door Spring,simple,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,5.00,2.72,,2.28,45.60,45.60,83.82,,30.00,3.89,3.50,-0.78,0
FFB16,Door Spring Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,5.00,,5.00,,,,,,,,30.00,,3.50,,0
CFB11A,Door Stop,simple,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,3.00,,,,,,,,30.00,,2.10,,0
FFB32,Door Stop,simple,Columbia Tools,Drywall Finishing Tools > Parts,3.00,,3.00,,,,,,,,30.00,,2.10,,0
CT78,Drive Chain,simple,Columbia Tools,Drywall Finishing Tools > Parts,66.00,,66.00,51.20,,14.80,22.42,22.42,28.91,,30.00,73.15,46.20,5.00,0
CT70,Drive Shaft,simple,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,33.00,,,,,,,,30.00,,23.10,,0
CT87,Engraved Cover Plate Cap,simple,Columbia Tools,Drywall Finishing Tools > Parts,42.00,,42.00,,,,,,,,30.00,,29.40,,0
HH5,Extension Housing,simple,Columbia Tools,Drywall Finishing Tools > Parts,33.00,,33.00,,,,,,,,30.00,,23.10,,0
HH30,Extension Release Trigger,simple,Columbia Tools,Drywall Finishing Tools > Parts,14.25,,14.25,,,,,,,,30.00,,9.98,,0
CT130,Extension Shaft,simple,Columbia Tools,Drywall Finishing Tools > Parts,32.50,,32.50,13.97,,18.53,57.02,57.02,132.64,,30.00,19.96,22.75,-8.78,0
AH7-2,"Frame Tension Spring - 2""",variation,Columbia Tools,(Uncategorized),12.50,,12.50,0.79,,11.71,93.68,93.68,1482.28,,30.00,1.13,8.75,-7.96,0
AH7-2.5,"Frame Tension Spring - 2.5""",variation,Columbia Tools,(Uncategorized),2.00,,2.00,0.79,,1.21,60.50,60.50,153.16,,30.00,1.13,1.40,-0.61,0
AH7-3,"Frame Tension Spring - 3""",variation,Columbia Tools,(Uncategorized),13.25,,13.25,0.79,,12.46,94.04,94.04,1577.22,,30.00,1.13,9.28,-8.49,0
AH7-3.5,"Frame Tension Spring - 3.5""",variation,Columbia Tools,(Uncategorized),14.50,,14.50,0.79,,13.71,94.55,94.55,1735.44,,30.00,1.13,10.15,-9.36,0
CT127,Extension Shaft Bracket,simple,Columbia Tools,Drywall Finishing Tools > Parts,21.95,,21.95,19.39,,2.56,11.66,11.66,13.20,,30.00,27.70,15.36,4.03,0
MP33,Filler Gasket,simple,Columbia Tools,Drywall Finishing Tools > Parts,2.00,,2.00,,,,,,,,30.00,,1.40,,0
MP28,Filler Nut,simple,Columbia Tools,Drywall Finishing Tools > Parts,12.25,,12.25,,,,,,,,30.00,,8.58,,0
