Brand,Product Name,SKU,Product Price,Product Description
,"8 in. High Performance Caster, Swivel - Sold as Each (AIE-48199559)",WHSE-AIE4819959,48,"8 in. High Performance Caster, Swivel"
,"Advance 10"" Slimline Textured Handle Taping Knife - Stainless Steel",ADVA-35510,7.68,"The Advance 10"" Slimline Textured Handle Taping Knife - Stainless Steel features a stainless steel blade held in a durable aluminum rib. Sturdy textured black handle is molded directly to blade."
,"Advance 12"" Slimline Textured Handle Taping Knife - Stainless Steel",ADVA-35512,8.07,"The Advance 12"" Slimline Textured Handle Taping Knife - Stainless Steel features a stainless steel blade held in a durable aluminum rib. Sturdy textured black handle is molded directly to blade."
,"Advance 14"" Slimline Textured Handle Taping Knife - Stainless Steel",ADVA-35514,9.2,"The Advance 14"" Slimline Textured Handle Taping Knife - Stainless Steel features a stainless steel blade held in a durable aluminum rib. Sturdy textured black handle is molded directly to blade."
,"Advance 8"" Slimline Textured Handle Taping Knife - Stainless Steel",ADVA-35508,6.95,"The Advance 8"" Slimline Textured Handle Taping Knife - Stainless Steel features a stainless steel blade held in a durable aluminum rib. Sturdy textured black handle is molded directly to blade."
,Advance Clear Jam Tool (ADVA-34991),ADVA-34991,13.7,Advance Clear Jam Tool (ADVA-34991)
,Advance Nut (ADVA-A16),ADVA-A16,0.5,"WallTools a leading supplier of professional tools for drywall hanging and drywall finishing, wallpaper, wallcovering, and ceiling grid. Major brands including automatic taping tools by Columbia Taping Tools, Blue Line & Tapepro, TapeTech, Level-5; Advance Paste machines; DeWalt Power tools; USG Sheetrock taping knives, Kraft, Trim-Tex, Porter Cable, and many more."
,Arrow JT21CM Staple Gun (ARRO-JT21CM),ARRO-JT21CM,21.93,Arrow JT21CM Staple Gun (ARRO-JT21CM)
,Arrow T50 Staple Gun (ARRO-T50),ARRO-T50,33.75,Arrow T50 Staple Gun (ARRO-T50)
,Blue Line USA Blue Tool Lubricant (BLUE-LU031),BLUE-LU031,4.95,Blue Line USA Blue Tool Lubricant (BLUE-LU031)
,CLC Steel Loop Hammer Holder,CLC-439,4.95,Steel Loop Hammer Holder
,Colorado Left Hand Web Banjo,COLO-WBL,179.67,Colorado Left Hand Web Banjo is the perfect tool for simultaneously applying tape and joint compound to flat and internal joints.
,Colorado Right Banjo Hand Replacement Blade,COLO-RBR,18.5,Colorado Right Banjo Hand Replacement Blade
,Colorado Right Hand Web Banjo,COLO-WBR,179.87,Colorado Right Hand Web Banjo is the perfect tool for simultaneously applying tape and joint compound to flat and internal joints.
,"Columbia 10"" Bead Wheel Conversion Kit",FFBR40-10,55.61,"WallTools a leading supplier of professional tools for drywall hanging and drywall finishing, wallpaper, wallcovering, and ceiling grid. Major brands including automatic taping tools by Columbia Taping Tools, Blue Line & Tapepro, TapeTech, Level-5; Advance Paste machines; DeWalt Power tools; USG Sheetrock taping knives, Kraft, Trim-Tex, Porter Cable, and many more."
,"Columbia 12"" Bead Wheel Conversion Kit",FFBR40-12,55.61,"WallTools a leading supplier of professional tools for drywall hanging and drywall finishing, wallpaper, wallcovering, and ceiling grid. Major brands including automatic taping tools by Columbia Taping Tools, Blue Line & Tapepro, TapeTech, Level-5; Advance Paste machines; DeWalt Power tools; USG Sheetrock taping knives, Kraft, Trim-Tex, Porter Cable, and many more."
,Columbia Nylatron Bushing (COLM-HFFB4D),HFFB4D,2.04,Columbia Nylatron Bushing
,EZ Tape Flame Fighter Tape - 250 ft. Roll (WHSE-99251),WHSE-99251,29.99,EZ Tape Flame Fighter Tape - 250 ft. Roll
,Heritage 2 Pocket Nail Bag (HERI-483SP),HERI-483SP,26.25,Heritage 2 Pocket Nail Bag (HERI-483SP)
,KN95 Face Mask 2 Pack,WHSE-KN95-2,2.5,KN95 Face Mask 2 Pack
,KN95 Face Mask 20-2 Packs,WHSE-KN95-20-2,40,KN95 Face Mask 20-2 Packs
,KN95 Face Mask 5 Pack,WHSE-KN95-5,17.5,KN95 Face Mask 5 Pack
,PC54BS Adapter for Step-Up (Manufactured prior to 2016),PERR-SU456,12,PC54BS Adapter for Step-Up (Manufactured prior to 2016) and other replacement parts to keep your favorite Perry tools running at peak performance.
,"Spray Force 1"" Y-Strainer (SPFO-400042)",SPFO-400042,198.75,"Spray Force 1"" Y-Strainer (SPFO-400042)"
,"TapeTech Corner Roller and Handles (TAPE-15TTE, FHTT, XHTT)",CR,248,"WallTools a leading supplier of professional tools for drywall hanging and drywall finishing, wallpaper, wallcovering, and ceiling grid. Major brands including automatic taping tools by Columbia Taping Tools, Blue Line & Tapepro, TapeTech, Level-5; Advance Paste machines; DeWalt Power tools; USG Sheetrock taping knives, Kraft, Trim-Tex, Porter Cable, and many more."
,"TapeTech Easy Roll Adjustable Angle Head / Corner Finisher (TAPE-48TT, 48XTT)",48X,429,"WallTools a leading supplier of professional tools for drywall hanging and drywall finishing, wallpaper, wallcovering, and ceiling grid. Major brands including automatic taping tools by Columbia Taping Tools, Blue Line & Tapepro, TapeTech, Level-5; Advance Paste machines; DeWalt Power tools; USG Sheetrock taping knives, Kraft, Trim-Tex, Porter Cable, and many more."
,Twister Plate Hinge,TPRO-FH019,33.75,Twister Plate Hinge (TPRO-FH019)
3M,3M 1 1/2 in. General Purpose Masking Tape 2020 (3M-2020-15A),3M-2020-1.5A-BK,2.87,3M 1 1/2 in. General Purpose Masking Tape 2020
