metric,value,count
output_rows,all,5070
rejected_rows,all,5231
matched_brand,Columbia Tools,1712
matched_brand,Dura-Stilts,170
matched_brand,LEVEL5,53
matched_brand,Platinum Drywall Tools,32
matched_brand,SurPro,82
matched_brand,TapeTech,2843
matched_brand,USG Sheetrock Tools,178
match_method,canonical_brand_evidence,5070
rejection_reason,brand_identifier_conflict,20
rejection_reason,identifier_without_brand_evidence,12
rejection_reason,not_current_dtb_brand,5199
