DTB Row,DTB SKU,DTB Brand,DTB Product,DTB Effective Price,DTB Price Basis,Recommended Review Status
563,4-779,LEVEL5,"LEVEL5 50"" Fixed Handle - Corner Finisher",92.88,regular_price,No Match Found
564,4-792,LEVEL5,"LEVEL5 31""- 50"" Corner Roller/Nail Spotter Handle",180.62,regular_price,No Match Found
565,4-760,LEVEL5,LEVEL5 Automatic Taper,1455.39,regular_price,No Match Found
567,4-771,LEVEL5,LEVEL5 Compound Pump,455.88,regular_price,No Match Found
568,4-741,LEVEL5,LEVEL5 Compound Tube,205.31,regular_price,No Match Found
570,5-311,LEVEL5,LEVEL5 Drywall Banjo,151.37,regular_price,No Match Found
575,PT-3CF,Platinum Drywall Tools,"Platinum Angle Head Corner Finisher with Wheels - 3""",249.00,regular_price,No Match Found
580,PT-BH34,Platinum Drywall Tools,"Platinum Flat Box Handle - 34""",90.00,regular_price,No Match Found
581,PT-FB,Platinum Drywall Tools,Platinum Flat Finishing Box,,missing_price,No Match Found
589,4-772,LEVEL5,LEVEL5 MiniShot,941.72,regular_price,No Match Found
590,4-773,LEVEL5,LEVEL5 MiniShot Ext. Handle,74.48,regular_price,No Match Found
592,PT-SSCF,Platinum Drywall Tools,Platinum Stainless Steel Corner Flusher,,missing_price,No Match Found
593,PT-CORNER-HANDLE-50,Platinum Drywall Tools,"Platinum 50"" Corner Tool Handle",,missing_price,No Match Found
594,4-746,LEVEL5,LEVEL5 Outside Corner Tool,77.26,regular_price,No Match Found
601,PT-90-APPLICATOR,Platinum Drywall Tools,Platinum 90° Corner Applicator,,missing_price,No Match Found
602,PT-CORNER-ROLLER,Platinum Drywall Tools,Platinum Corner Roller,,missing_price,No Match Found
607,PT-CR,Platinum Drywall Tools,Platinum Corner Roller - Inside,79.99,regular_price,No Match Found
608,PT-OCR,Platinum Drywall Tools,Platinum Corner Roller - Outside 90°,69.99,regular_price,No Match Found
609,PT-FA,Platinum Drywall Tools,"Platinum 4"" Flat Applicator",59.00,regular_price,No Match Found
610,PT-CA8,Platinum Drywall Tools,"Platinum 8"" Corner Applicator",159.00,regular_price,No Match Found
611,SP-S1-A,SurPro,SurPro S1 Aluminum Drywall Stilts,,missing_price,No Match Found
612,PT-BF,Platinum Drywall Tools,Platinum Box Filler Attachment,49.00,regular_price,No Match Found
613,PT-CP,Platinum Drywall Tools,Platinum Drywall Pump w/Filler,269.00,regular_price,No Match Found
