Canonical Brand,Legacy Compact Key,Distinct Canonical Identifiers,Raw Identifiers,Competitors,Observation Count,Disposition
Columbia Tools,ct73,ct-73 | ct73,CT-73 | CT73,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,ct80,ct-80 | ct80,CT-80 | CT80,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,ct87cs,ct87-cs | ct87cs,CT87-CS | CT87CS,All-Wall | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,ct99,ct-99 | ct99,CT-99 | CT99,Al's Taping Tools | All-Wall,2,quarantine_legacy_collision_only
Columbia Tools,cta41,cta-41 | cta41,CTA-41 | CTA41,Al's Taping Tools | All-Wall | Wall Tools,4,quarantine_legacy_collision_only
Columbia Tools,ctr1,ctr-1 | ctr1,CTR-1 | CTR1,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,ctr2,ctr-2 | ctr2,CTR-2 | CTR2,Al's Taping Tools | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,ffb17,ffb1-7 | ffb17,FFB1-7 | FFB17,All-Wall | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,ffb2510,ffb-25-10 | ffb25-10,FFB25-10 | ffb-25-10,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,ffb7,ffb-7 | ffb7,FFB-7 | FFB7,Al's Taping Tools | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,ffb7a,ffb-7a | ffb7a,FFB-7A | FFB7A,Al's Taping Tools | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,ffba1014,ffba-10-14 | ffba10-14,FFBA-10-14 | FFBA10-14,Al's Taping Tools | All-Wall,2,quarantine_legacy_collision_only
Columbia Tools,ffba107,ffba-10-7 | ffba10-7,FFBA10-7 | ffba-10-7,Al's Taping Tools | All-Wall,2,quarantine_legacy_collision_only
Columbia Tools,ffba12,ffba-12 | ffba12,FFBA-12 | FFBA12,All-Wall | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,ffbr4010,ffbr-40-10 | ffbr40-10,FFBR-40-10 | FFBR40-10,All-Wall | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,ffbr4012,ffbr-40-12 | ffbr40-12,FFBR-40-12 | FFBR40-12,All-Wall | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,ffbr408,ffbr-40-8 | ffbr40-8,FFBR-40-8 | FFBR40-8,All-Wall | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,hhr1,hhr-1 | hhr1,HHR-1 | HHR1,All-Wall | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,hnsa52,hnsa-5-2 | hnsa5-2,HNSA-5-2 | HNSA-5-2” | HNSA5-2,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,hnsa53,hnsa-5-3 | hnsa5-3,HNSA-5-3” | HNSA5-3,All-Wall | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,mp23,mp-23 | mp23,MP-23 | MP23,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,mp36,mp-36 | mp36,MP-36 | MP36,Al's Taping Tools | All-Wall | Wall Tools,3,quarantine_legacy_collision_only
Columbia Tools,mpr1,mpr-1 | mpr1,MPR-1 | MPR1,Al's Taping Tools | Wall Tools,2,quarantine_legacy_collision_only
Columbia Tools,ns32,ns3-2 | ns32,NS3-2 | NS32,All-Wall,2,quarantine_legacy_collision_only
Columbia Tools,tl38,tl3-8 | tl38,TL3-8 | TL38,All-Wall | Wall Tools,2,quarantine_legacy_collision_only
