SKU,Brand,Product,Regular Price,Sale Price,Al's Taping Tools Price,Wall Tools Price,All-Wall Price
3BH,Columbia Tools,Columbia 180° Grip Flat Box Handle - 3',189.26,,189.26,,189.99
42BH,Columbia Tools,"Columbia 180° Grip Flat Box Handle - 42""",205.49,,205.49,,205.99
4BH,Columbia Tools,Columbia 180° Grip Flat Box Handle - 4',210.89,,210.89,210.89,210.99
5BH,Columbia Tools,Columbia 180° Grip Flat Box Handle - 5',221.71,,221.71,,221.99
6BH,Columbia Tools,Columbia 180° Grip Flat Box Handle - 6',232.52,,232.52,,232.99
2AH,Columbia Tools,"Columbia Angle Head - 2""",410.97,,410.97,,410.99
2.5AH,Columbia Tools,"Columbia Angle Head - 2.5""",421.79,,421.79,,421.99
3AH,Columbia Tools,"Columbia Angle Head - 3""",443.42,,443.42,,443.99
3.5AH,Columbia Tools,"Columbia Angle Head - 3.5""",470.80,,454.23,,454.99
8FBBA,Columbia Tools,"Columbia Automatic Fat Boy Box - 8""",481.27,,481.27,,481.99
10FBBA,Columbia Tools,"Columbia Automatic Fat Boy Box - 10""",492.08,,492.08,492.08,492.99
12FBBA,Columbia Tools,"Columbia Automatic Fat Boy Box - 12""",502.90,,502.90,,502.99
8FFBA,Columbia Tools,"Columbia Automatic Flat Box - 8""",421.79,,,431.93,421.99
10FFBA,Columbia Tools,"Columbia Automatic Flat Box - 10""",427.19,,,427.19,427.99
12FFBA,Columbia Tools,"Columbia Automatic Flat Box - 12""",432.60,,,432.60,432.99
14FFBA,Columbia Tools,"Columbia Automatic Flat Box - 14""",438.01,,438.01,438.01,438.99
STAPER,Columbia Tools,"Columbia Automatic Taper - Sawed Off 39""",1715.43,,1649.29,1649.29,1649.29
TAPER,Columbia Tools,"Columbia Automatic Taper - Standard 53""",1715.43,,1649.29,1649.29,1649.29
PTAPER,Columbia Tools,Columbia One Predator Taper,2145.46,,,,
ICA2-1,Columbia Tools,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",68.13,,68.13,68.13,68.99
ICA4-1,Columbia Tools,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",85.44,,85.44,85.43,85.99
ICATW,Columbia Tools,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,116.80,,116.80,116.80,116.99
CEXT90,Columbia Tools,Columbia Billet Mud Applicator - External 90,127.62,,127.62,127.62,127.99
CFLT,Columbia Tools,Columbia Billet Mud Applicator - Flat,91.93,,91.93,91.94,91.99
BF,Columbia Tools,Columbia Box Filler - Standard,75.71,,75.71,75.71,75.99
TBBF,Columbia Tools,Columbia Box Filler - Tall Boy,75.71,,,75.71,75.99
CLT24,Columbia Tools,"Columbia Cam Lock Tube - 24""",270.95,,,,257.99
CLT32,Columbia Tools,"Columbia Cam Lock Tube - 32""",279.72,,268.21,268.22,268.99
CLT42,Columbia Tools,"Columbia Cam Lock Tube - 42""",297.33,,280.11,280.10,280.99
CLT55,Columbia Tools,"Columbia Cam Lock Tube - 55""",307.89,,278.10,,278.99
2.5CSF,Columbia Tools,"Columbia Combo Flusher - 2.5""",190.27,,,,163.99
3CSF,Columbia Tools,"Columbia Combo Flusher - 3""",196.25,,163.31,,168.99
3WTCSF,Columbia Tools,"Columbia Combo Flusher - 3"" Widetrack",196.25,,,,
3.5CSF,Columbia Tools,"Columbia Combo Flusher - 3.5""",202.25,,,,181.99
CMT24,Columbia Tools,"Columbia Compound Tube - 24""",197.91,,197.91,,197.99
CMT32,Columbia Tools,"Columbia Compound Tube - 32""",208.73,,208.73,,208.99
CMT42,Columbia Tools,"Columbia Compound Tube - 42""",221.71,,221.71,,221.99
CMT55,Columbia Tools,"Columbia Compound Tube - 55""",232.52,,,,232.99
2.5DF,Columbia Tools,"Columbia Direct Flusher - 2.5""",127.62,,127.62,,127.99
3DF,Columbia Tools,"Columbia Direct Flusher - 3""",133.02,,133.02,,130.99
3WTDF,Columbia Tools,"Columbia Direct Flusher - 3"" Widetrack",140.60,,115.00,,140.99
3.5DF,Columbia Tools,"Columbia Direct Flusher - 3.5""",146.00,,146.00,,146.00
4DF,Columbia Tools,"Columbia Direct Flusher - 4""",151.41,,,,
5.5FBB,Columbia Tools,"Columbia Fat Boy Flat Box - 5.5""",384.39,,,,
8FBB,Columbia Tools,"Columbia Fat Boy Flat Box - 8""",443.42,,,,443.99
10FBB,Columbia Tools,"Columbia Fat Boy Flat Box - 10""",454.23,,,,454.99
12FBB,Columbia Tools,"Columbia Fat Boy Flat Box - 12""",465.05,,,,465.99
5.5FFB,Columbia Tools,"Columbia Flat Finisher Box - 5.5""",367.71,,367.71,,367.99
7FFB,Columbia Tools,"Columbia Flat Finisher Box - 7""",378.53,,378.53,,378.99
8FFB,Columbia Tools,"Columbia Flat Finisher Box - 8""",389.34,,389.34,,389.99
10FFB,Columbia Tools,"Columbia Flat Finisher Box - 10""",400.16,,400.16,400.16,400.99
12FFB,Columbia Tools,"Columbia Flat Finisher Box - 12""",410.97,,410.97,410.97,410.99
14FFB,Columbia Tools,"Columbia Flat Finisher Box - 14""",421.79,,421.79,,421.99
GN,Columbia Tools,Columbia Gooseneck - Standard,100.42,,108.15,108.15,108.99
TBGN,Columbia Tools,Columbia Gooseneck - Tall Boy,146.00,,146.00,146.00,146.00
HMP,Columbia Tools,Columbia Hot Mud Pump - Standard,410.97,,410.97,410.97,410.99
TBMP,Columbia Tools,Columbia Hot Mud Pump - Tall Boy,540.03,,492.08,492.07,492.99
HMP-C,Columbia Tools,Columbia Hot Mud Pump - CDN,380.00,,,,
MHS,Columbia Tools,"Columbia Matrix Flat Box Handle - 29""-39""",375.00,,340.67,340.67,340.99
