DTB Row,DTB SKU,DTB Identifiers,DTB Name,DTB Brand,DTB Regular Price
630,SP-S2-A,"SP-S2-A | S2-A-1624, S2-A-2030, S2-A-2640",SurPro S2 Aluminum Drywall Stilts,SurPro,
631,SP-S2-M,"SP-S2-M | S2-M-1624, S2-M-2030, S2-M-2640",SurPro S2 Magnesium Drywall Stilts,SurPro,
632,S2-A-1624,S2-A-1624,"SurPro S2 Aluminum Drywall Stilts - 16""-24""",SurPro,356.00
633,S2-A-2030,S2-A-2030,"SurPro S2 Aluminum Drywall Stilts - 20""-30""",SurPro,365.00
634,S2-A-2640,S2-A-2640,"SurPro S2 Aluminum Drywall Stilts - 26""-40""",SurPro,374.00
641,SP-S2X-A,"SP-S2X-A | S2X-A-2640, S2X-A-3852",SurPro S2X Aluminum Drywall Stilts,SurPro,
642,SP-S2X-M,"SP-S2X-M | S2X-M-2131, S2X-M-2640",SurPro S2X Magnesium Drywall Stilts,SurPro,
643,TT-APPLICATOR-HEAD,TT-APPLICATOR-HEAD,TapeTech Applicator Head,TapeTech,
645,S2X-A-3852,S2X-A-3852,"SurPro S2X Aluminum Drywall Stilts - 38""-52""",SurPro,486.00
646,S2X-A-2640,S2X-A-2640,"SurPro S2X Aluminum Drywall Stilts - 26""-40""",SurPro,457.00
661,TT-COMBO-CORNER-FLUSHER,TT-COMBO-CORNER-FLUSHER,TapeTech Combo Corner Flusher,TapeTech,
670,TT-COMPOUND-TUBE,TT-COMPOUND-TUBE,TapeTech Compound Tube,TapeTech,
671,TT-CORNER-APPLICATOR,TT-CORNER-APPLICATOR,TapeTech Corner Applicator,TapeTech,
672,TT-CORNER-FINISHER,TT-CORNER-FINISHER,TapeTech Corner Finisher,TapeTech,
681,TT-CORNER-ROLLER,TT-CORNER-ROLLER,TapeTech Corner Roller,TapeTech,
682,TT-COVE-APPLICATOR-HEAD,TT-COVE-APPLICATOR-HEAD,TapeTech Cove Applicator Head,TapeTech,
691,TT-DIRECT-CORNER-FLUSHER,TT-DIRECT-CORNER-FLUSHER,TapeTech Direct Corner Flusher,TapeTech,
700,TT-EASYCLEAN-FINISHING-BOX,TT-EASYCLEAN-FINISHING-BOX,TapeTech EasyClean® Finishing Box,TapeTech,
702,TT-EASYFINISH-BOX-HANDLE,TT-EASYFINISH-BOX-HANDLE,TapeTech EasyFinish™ Box Handle,TapeTech,
721,TT-MAXXBOX-HIGH-CAPACITY-FINISHING-BOX,TT-MAXXBOX-HIGH-CAPACITY-FINISHING-BOX,TapeTech MaxxBox® High Capacity Finishing Box,TapeTech,
722,TT-NAIL-SPOTTER,TT-NAIL-SPOTTER,TapeTech Nail Spotter,TapeTech,
730,TT-POWER-ASSIST-MAXXBOX-FINISHING-BOX,TT-POWER-ASSIST-MAXXBOX-FINISHING-BOX,TapeTech Power Assist® MaxxBox® Finishing Box,TapeTech,
732,TT-SUPPORT-HANDLE,TT-SUPPORT-HANDLE,TapeTech Support Handle,TapeTech,
741,TT-SUPPORT-HANDLE-ADAPTER,TT-SUPPORT-HANDLE-ADAPTER,TapeTech Support Handle Adapter,TapeTech,
742,TT-WIZARD-COMPACT-FINISHING-BOX-HANDLE,TT-WIZARD-COMPACT-FINISHING-BOX-HANDLE,TapeTech Wizard® Compact Finishing Box Handle,TapeTech,
756,,,"USG Sheetrock Magnesium, Lightweight Professional Drywall Stilts 18-30”",USG Sheetrock,299.00
