catalog_sku,catalog_product_name,catalog_product_type,csr_source_rows,csr_sale_price_usd,old_sale_price,new_sale_price,old_regular_price,new_regular_price,status,applied_at
HFFB3A,Hinge Box End Plate - Left,variation,1,36.00,36.00,36.00,39.60,39.60,ALREADY_CURRENT,2026-09-17T09:17:51Z
HFFB4D,Nylatron Bushing,simple,1,3.00,3.00,3.00,3.30,3.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH10A,Top Cap,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH10B,Bottom Cap,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH12,Brake Spring,simple,1,5.00,6.55,5.00,7.21,5.50,UPDATED,2026-09-17T09:17:51Z
HH13,Brake Pin,simple,1,16.00,19.46,16.00,21.41,17.60,UPDATED,2026-09-17T09:17:51Z
HH14,Brake Piston,simple,1,17.00,17.00,17.00,18.70,18.70,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH15,Grip Sleeve Octagon,simple,1,15.00,15.00,15.00,16.50,16.50,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH16,Piston Housing,simple,1,26.00,27.00,26.00,29.70,28.60,UPDATED,2026-09-17T09:17:51Z
HH16A,Bleeder Screw,simple,1,17.00,17.00,17.00,18.70,18.70,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH17A,Brass Connector - 1,variation,1,5.00,5.00,5.00,5.50,5.50,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH17B,Brass Connector - 2,variation,1,5.00,5.00,5.00,5.50,5.50,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH17C,Line Pincher,simple,1,4.00,4.00,4.00,4.40,4.40,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH19,Cap,simple,1,17.00,17.00,17.00,18.70,18.70,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH2,Upper Mounting Bracket,simple,1,65.00,77.48,65.00,85.23,71.50,UPDATED,2026-09-17T09:17:51Z
HH23,Piston O-Ring,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH30,Extension Release Trigger,simple,1,17.00,20.44,17.00,22.48,18.70,UPDATED,2026-09-17T09:17:51Z
HH31,Release Clip Pin,simple,1,13.00,16.36,13.00,18.00,14.30,UPDATED,2026-09-17T09:17:51Z
HH32,Release Clip Washer,simple,1,22.00,27.26,22.00,29.99,24.20,UPDATED,2026-09-17T09:17:51Z
HH33,Rlease Trigger Spring,simple,1,5.00,7.3,5.00,8.03,5.50,UPDATED,2026-09-17T09:17:51Z
HH35,Handle Grip,simple,2,7.00,9.45,7.00,10.40,7.70,UPDATED,2026-09-17T09:17:51Z
HH5,Extension Housing,simple,1,33.00,33.00,33.00,36.30,36.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
HH7,Brake,simple,1,22.00,26.52,22.00,29.17,24.20,UPDATED,2026-09-17T09:17:51Z
HH8,Handle Tube,simple,2,44.00,45.00,44.00,49.50,48.40,UPDATED,2026-09-17T09:17:51Z
HH9,Coiled Hydraulic Line,simple,1,40.00,50.01,40.00,55.01,44.00,UPDATED,2026-09-17T09:17:51Z
HNS10,Door Spring - Long,variation,1,5.00,6.38,5.00,7.02,5.50,UPDATED,2026-09-17T09:17:51Z
HNS10A,Door Spring - Short,variation,1,5.00,6.05,5.00,6.66,5.50,UPDATED,2026-09-17T09:17:51Z
HNS12,Handle Clamp,simple,1,17.00,19.22,17.00,21.14,18.70,UPDATED,2026-09-17T09:17:51Z
HNS12A,Roll Pin,simple,1,6.00,8.01,6.00,8.81,6.60,UPDATED,2026-09-17T09:17:51Z
HNS13,Roll Pin Bushing,simple,1,4.00,4.78,4.00,5.26,4.40,UPDATED,2026-09-17T09:17:51Z
HNS17A,Nail Spotter Handle Tightness Screw,simple,1,5.00,4.82,5.00,5.30,5.50,UPDATED,2026-09-17T09:17:51Z
HNS18,Pivot,simple,1,4.00,4.00,4.00,4.40,4.40,ALREADY_CURRENT,2026-09-17T09:17:51Z
HNS20,Wedge,simple,1,17.00,20.44,17.00,22.48,18.70,UPDATED,2026-09-17T09:17:51Z
HNS4,Door,variable,2,33.00,,33.00,,36.30,UPDATED,2026-09-17T09:17:51Z
HNS7,Blade,variable,2,23.00,,23.00,,25.30,UPDATED,2026-09-17T09:17:51Z
HNS8,Blade Holder,variable,2,33.00,,33.00,,36.30,UPDATED,2026-09-17T09:17:51Z
HP1,Pump Cylinder,simple,1,51.00,60.26,51.00,66.29,56.10,UPDATED,2026-09-17T09:17:51Z
HP44,Collar O-Ring,simple,1,2.00,2.35,2.00,2.59,2.20,UPDATED,2026-09-17T09:17:51Z
HP45,O Ring Enclosure,simple,1,22.00,22.6,22.00,24.86,24.20,UPDATED,2026-09-17T09:17:51Z
HP46,Latch Keeper,simple,1,6.00,5.48,6.00,6.03,6.60,UPDATED,2026-09-17T09:17:51Z
HP47,Latch Clamp Assembly,simple,1,31.00,28.95,31.00,31.85,34.10,UPDATED,2026-09-17T09:17:51Z
MH1,Handle Mount Plate,simple,1,74.00,75.00,74.00,82.50,81.40,UPDATED,2026-09-17T09:17:51Z
MH10,Octagon,simple,1,36.00,36.00,36.00,39.60,39.60,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH11,Handle Grip Bushing,simple,1,6.00,6.00,6.00,6.60,6.60,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH12,PinchBrake Spring,simple,1,4.00,4.00,4.00,4.40,4.40,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH13,Large Nyliner Bushing,simple,1,5.00,5.00,5.00,5.50,5.50,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH15,Pinch Brake Activator,simple,1,22.00,22.00,22.00,24.20,24.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH16,Connecting Rod Housing,simple,1,8.00,8.00,8.00,8.80,8.80,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH17,Pinch Brake,simple,1,22.00,24.50,22.00,26.95,24.20,UPDATED,2026-09-17T09:17:51Z
MH18,Pinch Brake Housing,simple,1,19.00,20.00,19.00,22.00,20.90,UPDATED,2026-09-17T09:17:51Z
MH19,Pinch Brake Sleeve,simple,1,27.00,28.00,27.00,30.80,29.70,UPDATED,2026-09-17T09:17:51Z
MH2,Matrix Handle Head,simple,1,4.00,4.00,4.00,4.40,4.40,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH20,Small Nyliner Bushing,simple,1,3.00,3.00,3.00,3.30,3.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH21,Grip Adjuster Housing,simple,1,9.00,21.95,9.00,24.15,9.90,UPDATED,2026-09-17T09:17:51Z
MH22,Grip Adjustment Pin,simple,1,11.00,11.00,11.00,12.10,12.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH23,Grip Adjusting Fastener,simple,1,11.00,11.00,11.00,12.10,12.10,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH24,Pinch Brake Bushing,simple,1,12.00,12.75,12.00,14.03,13.20,UPDATED,2026-09-17T09:17:51Z
MH25,Pinch Brake Stem,simple,1,13.00,14.95,13.00,16.45,14.30,UPDATED,2026-09-17T09:17:51Z
MH3,Lower Mount Bracket,simple,1,32.00,33.00,32.00,36.30,35.20,UPDATED,2026-09-17T09:17:51Z
MH3A,Mounting Bracket Stem,simple,1,4.00,4.00,4.00,4.40,4.40,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH4,Handle Grip,simple,1,37.00,37.00,37.00,40.70,40.70,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH5,Connecting Link Pin,simple,1,5.00,5.00,5.00,5.50,5.50,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH6,Hinge Pin,simple,1,4.00,4.00,4.00,4.40,4.40,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH7,Connecting Link Fork,simple,1,29.00,29.00,29.00,31.90,31.90,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH8,Brake Rod Bushing,simple,1,8.00,8.00,8.00,8.80,8.80,ALREADY_CURRENT,2026-09-17T09:17:51Z
MH9A,Brake Activation Rod,simple,1,24.00,24.00,24.00,26.40,26.40,ALREADY_CURRENT,2026-09-17T09:17:51Z
MP11,Piston Shaft,simple,1,51.00,60.26,51.00,66.29,56.10,UPDATED,2026-09-17T09:17:51Z
MP13,Piston Backing Washer - Large,variation,1,8.00,10.98,8.00,12.08,8.80,UPDATED,2026-09-17T09:17:51Z
MP13A,Piston Backing Washer - Small,variation,1,12.00,13.56,12.00,14.92,13.20,UPDATED,2026-09-17T09:17:51Z
MP14,Piston Cup,simple,1,12.00,13.56,12.00,14.92,13.20,UPDATED,2026-09-17T09:17:51Z
MP2,Foot Valve Casting,simple,1,29.00,33.9,29.00,37.29,31.90,UPDATED,2026-09-17T09:17:51Z
MP23,Mud Pump Seal,simple,1,4.00,5.65,4.00,6.22,4.40,UPDATED,2026-09-17T09:17:51Z
MP23A,O-Ring,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
MP24,Mud Pump Screen,simple,1,4.00,5.65,4.00,6.22,4.40,UPDATED,2026-09-17T09:17:51Z
MP25,Filler Studs,simple,1,10.00,11.32,10.00,12.45,11.00,UPDATED,2026-09-17T09:17:51Z
MP28,Filler Nut,simple,1,9.00,12.28,9.00,13.51,9.90,UPDATED,2026-09-17T09:17:51Z
MP3,Pump Flapper Valve,simple,1,4.00,4.7,4.00,5.17,4.40,UPDATED,2026-09-17T09:17:51Z
MP32,Backing Washer Locator,simple,1,2.00,2.85,2.00,3.14,2.20,UPDATED,2026-09-17T09:17:51Z
MP33,Filler Gasket,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
MP36,Nylatron Bushing,simple,1,5.00,7.3,5.00,8.03,5.50,UPDATED,2026-09-17T09:17:51Z
MP39,Sleeve,simple,1,3.00,3.28,3.00,3.61,3.30,UPDATED,2026-09-17T09:17:51Z
MP5,Head Bushing,simple,1,23.00,26.38,23.00,29.02,25.30,UPDATED,2026-09-17T09:17:51Z
MP6,Handle Link,simple,1,33.00,37.66,33.00,41.43,36.30,UPDATED,2026-09-17T09:17:51Z
MP7,Pump Handle,simple,1,86.00,105.42,86.00,115.96,94.60,UPDATED,2026-09-17T09:17:51Z
MP8,Leg,simple,1,70.00,86.62,70.00,95.28,77.00,UPDATED,2026-09-17T09:17:51Z
AH3,Top Blade,variable,4,25.00; 27.00,,,,,SKIPPED_CONFLICTING_CSR_PRICES,2026-09-17T09:17:51Z
BH9,Brake Connecting Strap,variable,5,26.00; 28.00; 31.00; 33.00; 35.00,,,,,SKIPPED_CONFLICTING_CSR_PRICES,2026-09-17T09:17:51Z
CT87,Engraved Cover Plate Cap,simple,2,42.00; 7.00,42.00,,46.20,,SKIPPED_CONFLICTING_CSR_PRICES,2026-09-17T09:17:51Z
FFB11,Adjuster Spring,variable,3,7.00; 8.00,,,,,SKIPPED_CONFLICTING_CSR_PRICES,2026-09-17T09:17:51Z
HNS15,Door Gasket,variable,2,35.00; 36.00,,,,,SKIPPED_CONFLICTING_CSR_PRICES,2026-09-17T09:17:51Z
