catalog_sku,catalog_product_name,catalog_product_type,old_regular_price,old_sale_price,new_regular_price,new_sale_price,status,applied_at
FA320,"1/4-28-3/8"" Socket Set Screw",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
HFFB14-8,"Flat Box Hinged Door Gasket - 8""",variation,49.72,45.2,45.2,45.2,UPDATED,2026-09-17T09:20:20Z
HFFB14-10,"Flat Box Hinged Door Gasket - 10""",variation,49.72,45.2,45.2,45.2,UPDATED,2026-09-17T09:20:20Z
HFFB14-12,"Flat Box Hinged Door Gasket - 12""",variation,49.72,45.2,45.2,45.2,UPDATED,2026-09-17T09:20:20Z
HFFB14-14,"Flat Box Hinged Door Gasket - 14""",variation,46.20,42.00,42.00,42.00,UPDATED,2026-09-17T09:20:20Z
FFB25,Rubber Gasket Retainer,variable,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
AH3,Top Blade,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
FFB25-10,"Rubber Gasket Retainer - 10""",variation,8.25,7.5,7.5,7.5,UPDATED,2026-09-17T09:20:20Z
FFB25-12,"Rubber Gasket Retainer - 12""",variation,8.25,7.5,7.5,7.5,UPDATED,2026-09-17T09:20:20Z
AH3-2,"Top Blade - 2""",variation,39.97,36.34,36.34,36.34,UPDATED,2026-09-17T09:20:20Z
AH3-2.5,"Top Blade - 2.5""",variation,39.97,36.34,36.34,36.34,UPDATED,2026-09-17T09:20:20Z
AH3-3,"Top Blade - 3""",variation,39.97,36.34,36.34,36.34,UPDATED,2026-09-17T09:20:20Z
AH3-3.5,"Top Blade - 3.5""",variation,39.97,36.34,36.34,36.34,UPDATED,2026-09-17T09:20:20Z
FA380,"1/8"" SS E-Clip",simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
FA225,"1/8"" x 3/8"" Rivet Shoulder Washer",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA224,"1/8"" x 3/8"" Split Pin",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA271,10-24 Nyloc Nut,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA272,10-24 Wing Nut,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA273,"10-24 x 1"" Hex Bolt",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA312,"10-24 X 1/4"" Socket Hand Set",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA274,"10-24 x 3/8"" Socket",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA275,"10-24 x 7/8"" Hex Bolt",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA276,"10-24 x 7/8"" Pan Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA316,"10-32 X 1/2"" Flat Socket Head",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA382,"10-32 x 1/4"" SS Set Screw",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA199,"2-56 x 3/16"" Binder Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA365,"3/16 x 1"" Sping Pin SS",simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
FA206,4-40 Hex Nut,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA207,4-40 Nyloc Nut,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA219,"4-40 x 1/2"" Fillister Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA213,"4-40 x 1/4"" Binder Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA214,"4-40 x 1/4"" Flat Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA2,"4-40 x 1/8"" Binder Slot",simple,1.82,1.65,1.65,1.65,UPDATED,2026-09-17T09:20:20Z
FA210,"4-40 x 3/16"" Binder Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA212,"4-40 x 3/16"" Truss Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA220,"4-40 x 3/4"" Hex Bolt",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA218,"4-40 x 3/8"" Flat Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA216,4-40 X 3/8” Fillister Slot,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA215,"4-40 x 5/16"" Binder Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA303,5-16 Flat Washer,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
FA307,5-16 x 24 Jam Nut,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
FA305,"5/16 -18 x 3/4"" Hex Bolt",simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
FA306,"5/16-18 x 1 1/4"" Hex Bolt",simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
CFB10,"5/16-18 x 3/4"" Thumb Screw",simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
FA317,"5/32"" x 7/8"" Roll Pin",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FFB11,Adjuster Spring,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
FA232,6-32 Hex Nut,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA234,6-32 Nyloc Jam Nut,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA233,6-32 Nyloc Nut,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA245,"6-32 x 1/2"" Fillister Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA244,"6-32 x 1/2"" Pan Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FFB11-8,"Adjuster Spring - 8""",variation,11.06,10.05,10.05,10.05,UPDATED,2026-09-17T09:20:20Z
FFB11-10,"Adjuster Spring - 10""",variation,11.06,10.05,10.05,10.05,UPDATED,2026-09-17T09:20:20Z
FFB11-12,"Adjuster Spring - 12""",variation,11.51,10.46,10.46,10.46,UPDATED,2026-09-17T09:20:20Z
FA239,"6-32 X 1/4"" Binder Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA227,"6-32 X 1/4"" Flat Slot",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA236,"6-32 X 1/8"" Binder Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA235,"6-32 X 1/8"" Set Screw",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA237,"6-32 x 3/16"" Binder Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA238,"6-32 X 3/16"" Fillister Slot",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA241,"6-32 X 3/8"" Binder Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA243,"6-32 x 3/8"" Flat Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA231,"6-32 x 3/8"" Hex Bolt",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA247,"6-32 X 5/8"" Hex Bolt",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA254,8-32 Nyloc Nut,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA267,"8-32 x 1 1/2"" Pan Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA262,"8-32 x 1/2"" Socket",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA257,"8-32 x 1/4"" Fillister Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA256,"8-32 X 3/16"" Pan Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA265,"8-32 x 3/4"" Truss Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA260,"8-32 x 3/8"" Pan Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA261,"8-32 X 3/8"" Socket Screw",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA376,8-32 x 5/16 SS Socket Head,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA264,"8-32 x 5/8"" Truss Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA258,8-32X 1/4 Half Dog Set,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FFB5,Axle,variable,47.30,43.00,43.00,43.00,UPDATED,2026-09-17T09:20:20Z
FFB9,Blade,variable,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
FA249,"8-32X3/16"" Set Screw",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FFB5-7,"Axle - 7""",variation,48.40,44.00,44.00,44.00,UPDATED,2026-09-17T09:20:20Z
FFB5-8,"Axle - 8""",variation,48.40,44.00,44.00,44.00,UPDATED,2026-09-17T09:20:20Z
FFB5-10,"Axle - 10""",variation,48.40,44.00,44.00,44.00,UPDATED,2026-09-17T09:20:20Z
FFB5-12,"Axle - 12""",variation,48.40,44.00,44.00,44.00,UPDATED,2026-09-17T09:20:20Z
FFB5-14,"Axle - 14""",variation,48.40,44.00,44.00,44.00,UPDATED,2026-09-17T09:20:20Z
FFB9-5.5,"Blade - 5.5""",variation,5.17,4.7,4.7,4.7,UPDATED,2026-09-17T09:20:20Z
FFB9-7,"Blade - 7""",variation,5.04,4.58,4.58,4.58,UPDATED,2026-09-17T09:20:20Z
HNS7,Blade,variable,25.30,23.00,23.00,23.00,UPDATED,2026-09-17T09:20:20Z
FFB9-8,"Blade - 8""",variation,5.17,4.7,4.7,4.7,UPDATED,2026-09-17T09:20:20Z
FFB9-10,"Blade - 10""",variation,31.85,28.95,28.95,28.95,UPDATED,2026-09-17T09:20:20Z
FFB9-12,"Blade - 12""",variation,35.75,32.50,32.50,32.50,UPDATED,2026-09-17T09:20:20Z
FFB9-14,"Blade - 14""",variation,8.12,7.38,7.38,7.38,UPDATED,2026-09-17T09:20:20Z
HNS7-2,"Blade - 2""",variation,29.59,26.9,26.9,26.9,UPDATED,2026-09-17T09:20:20Z
HNS7-3,"Blade - 3""",variation,29.59,26.9,26.9,26.9,UPDATED,2026-09-17T09:20:20Z
FFB5A,Axel Bushing,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
MP32,Backing Washer Locator,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FFB8,Bar Retainer Clip,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
HNS8,Blade Holder,variable,36.30,33.00,33.00,33.00,UPDATED,2026-09-17T09:20:20Z
AH9-CLIP,Bottom Retainer Corner Clip,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
CT103,Barrel- Main Body,simple,141.90,129.00,129.00,129.00,UPDATED,2026-09-17T09:20:20Z
CT125A,Bearing,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
BH24A,Bearing Sleeve,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CFB16,Bearing Sleeve,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CR-3,Bearing Sleeve,simple,10.40,9.45,9.45,9.45,UPDATED,2026-09-17T09:20:20Z
HNS8-2,"Blade Holder - 2""",variation,42.28,38.44,38.44,38.44,UPDATED,2026-09-17T09:20:20Z
HNS8-3,"Blade Holder - 3""",variation,42.28,38.44,38.44,38.44,UPDATED,2026-09-17T09:20:20Z
AH9A,"Bottom Retainer Corner Clip - 3.5""",variation,11.00,10.00,10.00,10.00,UPDATED,2026-09-17T09:20:20Z
BH9,Brake Connecting Strap,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
AH9,Bottom Retainer Corner Clip - Standard,variation,11.00,10.00,10.00,10.00,UPDATED,2026-09-17T09:20:20Z
BH9-3,Brake Connecting Strap - 3',variation,29.70,27.00,27.00,27.00,UPDATED,2026-09-17T09:20:20Z
BH9-42,"Brake Connecting Strap - 42""",variation,31.90,29.00,29.00,29.00,UPDATED,2026-09-17T09:20:20Z
BH9-4,Brake Connecting Strap - 4',variation,34.10,31.00,31.00,31.00,UPDATED,2026-09-17T09:20:20Z
BH9-5,Brake Connecting Strap - 5',variation,36.30,33.00,33.00,33.00,UPDATED,2026-09-17T09:20:20Z
BH9-6,Brake Connecting Strap - 6',variation,38.50,35.00,35.00,35.00,UPDATED,2026-09-17T09:20:20Z
HH16A,Bleeder Screw,simple,18.70,17.00,17.00,17.00,UPDATED,2026-09-17T09:20:20Z
HH10B,Bottom Cap,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
CFB8,Box Mount,simple,47.30,43.00,43.00,43.00,UPDATED,2026-09-17T09:20:20Z
FFB36,Box Wheel,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CT87A,Bracket Brace,simple,9.90,9.00,9.00,9.00,UPDATED,2026-09-17T09:20:20Z
HH7,Brake,simple,24.20,22.00,22.00,22.00,UPDATED,2026-09-17T09:20:20Z
MH9A,Brake Activation Rod,simple,26.40,24.00,24.00,24.00,UPDATED,2026-09-17T09:20:20Z
CT16,Brake Dog,simple,16.50,15.00,15.00,15.00,UPDATED,2026-09-17T09:20:20Z
HH13,Brake Pin,simple,17.60,16.00,16.00,16.00,UPDATED,2026-09-17T09:20:20Z
HH14,Brake Piston,simple,18.70,17.00,17.00,17.00,UPDATED,2026-09-17T09:20:20Z
MH8,Brake Rod Bushing,simple,8.80,8.00,8.00,8.00,UPDATED,2026-09-17T09:20:20Z
HH12,Brake Spring,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
HH-BRASS-CONNECTOR,Brass Connector,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
HH17A,Brass Connector - 1,variation,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
HH17B,Brass Connector - 2,variation,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CT72,Cable,simple,11.00,10.00,10.00,10.00,UPDATED,2026-09-17T09:20:20Z
CT73,Cable Drum,simple,42.90,39.00,39.00,39.00,UPDATED,2026-09-17T09:20:20Z
BH26,Cam,simple,9.90,9.00,9.00,9.00,UPDATED,2026-09-17T09:20:20Z
BH7,Cam Follower,simple,15.40,14.00,14.00,14.00,UPDATED,2026-09-17T09:20:20Z
HH19,Cap,simple,18.70,17.00,17.00,17.00,UPDATED,2026-09-17T09:20:20Z
CT35,Cap Reinforcing Tab,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CT55,Carriage Guide Rod,simple,13.20,12.00,12.00,12.00,UPDATED,2026-09-17T09:20:20Z
CT56,Carriage Guide Rod Stop,simple,7.70,7.00,7.00,7.00,UPDATED,2026-09-17T09:20:20Z
CT31,Chain Tension & Guide Bracket,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
CT83,Clutch Dog,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
CT82,Clutch Lever,simple,28.60,26.00,26.00,26.00,UPDATED,2026-09-17T09:20:20Z
CT88,Clutch Release Rod,simple,17.60,16.00,16.00,16.00,UPDATED,2026-09-17T09:20:20Z
CT85,Clutch Release Shaft,simple,42.90,39.00,39.00,39.00,UPDATED,2026-09-17T09:20:20Z
CT81,Clutch Return Spring,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
HH9,Coiled Hydraulic Line,simple,44.00,40.00,40.00,40.00,UPDATED,2026-09-17T09:20:20Z
HP44,Collar O-Ring,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
AHA,Angle Head Adapter,simple,27.36,24.87,24.87,24.87,UPDATED,2026-09-17T09:20:20Z
HNS4,Door,variable,36.30,33.00,33.00,33.00,UPDATED,2026-09-17T09:20:20Z
CT86,CT86 – Toe Kicker Cable,simple,19.80,18.00,18.00,18.00,UPDATED,2026-09-17T09:20:20Z
FA259,"FA259 8-32 X 5/16"" Binder Slot",simple,1.10,1.00,1.00,1.00,UPDATED,2026-09-17T09:20:20Z
FA292,FA292 1/4-20 Nyloc Jam Nut,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
HNS4-2,"Door - 2""",variation,41.05,37.32,37.32,37.32,UPDATED,2026-09-17T09:20:20Z
HNS4-3,"Door - 3""",variation,41.05,37.32,37.32,37.32,UPDATED,2026-09-17T09:20:20Z
FA311,"FA311 1/4-28 X 1/2"" Socket Head",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FA315,"FA315 10-32 X 3/8"" Flat Socket Head",simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
CFB5B,Cone Ball,simple,17.60,16.00,16.00,16.00,UPDATED,2026-09-17T09:20:20Z
CT132,Connecting Link,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
MH7,Connecting Link Fork,simple,31.90,29.00,29.00,29.00,UPDATED,2026-09-17T09:20:20Z
MH5,Connecting Link Pin,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CT45,Connecting Rod,simple,18.70,17.00,17.00,17.00,UPDATED,2026-09-17T09:20:20Z
MH16,Connecting Rod Housing,simple,8.80,8.00,8.00,8.00,UPDATED,2026-09-17T09:20:20Z
CT112,Connecting Stud,simple,11.00,10.00,10.00,10.00,UPDATED,2026-09-17T09:20:20Z
CT104,Connection Strap,simple,13.20,12.00,12.00,12.00,UPDATED,2026-09-17T09:20:20Z
CT105,Crimper Lever,simple,33.00,30.00,30.00,30.00,UPDATED,2026-09-17T09:20:20Z
CT10A,Crimping Arm Shaft Bushing - L,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CT47,Crimping Wheel,simple,14.30,13.00,13.00,13.00,UPDATED,2026-09-17T09:20:20Z
CT50,Crimping Wheel Bushing,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
CR4,Cut Washer,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
CT42A,Diamond Blade,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
CT13,Dog Base Bracket,simple,17.60,16.00,16.00,16.00,UPDATED,2026-09-17T09:20:20Z
CFB4,Door,variable,14.30,13.00,13.00,13.00,UPDATED,2026-09-17T09:20:20Z
HNS15,Door Gasket,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
CFB7,Door Gasket,variable,42.90,39.00,39.00,39.00,UPDATED,2026-09-17T09:20:20Z
HNS-DOOR-SPRING,Door Spring,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
CFB4-7,"Door - 7""",variation,16.08,14.62,14.62,14.62,UPDATED,2026-09-17T09:20:20Z
CFB4-8,"Door - 8""",variation,16.08,14.62,14.62,14.62,UPDATED,2026-09-17T09:20:20Z
HNS15-2,"Door Gasket - 2""",variation,48.11,43.74,43.74,43.74,UPDATED,2026-09-17T09:20:20Z
HNS15-3,"Door Gasket - 3""",variation,48.11,43.74,43.74,43.74,UPDATED,2026-09-17T09:20:20Z
CFB7-7,"Door Gasket - 7""",variation,49.68,45.16,45.16,45.16,UPDATED,2026-09-17T09:20:20Z
CFB7-8,"Door Gasket - 8""",variation,49.68,45.16,45.16,45.16,UPDATED,2026-09-17T09:20:20Z
HNS10A,Door Spring - Short,variation,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CT-SPROCKET,Drive Sprocket,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
