catalog_sku,catalog_product_name,catalog_product_type,old_regular_price,old_sale_price,new_regular_price,new_sale_price,status,applied_at
CT115,Guard Ring,simple,20.90,19.00,19.00,19.00,UPDATED,2026-09-17T09:20:20Z
CT58,Guide Rod Bushing,simple,8.80,8.00,8.00,8.00,UPDATED,2026-09-17T09:20:20Z
CT126,Hand Grip Body,simple,71.50,65.00,65.00,65.00,UPDATED,2026-09-17T09:20:20Z
CT124,Hand Grip Guard Ring,simple,20.90,19.00,19.00,19.00,UPDATED,2026-09-17T09:20:20Z
HNS12,Handle Clamp,simple,18.70,17.00,17.00,17.00,UPDATED,2026-09-17T09:20:20Z
CR11,Handle Connecting Link,simple,28.60,26.00,26.00,26.00,UPDATED,2026-09-17T09:20:20Z
HH35,Handle Grip,simple,7.70,7.00,7.00,7.00,UPDATED,2026-09-17T09:20:20Z
MH4,Handle Grip,simple,40.70,37.00,37.00,37.00,UPDATED,2026-09-17T09:20:20Z
MH11,Handle Grip Bushing,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
AH1,Head Casting,variable,166.10,151.00,151.00,151.00,UPDATED,2026-09-17T09:20:20Z
HFFB3-PLATE,Hinge Box End Plate,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
AH1-2,"Head Casting - 2""",variation,193.03,175.48,175.48,175.48,UPDATED,2026-09-17T09:20:20Z
AH1-2.5,"Head Casting - 2.5""",variation,193.03,175.48,175.48,175.48,UPDATED,2026-09-17T09:20:20Z
AH1-3,"Head Casting - 3""",variation,168.30,153.00,153.00,153.00,UPDATED,2026-09-17T09:20:20Z
AH1-3.5,"Head Casting - 3.5""",variation,193.03,175.48,175.48,175.48,UPDATED,2026-09-17T09:20:20Z
HFFB3,Hinge Box End Plate - Right,variation,39.60,36.00,36.00,36.00,UPDATED,2026-09-17T09:20:20Z
HFFB3A,Hinge Box End Plate - Left,variation,39.60,36.00,36.00,36.00,UPDATED,2026-09-17T09:20:20Z
MP6,Handle Link,simple,36.30,33.00,33.00,33.00,UPDATED,2026-09-17T09:20:20Z
HNSA-14,Handle Link Assembly,simple,49.50,45.00,45.00,45.00,UPDATED,2026-09-17T09:20:20Z
MH1,Handle Mount Plate,simple,81.40,74.00,74.00,74.00,UPDATED,2026-09-17T09:20:20Z
CR6,Handle Mounting Swivel,simple,17.60,16.00,16.00,16.00,UPDATED,2026-09-17T09:20:20Z
HPA-48,Handle Pin Assembly,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
HH8,Handle Tube,simple,48.40,44.00,44.00,44.00,UPDATED,2026-09-17T09:20:20Z
MP5,Head Bushing,simple,25.30,23.00,23.00,23.00,UPDATED,2026-09-17T09:20:20Z
CR1,Head Casting,simple,42.90,39.00,39.00,39.00,UPDATED,2026-09-17T09:20:20Z
FFB39,Hex Bolt,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
CT20,Hinge Block,simple,12.10,11.00,11.00,11.00,UPDATED,2026-09-17T09:20:20Z
CFB15A,Hinge Bushing (Plastic Washer),simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
BH6,Hinge Pin,simple,11.00,10.00,10.00,10.00,UPDATED,2026-09-17T09:20:20Z
CT-WAFER-BUSHING,Wafer Bushing,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
MH6,Hinge Pin,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CT79,Hollow Shaft,simple,42.90,39.00,39.00,39.00,UPDATED,2026-09-17T09:20:20Z
CT68,Hub,simple,16.50,15.00,15.00,15.00,UPDATED,2026-09-17T09:20:20Z
CT2,Insert Bushing for CT#7A,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
MH13,Large Nyliner Bushing,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CT4,Wafer Bushing - Left,variation,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
CT5,Wafer Bushing - Right,variation,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
HP47,Latch Clamp Assembly,simple,34.10,31.00,31.00,31.00,UPDATED,2026-09-17T09:20:20Z
HP46,Latch Keeper,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
MP8,Leg,simple,77.00,70.00,70.00,70.00,UPDATED,2026-09-17T09:20:20Z
HH17C,Line Pincher,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
BH4,Lower Brake Lever,simple,28.60,26.00,26.00,26.00,UPDATED,2026-09-17T09:20:20Z
MH3,Lower Mount Bracket,simple,35.20,32.00,32.00,32.00,UPDATED,2026-09-17T09:20:20Z
BH3,Lower Mounting Bracket,simple,35.20,32.00,32.00,32.00,UPDATED,2026-09-17T09:20:20Z
CT80,Manual Drive Grip,simple,42.90,39.00,39.00,39.00,UPDATED,2026-09-17T09:20:20Z
MH2,Matrix Handle Head,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CT43,Micro Chain,simple,47.30,43.00,43.00,43.00,UPDATED,2026-09-17T09:20:20Z
MH3A,Mounting Bracket Stem,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
BH1,Mounting Plate,simple,33.00,30.00,30.00,30.00,UPDATED,2026-09-17T09:20:20Z
MP24,Mud Pump Screen,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
MP23,Mud Pump Seal,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
HFFB1A-10,"Mud Seal Strip - 10""",simple,11.00,10.00,10.00,10.00,UPDATED,2026-09-17T09:20:20Z
CT96,Mud Shut-Off Gasket,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CT98,Mud Supply Seal Plate & Shaft,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
CT97,Mud Supply Valve Body,simple,28.60,26.00,26.00,26.00,UPDATED,2026-09-17T09:20:20Z
CFB6,Mud Supply Valve Unit,simple,30.80,28.00,28.00,28.00,UPDATED,2026-09-17T09:20:20Z
HNS17A,Nail Spotter Handle Tightness Screw,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CT63,Needle,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
CT62,Needle Holding Shaft,simple,17.60,16.00,16.00,16.00,UPDATED,2026-09-17T09:20:20Z
MP-PISTON-BACKING-WASHER,Piston Backing Washer,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
MP13A,Piston Backing Washer - Small,variation,13.20,12.00,12.00,12.00,UPDATED,2026-09-17T09:20:20Z
MP13,Piston Backing Washer - Large,variation,8.80,8.00,8.00,8.00,UPDATED,2026-09-17T09:20:20Z
CT64,Needle Return Shaft,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
CT65,Needle Return Spring,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
HFFB4D,Nylatron Bushing,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
MP36,Nylatron Bushing,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CT76,Nylatron Washer,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
FFB38,Nyliner Bearing,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
HP45,O Ring Enclosure,simple,24.20,22.00,22.00,22.00,UPDATED,2026-09-17T09:20:20Z
CT121A,O-Ring,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
MP23A,O-Ring,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
MH10,Octagon,simple,39.60,36.00,36.00,36.00,UPDATED,2026-09-17T09:20:20Z
CT19,Paper Feed Guide,simple,37.40,34.00,34.00,34.00,UPDATED,2026-09-17T09:20:20Z
MH17,Pinch Brake,simple,24.20,22.00,22.00,22.00,UPDATED,2026-09-17T09:20:20Z
MH15,Pinch Brake Activator,simple,24.20,22.00,22.00,22.00,UPDATED,2026-09-17T09:20:20Z
MH24,Pinch Brake Bushing,simple,13.20,12.00,12.00,12.00,UPDATED,2026-09-17T09:20:20Z
MH18,Pinch Brake Housing,simple,20.90,19.00,19.00,19.00,UPDATED,2026-09-17T09:20:20Z
MH19,Pinch Brake Sleeve,simple,29.70,27.00,27.00,27.00,UPDATED,2026-09-17T09:20:20Z
MH25,Pinch Brake Stem,simple,14.30,13.00,13.00,13.00,UPDATED,2026-09-17T09:20:20Z
CT-INSERT-BUSHING,Insert Bushing,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
CT-NYLATRON-CHAIN-ROLLER,Nylatron Chain Roller,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
MH12,PinchBrake Spring,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CT107,Piston Body,simple,28.60,26.00,26.00,26.00,UPDATED,2026-09-17T09:20:20Z
CT111,Piston Cup,simple,16.50,15.00,15.00,15.00,UPDATED,2026-09-17T09:20:20Z
MP14,Piston Cup,simple,13.20,12.00,12.00,12.00,UPDATED,2026-09-17T09:20:20Z
HH16,Piston Housing,simple,28.60,26.00,26.00,26.00,UPDATED,2026-09-17T09:20:20Z
CT3,Insert Bushing - Right,variation,13.20,12.00,12.00,12.00,UPDATED,2026-09-17T09:20:20Z
CT3A,Insert Bushing - Left,variation,13.20,12.00,12.00,12.00,UPDATED,2026-09-17T09:20:20Z
CT29,Nylatron Chain Roller - Right (Small),variation,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CT29A,Nylatron Chain Roller - Left (Large),variation,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
HH23,Piston O-Ring,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
MP11,Piston Shaft,simple,56.10,51.00,51.00,51.00,UPDATED,2026-09-17T09:20:20Z
HNS18,Pivot,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
BH2,Plate,simple,44.00,40.00,40.00,40.00,UPDATED,2026-09-17T09:20:20Z
HP1,Pump Cylinder,simple,56.10,51.00,51.00,51.00,UPDATED,2026-09-17T09:20:20Z
MP3,Pump Flapper Valve,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
MP7,Pump Handle,simple,94.60,86.00,86.00,86.00,UPDATED,2026-09-17T09:20:20Z
CT67,Ratchet Gear,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
CT15,Ratchet Rod for Adjustable Brake,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
CT92,Release Clip Bushing,simple,11.00,10.00,10.00,10.00,UPDATED,2026-09-17T09:20:20Z
HH31,Release Clip Pin,simple,14.30,13.00,13.00,13.00,UPDATED,2026-09-17T09:20:20Z
HH32,Release Clip Washer,simple,24.20,22.00,22.00,22.00,UPDATED,2026-09-17T09:20:20Z
CT89,Release Rod Sleeve,simple,17.60,16.00,16.00,16.00,UPDATED,2026-09-17T09:20:20Z
AH1B,Return Spring,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
CT101,Return Spring,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
CT54,Return Spring,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
CT40,Return Spring Ring,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
CT36,Return Spring Tube,simple,36.30,33.00,33.00,33.00,UPDATED,2026-09-17T09:20:20Z
HH33,Rlease Trigger Spring,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
FFB7-SHOE,Shoe,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
CFB3,Side Plate,variable,42.90,39.00,39.00,39.00,UPDATED,2026-09-17T09:20:20Z
FFB7,Shoe - Right,variation,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
FFB7A,Shoe - Left,variation,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
CFB3-7,"Side Plate - 7""",variation,48.22,43.84,43.84,43.84,UPDATED,2026-09-17T09:20:20Z
CFB3-8,"Side Plate - 8""",variation,48.22,43.84,43.84,43.84,UPDATED,2026-09-17T09:20:20Z
CT90,Rod Sleeve Housing,simple,36.30,33.00,33.00,33.00,UPDATED,2026-09-17T09:20:20Z
HNS12A,Roll Pin,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
HNS13,Roll Pin Bushing,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CR2,Roller,simple,13.20,12.00,12.00,12.00,UPDATED,2026-09-17T09:20:20Z
CT28,Roller Bushing,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CT125,Rollers,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
FFB37,Rubber for Box Wheel,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
CT87-CS,Rubber Seal,simple,11.33,10.3,10.3,10.3,UPDATED,2026-09-17T09:20:20Z
AH4,Side Blade,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CT7A,Side Plate Hub,simple,14.30,13.00,13.00,13.00,UPDATED,2026-09-17T09:20:20Z
MP39,Sleeve,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
MH20,Small Nyliner Bushing,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
AH18,Socket Wear Cap,simple,9.90,9.00,9.00,9.00,UPDATED,2026-09-17T09:20:20Z
CT119,Spool Retaining Spring,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
AH8-CLIP,Top Retainer Corner Clip,variable,,,,,BOTH_PRICE_FIELDS_MISSING,2026-09-17T09:20:20Z
AH1A,Spring Housing,simple,8.80,8.00,8.00,8.00,UPDATED,2026-09-17T09:20:20Z
FFB4B,Stainless Steel Backing Washer,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CT6A,Stainless Steel Side Plate - Left,simple,40.70,37.00,37.00,37.00,UPDATED,2026-09-17T09:20:20Z
FFB4A,Stainless Steel Washer,simple,5.50,5.00,5.00,5.00,UPDATED,2026-09-17T09:20:20Z
CT116A,Strap,simple,19.80,18.00,18.00,18.00,UPDATED,2026-09-17T09:20:20Z
AH8A,"Top Retainer Corner Clip - 3.5""",variation,7.70,7.00,7.00,7.00,UPDATED,2026-09-17T09:20:20Z
AH8,Top Retainer Corner Clip - Standard,variation,7.70,7.00,7.00,7.00,UPDATED,2026-09-17T09:20:20Z
BH11,Strap Connecting Pin,simple,3.30,3.00,3.00,3.00,UPDATED,2026-09-17T09:20:20Z
CR12,Swivel Coupling Pin,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
CT57,Tape Advance Carriage,simple,89.10,81.00,81.00,81.00,UPDATED,2026-09-17T09:20:20Z
CT120,Tape Spool,simple,29.70,27.00,27.00,27.00,UPDATED,2026-09-17T09:20:20Z
CT14A,Taper Adjustable Brake,simple,6.60,6.00,6.00,6.00,UPDATED,2026-09-17T09:20:20Z
FFB32A,Thumb Release Clip Screw,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
CT53,Toe Kicker,simple,25.30,23.00,23.00,23.00,UPDATED,2026-09-17T09:20:20Z
CT92A,Toe Kicker Caple Retainer Clip,simple,4.40,4.00,4.00,4.00,UPDATED,2026-09-17T09:20:20Z
HH10A,Top Cap,simple,2.20,2.00,2.00,2.00,UPDATED,2026-09-17T09:20:20Z
BH5,Upper Mounting Bracket,simple,11.00,10.00,10.00,10.00,UPDATED,2026-09-17T09:20:20Z
HH2,Upper Mounting Bracket,simple,71.50,65.00,65.00,65.00,UPDATED,2026-09-17T09:20:20Z
HNS20,Wedge,simple,18.70,17.00,17.00,17.00,UPDATED,2026-09-17T09:20:20Z
804003F,TapeTech Grip Assembly For Box Handle,simple,81.30,73.91,73.91,73.91,UPDATED,2026-09-17T09:20:20Z
