universal_part_key,canonical_name,part_type,confidence,brand_count,brands,occurrence_count,catalog_skus,schematic_ids,example_titles,materials_seen,source_files
pin 1/16 x 1/2 cotter,pin 1/16 x 1/2 cotter,pin,medium,2,Columbia; TapeTech,20,FA202,tapetech-tapetech-lock-block-for-07tt-050212f-sch; tapetech-90-inside-corner-edger-tapetech-17tt-sch; tapetech-flat-box-handle-sch; 1776147101640; 1777935057955,"1/16 X 1/2"" Cotter Pin; Cotter Pin 1/16 X 1/2 SST.",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\17TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\81XXTT\schematic_data.json
screw 1/4-20 x 2 hex head,screw 1/4-20 x 2 hex head,screw,medium,2,Asgard; Level5,2,,asgard-loading-pump-lp01-ad-sch; level5-compound-pump-4-771,729051 - 1/4-20 X 2 Hex Hd Capscrew; 1/4-20x2 Hex Head Screw,,frontend\public\brands\Asgard\Schematics\Pumps\LP01-AD\schematic_data.json; frontend\public\brands\Level5\Schematics\Pumps\Compound-Pump\schematic_data.json
screw 1/4-20 x 5/8 socket head,screw 1/4-20 x 5/8 socket head,screw,high,3,Asgard; Columbia; Level5,7,FA337,columbia-semi-automatic-taper-sat-sch; asgard-loading-pump-lp01-ad-sch; level5-compound-pump-4-771,1/4 - 20 x 5/8 Flat Socket Head; 1/4-20 x 5/8 Flat Socket Head (FA337); 709006 - 1/4-20x5/8 Socket Hd Capscrew; 1/4-20 x 5/8 Socket Head Screw,,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\Pumps\LP01-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\schematic_data.json; frontend\public\brands\Level5\Schematics\Pumps\Compound-Pump\schematic_data.json
screw 10-24 x 1-1/4 fillister head,screw 10-24 x 1-1/4 fillister head,screw,medium,2,Asgard; TapeTech,9,,tapetech-90-inside-corner-edger-tapetech-20ttx-sch; tapetech-90-inside-corner-edger-tapetech-25ttx-sch; tapetech-90-inside-corner-edger-tapetech-30ttx-sch; asgard-maxxbox-finishing-box-7-ehc07-ad-sch; asgard-maxxbox-finishing-box-12-ehc12-ad-sch; asgard-finishing-box-7-ez07-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch,#10-24 X 1-1/4 Fillister Head Screw; 339073 - 10-24 x 1-1/4 Fillister Head Screw,,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json
screw 10-32,screw 10-32,screw,medium,2,Level5; Platinum,8,,level5-10-inch-flat-box-4-765; level5-10-inch-mega-flat-box-4-768; level5-12-inch-flat-box-4-766; level5-12-inch-mega-box-4-769; level5-14-inch-flat-box-4-770; level5-7-inch-flat-box-4-764; level5-7-inch-mega-flat-box-4-767; platinum-flat-box,#10-32 X 1in SHC Screw,,frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Mega-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\14-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Platinum\Schematics\FinishingBoxes\FlatBox\schematic_data.json
screw 10-32 hex head,screw 10-32 hex head,screw,medium,2,Level5; Platinum,8,,level5-10-inch-flat-box-4-765; level5-10-inch-mega-flat-box-4-768; level5-12-inch-flat-box-4-766; level5-12-inch-mega-box-4-769; level5-14-inch-flat-box-4-770; level5-7-inch-flat-box-4-764; level5-7-inch-mega-flat-box-4-767; platinum-flat-box,#10-32 Hex Head Shoulder Screw,,frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Mega-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\14-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Platinum\Schematics\FinishingBoxes\FlatBox\schematic_data.json
screw 10-32 x 1/2 binder head,screw 10-32 x 1/2 binder head,screw,high,2,Asgard; TapeTech,7,509008,tapetech-corner-applicator-sch; tapetech-corner-applicator-sch-2; tapetech-easyclean-nail-spotter-sch-2; asgard-ca08-ad-applicator-box-head-sch; asgard-nail-spotter-head-only-ns03-ad-sch,"10-32 X 1/2"" Bind Head Screw +; 10-32X1/2 BHMS; 509008 - 10-32 X 1/2 Bd Hd Screw",,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\Spotters\NS03-AD\schematic_data.json
screw 10-32 x 5/8,screw 10-32 x 5/8,screw,medium,2,Asgard; TapeTech,3,,tapetech-tapetech-lock-block-for-07tt-050212f-sch; asgard-ca08-ad-applicator-box-head-sch,10-32X5/8 Button Hd Soc Cap Screw; 609021 - 10-32 X 5/8 Rd Hd Sst Screw,stainless,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json
screw 4-40 x 1 binder head,screw 4-40 x 1 binder head,screw,high,2,Asgard; TapeTech,5,219092,asgard-power-assist-maxxbox-10-pa10-ad-sch; 1777936233843; 1777936233844; 1777936233845,"4-40 X 1"" Bind Head Screw; TapeTech Screw, 4-40 X 1"" Binder Head SS (219092); Screw 4-40 X 1"" Bind Hd 18-8",stainless,products\Production\launch\dtb_parts_catalog.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 4-40 x 1/2 fillister head,screw 4-40 x 1/2 fillister head,screw,high,2,Columbia; TapeTech,18,FA219; FA21A,columbia-compound-tube-sch; columbia-throttle-box-sch; columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; tapetech-easyclean-nail-spotter-sch; tapetech-easyclean-nail-spotter-sch-2,"4 - 40 X 1/2"" Fillister Slot; 4 - 40 X 1/2 in Fill. Head Screw (FA219); 4-40 x ½"" Fillister Slot (FA219); 4-40 X 1/2 in Fill. Head Screw (FA219); 4-40X1/2 FILLISTER HEAD MS",,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json; frontend\public\brands\Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json; frontend\public\brands\Columbia\Schematics\CornerBoxes\ThrottleBox\schematic_data.json
screw 4-40 x 1/4 binder head,screw 4-40 x 1/4 binder head,screw,high,4,Asgard; Columbia; Level5; TapeTech,22,FA213,tapetech-tapetech-lock-block-for-07tt-050212f-sch; tapetech-90-inside-corner-edger-tapetech-42tt-sch; tapetech-90-inside-corner-edger-tapetech-48tt-sch; tapetech-flat-box-handle-sch; asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch; asgard-angle-head-3-5-ah35-ad-sch; asgard-xh-ad-extension-support-handle-43-76-sch; level5-7293-gooser-assembly,"4 - 40 x 1/4"" Binder Slot; Screw 4-40 X 1/4 Bind Hd. S.S; 059037 - 4-40 X 1/4 Bind Hd Screw; TapeTech 4-40 X 1/4 Bind Hd Screw (059037); 4-40 x 1/4 Bind Head Screw",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\AH25-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\Handles\XH-AD\schematic_data.json; frontend\public\brands\Level5\Schematics\AutomaticTapers\Gooser-Assembly\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\42TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\48TT\schematic_data.json
screw 4-40 x 1/4 fillister head,screw 4-40 x 1/4 fillister head,screw,high,4,Columbia; Level5; Platinum; TapeTech,21,FAZ10,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; tapetech-90-inside-corner-edger-tapetech-20ttx-sch; tapetech-90-inside-corner-edger-tapetech-25ttx-sch; tapetech-90-inside-corner-edger-tapetech-30ttx-sch; level5-10-inch-flat-box-4-765; level5-10-inch-mega-flat-box-4-768; level5-12-inch-flat-box-4-766; level5-12-inch-mega-box-4-769; level5-14-inch-flat-box-4-770; level5-7-inch-flat-box-4-764; level5-7-inch-mega-flat-box-4-767; platinum-flat-box; 1777935057956; 1777935057957; 1777936233843; 1777936233844; 1777936233845,Predator Taper 4 - 40 x 1/4 Fillister Slot; Predator Taper 4-40 x 1/4 Fillister Slot (FAZ10); #4-40 x 1/4 Fillister Head Screw; Screw 4-40 X 1/4 Fillister Head 18-8 S.S,stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Mega-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\14-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Platinum\Schematics\FinishingBoxes\FlatBox\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 4-40 x 1/8 binder head,screw 4-40 x 1/8 binder head,screw,high,3,Asgard; Columbia; TapeTech,10,FA208,tapetech-tapetech-lock-block-for-07tt-050212f-sch; asgard-finishing-box-7-ez07-ad-sch; asgard-finishing-box-10-ez10-ad-sch; asgard-finishing-box-12-ez12-ad-sch,"4 - 40 x 1/8"" Binder Slot; Screw, 4-40 X 1/8 Bind. Hd. S.S.; 209048 - 4-40 X 1/8 Bind Hd Screw",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EZ10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EZ12-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json
screw 4-40 x 3/16 binder head,screw 4-40 x 3/16 binder head,screw,high,4,Asgard; Columbia; Level5; TapeTech,31,FA210; FAZ07,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; tapetech-tapetech-lock-block-for-07tt-050212f-sch; tapetech-90-inside-corner-edger-tapetech-40tt-sch; tapetech-90-inside-corner-edger-tapetech-45tt-sch; tapetech-easyclean-nail-spotter-sch; tapetech-easyclean-nail-spotter-sch-2; asgard-nail-spotter-head-only-ns03-ad-sch; level5-7218-taper-wheel-assembly,"4 - 40 x 3/16"" Binder Slot; Predator Taper 4 - 40 x 3/16 Binder Slot; Predator Taper 4-40 x 3/16 Binder Slot (FAZ07); Screw 4-40 x 3/16 Bind Hd. S.S; 4-40 X 3/16 BIND HEAD SCREW SST; 059057 - 4-40 X 3/16 Bind Hd Screw; 4-40 x3/16 Bind Head Screw",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\Spotters\NS03-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json; frontend\public\brands\Level5\Schematics\AutomaticTapers\Taper-Wheel-Assembly\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json
screw 4-40 x 3/16 fillister head,screw 4-40 x 3/16 fillister head,screw,high,2,Asgard; TapeTech,12,889030,asgard-maxxbox-finishing-box-7-ehc07-ad-sch; asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch; asgard-maxxbox-finishing-box-12-ehc12-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch; 1777935057956; 1777935057957; 1777936233843; 1777936233844; 1777936233845,"4-40 X 3/16 Fillisterhead Screw; 889030 - 4-40 X 3/16 Fill. Head Screw; 4-40 X 3/16 Fillister Head, 18-8 S.S/",stainless,products\Production\launch\dtb_parts_catalog.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 4-40 x 3/16 flat head,screw 4-40 x 3/16 flat head,screw,high,3,Asgard; Columbia; TapeTech,7,FA20A,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; asgard-xh-ad-extension-support-handle-43-76-sch; 1777936233846,"4 - 40 x 3/16 Flat Head Screw; 4-40 x 3/16 Flat Head Screw (FA20A); 499023 - Screw, 4-40 x 3/16, Flat Head, SST; 4-40 X 3/16 Flat Head Screw 18-8",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\Handles\XH-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json; frontend\public\brands\TapeTech\Schematics\QB06-QSX\schematic_data.json
screw 4-40 x 3/8 binder head,screw 4-40 x 3/8 binder head,screw,high,2,Asgard; TapeTech,3,059217,asgard-hammer-automatic-taper-at01-ad-sch; 1777935057955,"4-40 X 3/8"" BIND HEADSST SCREW; 059217 - 4-40 X 3/8 Bind Head Screw; Screw 4-40 X 3/8 Bind. Hd. S.S",stainless,products\Production\launch\dtb_parts_catalog.csv; frontend\public\brands\Asgard\Schematics\Tapers\AT01-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\81XXTT\schematic_data.json
screw 4-40 x 3/8 fillister head,screw 4-40 x 3/8 fillister head,screw,high,3,Asgard; Columbia; TapeTech,27,FA216; 059161,tapetech-tapetech-lock-block-for-07tt-050212f-sch; asgard-maxxbox-finishing-box-7-ehc07-ad-sch; asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch; asgard-maxxbox-finishing-box-12-ehc12-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch; 1777935057956; 1777935057957; 1777936233843; 1777936233845,"4 - 40 X 3/8"" Fillister Slot; 4-40 X 3/8"" Fillister Head Sst Screw +; Screw 4-40 X 3/8 Fil. Hd. S.S; 059161 - 4-40 X 3/8 Fillister Head Screw",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 4-40 x 3/8 flat head,screw 4-40 x 3/8 flat head,screw,medium,2,Asgard; TapeTech,2,,tapetech-90-inside-corner-edger-tapetech-25ttx-sch; asgard-nail-spotter-head-only-ns03-ad-sch,#4-40 x 3/8 Flat Head Screw; 609048 - 4-40 X 3/8 Flat Hd Screw,,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\Spotters\NS03-AD\schematic_data.json
screw 4-40 x 31/64,screw 4-40 x 31/64,screw,medium,2,Asgard; TapeTech,7,,tapetech-90-inside-corner-edger-tapetech-42tt-sch; tapetech-90-inside-corner-edger-tapetech-48tt-sch; asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch; asgard-angle-head-3-5-ah35-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch,"Screw, 4-40 X 31/64; 489022 - Screw, 4-40 X 31/64",,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\AH25-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\42TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\48TT\schematic_data.json
screw 4-40 x 5/16,screw 4-40 x 5/16,screw,medium,2,Level5; TapeTech,5,,tapetech-tapetech-lock-block-for-07tt-050212f-sch; level5-7377-cover-plate-assembly-old-style; 1777935057957; 1777936233845,Screw: 4-40 X 5/16 Fl. Hd. S.S.; 4-40 x 5/16 BH Screw- Fastenal 70657,stainless,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Level5\Schematics\AutomaticTapers\Cover-Plate-Assembly\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 4-40 x 5/16 binder head,screw 4-40 x 5/16 binder head,screw,high,3,Asgard; Columbia; TapeTech,11,FA215,tapetech-tapetech-lock-block-for-07tt-050212f-sch; tapetech-corner-applicator-sch; tapetech-corner-applicator-sch-2; asgard-ca08-ad-applicator-box-head-sch; asgard-hammer-automatic-taper-at01-ad-sch,"4 - 40 x 5/16"" Binder Slot; Screw 4-40 X 5/16 Bind. Hd. S.S; 4-40 X 5/16 BIND HEAD SCREW SST; 059156 - 4-40 X 5/16 Bind Hd Screw",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\Tapers\AT01-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json
screw 4-40 x 5/16 flat head,screw 4-40 x 5/16 flat head,screw,medium,2,Asgard; TapeTech,5,,tapetech-corner-applicator-sch; tapetech-corner-applicator-sch-2; asgard-ca08-ad-applicator-box-head-sch; asgard-maxxbox-finishing-box-12-ehc12-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch,4-40 X 5/16 FLAT HEAD SCREW SST; 509010 - 4-40 X 5/16 Flat Hd Screw,stainless,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\CA08-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json
screw 4-40 x 5/16 pan head,screw 4-40 x 5/16 pan head,screw,medium,2,Asgard; TapeTech,3,,tapetech-90-inside-corner-edger-tapetech-48tt-sch; asgard-angle-head-3-5-ah35-ad-sch,"Screw, 4-40 X 5/16 Nylock Pan Hd.; 489020 - 4-40x5/16 Nylock Pan Hd Screw",nylon,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\AngleHeads\AH35-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\48TT\schematic_data.json
screw 4-40 x 7/32 binder head,screw 4-40 x 7/32 binder head,screw,medium,2,Asgard; TapeTech,11,,asgard-maxxbox-finishing-box-7-ehc07-ad-sch; asgard-maxxbox-finishing-box-12-ehc12-ad-sch; asgard-finishing-box-7-ez07-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch; 1777935057956; 1777935057957; 1777936233843; 1777936233844; 1777936233845,209016 - Screw 4-40 X 7/32 Bind Hd; Screw 4-40 X 7/32 Bind Hd.,,frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
screw 5/16-18 x 7/8 hex head,screw 5/16-18 x 7/8 hex head,screw,medium,2,Asgard; Level5,2,,asgard-loading-pump-lp01-ad-sch; level5-compound-pump-4-771,709023 - 5/16-18x7/8 Hex Hd Capscrew; 5/16-18 x 7/8 Hex Head Screw,,frontend\public\brands\Asgard\Schematics\Pumps\LP01-AD\schematic_data.json; frontend\public\brands\Level5\Schematics\Pumps\Compound-Pump\schematic_data.json
screw 6-32 flat head,screw 6-32 flat head,screw,high,2,Asgard; TapeTech,10,059107,asgard-maxxbox-finishing-box-7-ehc07-ad-sch; asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch,1/4 in x 6-32 TapeTech Stainless Steel Flat Head Screw; 219081 - 6-32 Flat Head Screw,stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json
