brand,schematic_category,schematic_tool_path,schematic_tool,schematic_variant,schematic_id,schematic_title,product_name,product_sku,diagram_pages,legend_pages,image,preview_image,image_natural_width,image_natural_height,source_file,source_file_from_brands,part_index,occurrence_type,part_id,display_id,sku,source_sku,part_number,part_name,quantity,price,notes,page_number,coordinate_id,x_pct,y_pct,x_px,y_px,width_px,height_px,coordinate_shape,coordinate_rotation,hotspot_id,hotspot_part_ref,hotspot_page,hotspot_shape_type,hotspot_x_px,hotspot_y_px,hotspot_width_px,hotspot_height_px,hotspot_rotation_deg,hotspot_anchor_json,hotspot_z_index,hotspot_interaction_json,hotspot_normalized_json,raw_part_json,raw_coordinate_json,raw_hotspot_json
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,148,part,059074,059074,,059074,059074,"Stopnut, 8-32 Hex, Elas., S.S.",4,,,1,059074,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059074"",""name"":""Stopnut, 8-32 Hex, Elas., S.S."",""quantity"":4,""sku"":"""",""source_sku"":""059074""}","{""id"":""059074"",""pageNumber"":1,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,207,part,059074,059074,,059074,059074,"Stopnut, 8-32 Hex, Elas., S.S.",4,,,1,059074,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059074"",""name"":""Stopnut, 8-32 Hex, Elas., S.S."",""quantity"":4,""sku"":"""",""source_sku"":""059074""}","{""id"":""059074"",""pageNumber"":1,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,149,part,059078,059078,,059078,059078,Bearing Nyliner,2,,,2,059078,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059078"",""name"":""Bearing Nyliner"",""quantity"":2,""sku"":"""",""source_sku"":""059078""}","{""id"":""059078"",""pageNumber"":2,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,150,part,059078,059078,,059078,059078,Bearing Nyliner,2,,,2,059078,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059078"",""name"":""Bearing Nyliner"",""quantity"":2,""sku"":"""",""source_sku"":""059078""}","{""id"":""059078"",""pageNumber"":2,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,151,part,059082,059082,,059082,059082,Drum Washer,1,,,2,059082,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059082"",""name"":""Drum Washer"",""quantity"":1,""sku"":"""",""source_sku"":""059082""}","{""id"":""059082"",""pageNumber"":2,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,228,part,059082,059082,,059082,059082,Drum Washer,1,,,2,059082,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059082"",""name"":""Drum Washer"",""quantity"":1,""sku"":"""",""source_sku"":""059082""}","{""id"":""059082"",""pageNumber"":2,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,152,part,059084,059084,,059084,059084,Setscrew,2,,,2,059084,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059084"",""name"":""Setscrew"",""quantity"":2,""sku"":"""",""source_sku"":""059084""}","{""id"":""059084"",""pageNumber"":2,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,153,part,059084,059084,,059084,059084,Setscrew,2,,,2,059084,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059084"",""name"":""Setscrew"",""quantity"":2,""sku"":"""",""source_sku"":""059084""}","{""id"":""059084"",""pageNumber"":2,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,226,part,059084,059084,,059084,059084,Setscrew,2,,,2,059084,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059084"",""name"":""Setscrew"",""quantity"":2,""sku"":"""",""source_sku"":""059084""}","{""id"":""059084"",""pageNumber"":2,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
TapeTech,07TT,07TT,07TT,,tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-001.webp,,,1|2|3|4,,,,792,612,frontend/public/brands/TapeTech/Schematics/07TT/schematic_data.json,TapeTech/Schematics/07TT/schematic_data.json,154,part,059085,059085,,059085,059085,Screw 8-32 X 1/4 Fil. Hd. S.S,1,,,2,059085,0,0,,,,,rectangle,0,,,,,,,,,,,,,,"{""id"":""059085"",""name"":""Screw 8-32 X 1/4 Fil. Hd. S.S"",""quantity"":1,""sku"":"""",""source_sku"":""059085""}","{""id"":""059085"",""pageNumber"":2,""rotation"":0,""shape"":""rectangle"",""x_pct"":0,""y_pct"":0}",
