part_key,canonical_name,part_type,brand,occurrence_count,catalog_skus,example_titles
nut 5/16-18 nylon jam,nut 5/16-18 nylon jam,nut,Columbia,6,,5/16-18 Nyloc Jam Nut (FA313)
nut 5/16-24 hex,nut 5/16-24 hex,nut,Asgard,1,,709007 - 5/16-24 Hex Nut
nut 6-32 hex,nut 6-32 hex,nut,Columbia,11,FA232,6 - 32 Hex Nut; 6-32 Hex Nut (FA232)
nut 6-32 nylon jam,nut 6-32 nylon jam,nut,Columbia,23,FA234,6 - 32 Nyloc Jam Nut; 6-32 Nyloc Jam Nut (FA234)
nut 6-32 nylon lock,nut 6-32 nylon lock,nut,Columbia,13,FA233; FAZ2R,6 - 32 Nyloc Nut; Predator Taper 6 - 32 Nyloc Nut; 6-32 Nyloc Nut (FA233); Predator Taper 6-32 Nyloc Nut (FAZ2R)
nut 8-32 hex,nut 8-32 hex,nut,Asgard,1,,199011 - 8-32 Set Hex Nut
nut 8-32 hex head hex,nut 8-32 hex head hex,nut,TapeTech,2,,Nut 8-32 Hex. H.D. S.S
nut 8-32 nylon hex,nut 8-32 nylon hex,nut,Asgard,1,,059074 - 8-32 Hex Nylock Nut
nut 8-32 nylon lock,nut 8-32 nylon lock,nut,Columbia,14,FA254,8 - 32 Nyloc Nut; 8-32 Nyloc Nut (FA365); 8-32 Nyloc Nut (FA254)
o-ring #310 buna,o-ring #310 buna,o-ring,TapeTech,8,,"#310 Buna ""O"" Ring; # 310 Buna""O""Ring"
o-ring 3/4 id; 7/8 od,o-ring 3/4 id; 7/8 od,o-ring,TapeTech,4,,"O-Ring, 1-3/4 ID x 1-7/8 OD x 1/16 wide"
o-ring 5/16 id; 9/16 od,o-ring 5/16 id; 9/16 od,o-ring,TapeTech,2,,"O Ring, 5/16 ID x 9/16 OD x .139 Wide"
o-ring 568-006 buna,o-ring 568-006 buna,o-ring,TapeTech,8,059040,"O Ring 568-006 Buna; O Ring, 568-006 Buna"
o-ring 568-108,o-ring 568-108,o-ring,TapeTech,2,,"O""Ring 568-108"
o-ring 568-210 buna,o-ring 568-210 buna,o-ring,TapeTech,3,,O'Ring 568-210 Buna
pin #12535 roll,pin #12535 roll,pin,Columbia,6,,Nail Spotter Roll Pin Bushing #12535 (HNS13)
pin 1/16 split,pin 1/16 split,pin,Columbia,10,FA201,"1/16"" X 3/8"" Split Pin; 1/16"" x 1/2"" Split Pin (FA202); 1/16"" x ¼"" Split Pin (FA200)"
pin 1/16 x 1 cotter,pin 1/16 x 1 cotter,pin,Level5,3,,1/16 x 1/2in Cotter Pin Fastenal  74268; 1/16 x 1/2in Cotter Pin Fastenal 74268
pin 1/16 x 1/4 split,pin 1/16 x 1/4 split,pin,Columbia,2,FA200,"1/16 x 1/4"" Split Pin"
