sku,taxon_key,position,evidence,review_status
5-311,semi_automatic_tapers,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Semi-Automatic Tapers,approved
PT-CF,automatic_angle_heads_corner_finishers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,approved
PT-CT,semi_compound_tubes,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,approved
PT-BH,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
PT-FB,flat_boxes,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,approved
4-714,automatic_goosenecks_box_fillers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,approved
4-772,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
4-773,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
4-746,automatic_corner_rollers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,approved
PT-NS,automatic_nail_spotters,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,approved
PT-SSCF,semi_corner_flushers,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,approved
PT-CORNER-HANDLE-50,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
PT-90-APPLICATOR,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
PT-CORNER-ROLLER,automatic_corner_rollers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,approved
PT-FA,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
PT-CA8,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
PT-BF,automatic_goosenecks_box_fillers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,approved
PT-CP,automatic_loading_pumps,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,approved
PT-FIN,automatic_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Tool Sets,approved
PT-EXT3IN1-1,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
PT-EBH,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
SP-S1-A,stilts,10,approved migration from exact path: Stilts & Accessories > Stilts,approved
SP-S1-M,stilts,10,approved migration from exact path: Stilts & Accessories > Stilts,approved
SP-S1X-A,stilts,10,approved migration from exact path: Stilts & Accessories > Stilts,approved
SP-S1X-M,stilts,10,approved migration from exact path: Stilts & Accessories > Stilts,approved
SP-S2-A,stilts,10,approved migration from exact path: Stilts & Accessories > Stilts,approved
SP-S2-M,stilts,10,approved migration from exact path: Stilts & Accessories > Stilts,approved
PT-MNBH,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
PT-AICA,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
PT-TP,semi_automatic_tapers,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Semi-Automatic Tapers,approved
PT-GN,automatic_goosenecks_box_fillers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,approved
SP-S2X-A,stilts,10,approved migration from exact path: Stilts & Accessories > Stilts,approved
SP-S2X-M,stilts,10,approved migration from exact path: Stilts & Accessories > Stilts,approved
TT-APPLICATOR-HEAD,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
