old_filename,new_filename,brand,sku,page,resolution_source
ah30-ad_sch-page-001.webp,columbia_ah30-ad_sch-page-001.webp,columbia,ah30-ad,1,existing Columbia AD SKU
ah35-ad_sch-page-001.webp,columbia_ah35-ad_sch-page-001.webp,columbia,ah35-ad,1,existing Columbia AD SKU
at01-ad_sch-page-001.webp,columbia_at01-ad_sch-page-001.webp,columbia,at01-ad,1,existing Columbia AD SKU
at01-ad_sch-page-002.webp,columbia_at01-ad_sch-page-002.webp,columbia,at01-ad,2,existing Columbia AD SKU
at01-ad_sch-page-003.webp,columbia_at01-ad_sch-page-003.webp,columbia,at01-ad,3,existing Columbia AD SKU
at01-ad_sch-page-004.webp,columbia_at01-ad_sch-page-004.webp,columbia,at01-ad,4,existing Columbia AD SKU
at01-ad_sch-page-005.webp,columbia_at01-ad_sch-page-005.webp,columbia,at01-ad,5,existing Columbia AD SKU
at01-ad_sch-page-006.webp,columbia_at01-ad_sch-page-006.webp,columbia,at01-ad,6,existing Columbia AD SKU
at01-ad_sch-page-007.webp,columbia_at01-ad_sch-page-007.webp,columbia,at01-ad,7,existing Columbia AD SKU
at01-ad_sch-page-008.webp,columbia_at01-ad_sch-page-008.webp,columbia,at01-ad,8,existing Columbia AD SKU
at01-ad_sch-page-009.webp,columbia_at01-ad_sch-page-009.webp,columbia,at01-ad,9,existing Columbia AD SKU
at01-ad_sch-page-010.webp,columbia_at01-ad_sch-page-010.webp,columbia,at01-ad,10,existing Columbia AD SKU
at01-ad_sch-page-011.webp,columbia_at01-ad_sch-page-011.webp,columbia,at01-ad,11,existing Columbia AD SKU
at01-ad_sch-page-012.webp,columbia_at01-ad_sch-page-012.webp,columbia,at01-ad,12,existing Columbia AD SKU
bbh-ad_sch-page-001.webp,columbia_bbh-ad_sch-page-001.webp,columbia,bbh-ad,1,existing Columbia AD SKU
bbhe-ad_sch-page-001.webp,columbia_bbhe-ad_sch-page-001.webp,columbia,bbhe-ad,1,existing Columbia AD SKU
bbhe-ad_sch-page-002.webp,columbia_bbhe-ad_sch-page-002.webp,columbia,bbhe-ad,2,existing Columbia AD SKU
ca08-ad_sch-page-001.webp,columbia_ca08-ad_sch-page-001.webp,columbia,ca08-ad,1,existing Columbia AD SKU
cfa-ad_sch-page-001.webp,columbia_cfa-ad_sch-page-001.webp,columbia,cfa-ad,1,existing Columbia AD SKU
columbia-180-grip-flat-box-handle-sch-schematic-page-01.webp,columbia_col-180-grip-flat-box-handle_sch-page-001.webp,columbia,COL-180-GRIP-FLAT-BOX-HANDLE,1,schematic map: columbia-flat-box-handle
columbia-angle-head-sch-schematic-page-01.webp,columbia_col-angle-head_sch-page-001.webp,columbia,COL-ANGLE-HEAD,1,schematic map: columbia-angle-head
columbia-automatic-flat-finishing-box-sch-schematic-page-01.webp,columbia_col-automatic-flat-box_sch-page-001.webp,columbia,COL-AUTOMATIC-FLAT-BOX,1,schematic map: columbia-automatic-flat-box
columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch-schematic-page-01.webp,columbia_ptaper_sch-page-001.webp,columbia,PTAPER,1,schematic map: columbia-predator-taper
columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch-schematic-page-01.webp,columbia_ptaper_sch-page-002.webp,columbia,PTAPER,2,schematic map: columbia-predator-taper
columbia-billet-mud-applicator-external-90-cext90-sch-schematic-page-01.webp,columbia_cext90_sch-page-001.webp,columbia,CEXT90,1,schematic map: columbia-external-corner-applicator
columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-sch-schematic-page-01.webp,columbia_ica2-1_sch-page-001.webp,columbia,ICA2-1,1,schematic map: columbia-inside-corner-applicator
columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-sch-schematic-page-01.webp,columbia_ica4-1_sch-page-002.webp,columbia,ICA4-1,2,schematic map: columbia-inside-corner-applicator
columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch-schematic-page-01.webp,columbia_icatw_sch-page-001.webp,columbia,ICATW,1,schematic map: columbia-2-way-internal-corner
columbia-box-filler-sch-schematic-page-01.webp,columbia_col-box-filler_sch-page-001.webp,columbia,COL-BOX-FILLER,1,schematic map: columbia-box-filler
columbia-cam-lock-tube-sch-schematic-page-01.webp,columbia_col-cam-lock-tube_sch-page-001.webp,columbia,COL-CAM-LOCK-TUBE,1,schematic map: columbia-cam-lock-tube
columbia-closet-monster-handle-sch-schematic-page-01.webp,columbia_cmh_sch-page-001.webp,columbia,CMH,1,schematic map: columbia-closet-monster-flat-box-handle
columbia-combo-flusher-3-3csf-sch-schematic-page-01.webp,columbia_col-sander-head_sch-page-001.webp,columbia,COL-SANDER-HEAD,1,schematic map: columbia-sander-head
columbia-combo-flusher-sch-schematic-page-01.webp,columbia_col-combo-flusher_sch-page-001.webp,columbia,COL-COMBO-FLUSHER,1,schematic map: columbia-combo-flusher
columbia-compound-tube-sch-schematic-page-01.webp,columbia_col-compound-tube_sch-page-001.webp,columbia,COL-COMPOUND-TUBE,1,schematic map: columbia-compound-tube
columbia-corner-cobra-sch-schematic-page-01.webp,columbia_cc_sch-page-001.webp,columbia,CC,1,schematic map: columbia-corner-cobra
columbia-corner-roller-sch-schematic-page-01.webp,columbia_cr_sch-page-001.webp,columbia,CR,1,schematic map: columbia-inside-corner-roller
columbia-direct-flusher-sch-schematic-page-01.webp,columbia_col-direct-flusher_sch-page-001.webp,columbia,COL-DIRECT-FLUSHER,1,schematic map: columbia-direct-corner-flusher
columbia-fat-boy-finishing-box-sch-schematic-page-01.webp,columbia_col-automatic-fat-boy-box_sch-page-001.webp,columbia,COL-AUTOMATIC-FAT-BOY-BOX,1,schematic map: columbia-fat-boy-box
columbia-flat-finishing-box-sch-schematic-page-01.webp,columbia_col-flat-finisher-box_sch-page-001.webp,columbia,COL-FLAT-FINISHER-BOX,1,schematic map: columbia-flat-box
columbia-gooseneck-sch-schematic-page-01.webp,columbia_col-gooseneck_sch-page-001.webp,columbia,COL-GOOSENECK,1,schematic map: columbia-gooseneck-adapter
columbia-matrix-box-handle-matrixboxhandle-boxhandle-sch-schematic-page-01.webp,columbia_col-predator-matrix-handle_sch-page-001.webp,columbia,COL-PREDATOR-MATRIX-HANDLE,1,schematic map: columbia-matrix
columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch-schematic-page-01.webp,columbia_col-predator-matrix-handle_sch-page-005.webp,columbia,COL-PREDATOR-MATRIX-HANDLE,5,schematic map: columbia-matrix
columbia-matrix-box-handle-matrixboxhandle-head-sch-schematic-page-01.webp,columbia_col-predator-matrix-handle_sch-page-002.webp,columbia,COL-PREDATOR-MATRIX-HANDLE,2,schematic map: columbia-matrix
columbia-matrix-box-handle-matrixboxhandle-lever-sch-schematic-page-01.webp,columbia_col-predator-matrix-handle_sch-page-003.webp,columbia,COL-PREDATOR-MATRIX-HANDLE,3,schematic map: columbia-matrix
columbia-matrix-box-handle-matrixboxhandle-pinchbox-sch-schematic-page-01.webp,columbia_col-predator-matrix-handle_sch-page-004.webp,columbia,COL-PREDATOR-MATRIX-HANDLE,4,schematic map: columbia-matrix
columbia-mud-pump-sch-2-schematic-page-01.webp,columbia_tbmp_sch-page-001.webp,columbia,TBMP,1,schematic map: columbia-tall-boy-mud-pump
columbia-mud-pump-sch-schematic-page-01.webp,columbia_hmp_sch-page-001.webp,columbia,HMP,1,schematic map: columbia-mud-pump
columbia-nail-spotter-sch-schematic-page-01.webp,columbia_3ns_sch-page-001.webp,columbia,3NS,1,schematic map: columbia-nailspotter
