schematic_id,brand,sku_or_alias,page,filename,checksum_sha256,size_bytes
columbia_ptaper,columbia,ptaper,2,columbia_ptaper_sch-page-002.webp,0d751aed5dc26c216184f1ed58c51b74d5436bbfff0dd02cdc74d4d0641df1af,171152
columbia_sat,columbia,sat,1,columbia_sat_sch-page-001.webp,59f14696d08a7d6847083cbee8797a347401cbfb0ca4eff75fff3a7ef0f8b097,357362
columbia_tbmp,columbia,tbmp,1,columbia_tbmp_sch-page-001.webp,67a4692557a7feb409fa750000136a466c02df5b00b7e6791b3289b67326af20,151698
columbia_tbmp-2022,columbia,tbmp-2022,1,columbia_tbmp-2022_sch-page-001.webp,70e782ad44ebdc13e05d0dc402f21416e7243858939dc14805e3a06efe129df2,198382
columbia_tomahawk,columbia,tomahawk,1,columbia_tomahawk_sch-page-001.webp,4250b7de2684189430c2fca17ac7a831d1b376d39954f0eaec899a4b0d95d0c5,222628
columbia_xh-ad,columbia,xh-ad,1,columbia_xh-ad_sch-page-001.webp,4f62c06010ffff8320d570c1b6b8003cdece1ff1b5b88177115264ca07f65d1a,36724
dura-stilts_d14-22,dura-stilts,d14-22,1,dura-stilts_d14-22_sch-page-001.webp,9b99253dce8ee2c6a8b0bb46f11fa303657eeb48ce4caf7e047c8fca6f1ec909,323254
dura-stilts_d18-30,dura-stilts,d18-30,1,dura-stilts_d18-30_sch-page-001.webp,a9c24993f0e0cc2a97d62c50381ba323960783cca1cecc9401ea7421363fd138,305922
dura-stilts_d24-40,dura-stilts,d24-40,1,dura-stilts_d24-40_sch-page-001.webp,c4eab6670fd61a5773131a6866b35a71f5fe5d6309ccc0654ff3c1bc4d0c5dfd,308272
level5_4-707,level5,4-707,1,level5_4-707_sch-page-001.webp,a29208d0033ce37ab394d3a0dfc63f8b96f777757634bbcf6dea8cabd2cb7a7e,27208
level5_4-734,level5,4-734,1,level5_4-734_sch-page-001.webp,9cda4f4cc826c76853dbdbd217c816986d86f6d7aa300ae54ab58d040c0b0f2a,72006
level5_4-764,level5,4-764,1,level5_4-764_sch-page-001.webp,7a32b6bee40f0c3830a2fa663d236888c8cd6850e4bf1ac229123f46d81117dc,76088
level5_4-765,level5,4-765,1,level5_4-765_sch-page-001.webp,e4e0f14b2a6943330fa7c3b288e15ed8609efaa26ec33a1d8aec983814d9b3b8,79386
level5_4-766,level5,4-766,1,level5_4-766_sch-page-001.webp,b0567288b2367832632caab2f04cca040acf803ac821be3d977056b6b23bd10e,90002
level5_4-767,level5,4-767,1,level5_4-767_sch-page-001.webp,f895efe3e2bf53fcd1165e7d06b8bd2ff74ab7e0bc8dea7ebebec4a464b85570,89986
level5_4-768,level5,4-768,1,level5_4-768_sch-page-001.webp,de3edeb1a3e205a55e40671579e82af5a5d25a57f2e5d35f22e1d55c910cf506,81118
level5_4-769,level5,4-769,1,level5_4-769_sch-page-001.webp,9fbab6eb9516482959b361fd69d551ed66c8cc72bdd0589c2379f5db979f60c4,79790
level5_4-771,level5,4-771,1,level5_4-771_sch-page-001.webp,cceb148afa5e7b30f00b78f2a5be746f243c2de59eeeea6404b4af4b42604f4d,50744
level5_7097,level5,7097,1,level5_7097_sch-page-001.webp,adadcfd8a91c9acd4f6267038e4a971d6b2935999259e61ae7858db0b4d316b7,26350
level5_7218,level5,7218,1,level5_7218_sch-page-001.webp,b7599c95fd5272ca7cf458c5d122d9ecee83136b85a226b5fa7d9c08a5c36d16,60610
level5_7293,level5,7293,1,level5_7293_sch-page-001.webp,ee6dedd6789d11ea008a2f1bc8c9b15990f051d408517cf5ac38314c08264045,26958
level5_7377,level5,7377,1,level5_7377_sch-page-001.webp,f924580ecb1d5ce6f922968be8ab52978f6520dcd9743fde581d162ec8d8a8f1,42792
