dtb_brand,dtb_product_name,dtb_sku,dtb_mpn,dtb_regular_price,dtb_sale_price,dtb_map_price,allwall_product_name,allwall_sku,allwall_url,allwall_regular_price,allwall_sale_price,allwall_current_price,allwall_availability,match_status,match_confidence,match_method,price_vs_dtb_map,evidence_notes,checked_at
Columbia Tools,Columbia 180° Grip Flat Box Handle - 3',3BH,3BH,189.26,,189.26,"Columbia 36"" 180-Grip Flat Box Handle",3BH,https://www.all-wall.com/Columbia-FlatBoxHandle-3BH,,,189.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 3BH exactly matches DTB SKU 3BH after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia 180° Grip Flat Box Handle - 42""",42BH,42BH,205.49,,205.49,"Columbia 42"" 180-Grip Flat Box Handle",42BH,https://www.all-wall.com/Columbia-FlatBoxHandle-42BH,,,205.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 42BH exactly matches DTB SKU 42BH after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia 180° Grip Flat Box Handle - 4',4BH,4BH,210.89,,210.89,"Columbia 48"" 180-Grip Flat Box Handle",4BH,https://www.all-wall.com/Columbia-FlatBoxHandle-4BH,,,210.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 4BH exactly matches DTB SKU 4BH after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia 180° Grip Flat Box Handle - 5',5BH,5BH,221.71,,221.71,"Columbia 60"" 180-Grip Flat Box Handle",5BH,https://www.all-wall.com/Columbia-FlatBoxHandle-5BH,,,221.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 5BH exactly matches DTB SKU 5BH after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia 180° Grip Flat Box Handle - 6',6BH,6BH,232.52,,232.52,"Columbia 72"" 180-Grip Flat Box Handle",6BH,https://www.all-wall.com/Columbia-FlatBoxHandle-6BH,,,232.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 6BH exactly matches DTB SKU 6BH after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Angle Head - 2""",2AH,2AH,410.97,,410.97,"Columbia 2"" Angle Head",2AH,https://www.all-wall.com/Columbia-AngleHead-2AH,,,410.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 2AH exactly matches DTB SKU 2AH after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Angle Head - 2.5""",2.5AH,2.5AH,421.79,,421.79,"Columbia 2.5"" Angle Head",2.5AH,https://www.all-wall.com/Columbia-AngleHead-25AH,,,421.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 2.5AH exactly matches DTB SKU 2.5AH after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Angle Head - 3""",3AH,3AH,443.42,,443.42,"Columbia 3"" Angle Head",3AH,https://www.all-wall.com/Columbia-AngleHead-3AH,,,443.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 3AH exactly matches DTB SKU 3AH after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Angle Head - 3.5""",3.5AH,3.5AH,470.80,,454.23,"Columbia 3.5"" Angle Head",3.5AH,https://www.all-wall.com/Columbia-AngleHead-35AH,,,454.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 3.5AH exactly matches DTB SKU 3.5AH after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Automatic Fat Boy Box - 8""",8FBBA,8FBBA,481.27,,481.27,"Columbia 8"" Fat Boy Automatic Assist Drywall Flat Box",8FBBA,https://www.all-wall.com/Columbia-8in-Fat-Automatic-Assist-Flat-Box,,,481.99,InStock,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 8FBBA exactly matches DTB SKU 8FBBA after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Automatic Fat Boy Box - 10""",10FBBA,10FBBA,492.08,,492.08,"Columbia 10"" Fat Boy Automatic Assist Drywall Flat Box",10FBBA,https://www.all-wall.com/Columbia-10in-Fat-Automatic-Assist-Flat-Box,,,492.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 10FBBA exactly matches DTB SKU 10FBBA after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Automatic Fat Boy Box - 12""",12FBBA,12FBBA,502.90,,502.90,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",12FBBA,https://www.all-wall.com/Columbia-12in-Fat-Automatic-Assist-Box,,,502.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 12FBBA exactly matches DTB SKU 12FBBA after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Automatic Flat Box - 8""",8FFBA,8FFBA,421.79,,421.79,"Columbia 8"" Automatic Assist Drywall Flat Box",8FFBA,https://www.all-wall.com/Columbia-8in-Automatic-Assist-Flat-Box,,,421.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 8FFBA exactly matches DTB SKU 8FFBA after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Automatic Flat Box - 10""",10FFBA,10FFBA,427.19,,427.19,"Columbia 10"" Automatic Assist Drywall Flat Box",10FFBA,https://www.all-wall.com/Columbia-10in-Automatic-Assist-Flat-Box,,,427.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 10FFBA exactly matches DTB SKU 10FFBA after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Automatic Flat Box - 12""",12FFBA,12FFBA,432.60,,432.60,"Columbia 12"" Automatic Assist Drywall Flat Box",12FFBA,https://www.all-wall.com/Columbia-12in-Automatic-Assist-Flat-Box,,,432.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 12FFBA exactly matches DTB SKU 12FFBA after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Automatic Flat Box - 14""",14FFBA,14FFBA,438.01,,438.01,"Columbia 14"" Automatic Assist Drywall Flat Box",14FFBA,https://www.all-wall.com/Columbia-14in-Automatic-Assist-Flat-Box,,,438.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 14FFBA exactly matches DTB SKU 14FFBA after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Automatic Taper - Sawed Off 39""",STAPER,STAPER,1715.43,,1649.29,"Columbia ""Sawed Off"" Mini Automatic Taper",STAPER,https://www.all-wall.com/Columbia-Mini-Automatic-Taper,,,1649.29,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,MATCHES_DTB_MAP,All-Wall displayed MPN STAPER exactly matches DTB SKU STAPER after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Automatic Taper - Standard 53""",TAPER,TAPER,1715.43,,1649.29,Columbia Automatic Drywall Taper,TAPER,https://www.all-wall.com/Columbia-Tools-Automatic-Taper,,,1649.29,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,MATCHES_DTB_MAP,All-Wall displayed MPN TAPER exactly matches DTB SKU TAPER after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia One Predator Taper,PTAPER,PTAPER,2145.46,,,Columbia PREDATOR Carbon Fiber Automatic Taper,PTAPER,https://www.all-wall.com/Columbia-PREDATOR-Automatic-Taper,,,1838.55,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,DTB_MAP_UNKNOWN,All-Wall displayed MPN PTAPER exactly matches DTB SKU PTAPER after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",ICA2-1,ICA2-1,68.13,,68.13,Columbia Inside Corner Applicator 2 Wheels,ICA2-1,https://www.all-wall.com/Columbia-InsideCornerApplicator-ICA21,,,68.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN ICA2-1 exactly matches DTB SKU ICA2-1 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",ICA4-1,ICA4-1,85.44,,85.44,Columbia Inside Corner Applicator 4 Wheels,ICA4-1,https://www.all-wall.com/Columbia-InsideCornerApplicator-ICA41,,,85.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN ICA4-1 exactly matches DTB SKU ICA4-1 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,ICATW,ICATW,116.80,,116.80,Columbia Inside 90° Applicator with Wheels,ICATW,https://www.all-wall.com/Columbia-Inside-90-Applicator-with-Wheels,,,116.99,InStock,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN ICATW exactly matches DTB SKU ICATW after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia Billet Mud Applicator - External 90,CEXT90,CEXT90,127.62,,127.62,Columbia Outside 90° Applicator Head,CEXT90,https://www.all-wall.com/Columbia-Outside-Applicator-Head,,,127.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN CEXT90 exactly matches DTB SKU CEXT90 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia Billet Mud Applicator - Flat,CFLT,CFLT,91.93,,91.93,Columbia Flat Applicator Head,CFLT,https://www.all-wall.com/Columbia-Tools-Flat-Applicator-Head,,,91.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN CFLT exactly matches DTB SKU CFLT after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia Box Filler - Standard,BF,BF,75.71,,75.71,All-Wall.com - Columbia Box Filler Adapter,BF,https://www.all-wall.com/Columbia-Box-Filler-Adapter,,,75.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN BF exactly matches DTB SKU BF after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,Columbia Box Filler - Tall Boy,TBBF,TBBF,75.71,,75.71,Columbia Tall Boy Box Filler,TBBF,https://www.all-wall.com/Columbia-BoxFiller-TBBF,,,75.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN TBBF exactly matches DTB SKU TBBF after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Cam Lock Tube - 24""",CLT24,CLT24,270.95,,257.40,"Columbia 24"" Cam-Lock Compound Mud Tube",CLT24,https://www.all-wall.com/Columbia-24-Cam-Lock-Mud-Tube,,,257.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN CLT24 exactly matches DTB SKU CLT24 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Cam Lock Tube - 32""",CLT32,CLT32,279.72,,268.21,"Columbia 32"" Cam-Lock Compound Mud Tube",CLT32,https://www.all-wall.com/Columbia-32-Cam-Lock-Mud-Tube,,,268.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN CLT32 exactly matches DTB SKU CLT32 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Cam Lock Tube - 42""",CLT42,CLT42,297.33,,280.11,"Columbia 42"" Cam-Lock Compound Mud Tube",CLT42,https://www.all-wall.com/Columbia-42-Cam-Lock-Mud-Tube,,,280.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN CLT42 exactly matches DTB SKU CLT42 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Cam Lock Tube - 55""",CLT55,CLT55,307.89,,278.10,"Columbia 55"" Cam-Lock Compound Mud Tube",CLT55,https://www.all-wall.com/Columbia-55-Cam-Lock-Mud-Tube,,,278.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN CLT55 exactly matches DTB SKU CLT55 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Combo Flusher - 2.5""",2.5CSF,2.5CSF,190.27,,163.31,"Columbia 2.5"" Combo Flusher 2.5CSF",2.5CSF,https://www.all-wall.com/Columbia-Combo-Flusher-25,,,163.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 2.5CSF exactly matches DTB SKU 2.5CSF after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Combo Flusher - 3""",3CSF,3CSF,196.25,,168.71,"Columbia 3"" Combo Flusher 3CSF",3CSF,https://www.all-wall.com/Columbia-Combo-Flusher-3,,,168.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 3CSF exactly matches DTB SKU 3CSF after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Combo Flusher - 3"" Widetrack",3WTCSF,3WTCSF,196.25,,,,,,,,,,NOT_FOUND,,,,No publicly extracted All-Wall displayed MPN exactly equals this DTB SKU after punctuation-only normalization.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Combo Flusher - 3.5""",3.5CSF,3.5CSF,202.25,,181.69,"Columbia 3.5"" Combo Flusher 3.5CSF",3.5CSF,https://www.all-wall.com/Columbia-Combo-Flusher-35,,,181.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN 3.5CSF exactly matches DTB SKU 3.5CSF after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Compound Tube - 24""",CMT24,CMT24,197.91,,197.91,"Columbia 24"" Compound Mud Tube",CMT24,https://www.all-wall.com/Columbia-CompoundTube-CMT24,,,197.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN CMT24 exactly matches DTB SKU CMT24 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Compound Tube - 32""",CMT32,CMT32,208.73,,208.73,"Columbia 32"" Compound Mud Tube",CMT32,https://www.all-wall.com/Columbia-CompoundTube-CMT32,,,208.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN CMT32 exactly matches DTB SKU CMT32 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
Columbia Tools,"Columbia Compound Tube - 42""",CMT42,CMT42,221.71,,221.71,"Columbia 42"" Compound Mud Tube",CMT42,https://www.all-wall.com/Columbia-CompoundTube-CMT42,,,221.99,PreOrder,VERIFIED_PRODUCT,HIGH,EXACT_MPN,ABOVE_DTB_MAP,All-Wall displayed MPN CMT42 exactly matches DTB SKU CMT42 after punctuation-only normalization. The All-Wall SKU field intentionally stores this MPN; retailer-internal SKU data is not extracted.,2026-09-17T01:42:21Z
