brand,name,sku,category,weight,length,width,height,cogs,description
TapeTech,BASE BRACKET TAPETECH,052036,Parts,0.027,0.1,1.25,1.5,,
TapeTech,COVER KEY FOR TAPER TAPETECH,052051,Parts,0.1,,,,,
TapeTech,LOCK TAPETECH,052052,Parts,0.0055,0.5,1,0.02,5.13,<p>TapeTech Lock for 07TT</p>
TapeTech,TAPER HEAD ENCLOSURE TAPETECH,052055,Parts,0.0475,2.5,3.25,0.25,,
TapeTech,SNAP OUT COVER TAPETECH,052080,Parts,0.01,,,,,
TapeTech,SHAFT,052121F,Parts,0.025,3,0.2,0.2,18.26,<p>Driver Shaft</p>
TapeTech,SPROCKET DRIVER,052125,Parts,0.0025,0.5,0.5,0.2,6.11,<p>SPROCKET DRIVER</p>
TapeTech,BUSHING PLASTIC (NEW) REPLACES 059148,0521486,Parts,0.00125,4,4,1,,
TapeTech,SPROCKET BUSHING,0521496,Parts,0.0001,0.5,0.5,0.5,10.41,Sprocket Bushing [6]
TapeTech,BRAKE ADJUSTER,052150,Parts,0.0075,1.25,0.1,0.49,4.89,<p>Brake Adjuster</p>
TapeTech,SIDE PLATE SPACER TAPETECH,052152,Parts,0.019,0.25,0.75,2.25,,
TapeTech,WHEEL ENCLOSURE,052214,Parts,0.0225,0.25,0.75,1,20.87,WHEEL ENCLOSURE
TapeTech,CONTROL ARM BOSS,052221,Parts,1,,,,23.15,Control Arm Boss
TapeTech,CONTROL ARM GUIDE FOR TAPER TAPETECH,052226,Parts,0.012,1,0.5,1.5,,
TapeTech,TAPER BAND TAPETECH,052229,Parts,0.0595,3,3,1,,
TapeTech,SPOOL MOUNT TAPETECH,052400B,Parts,0.1875,10,3,3,,
TapeTech,PLUNGER STOP SMALL TAPETECH,052401B,Parts,0.05,1,3,3,,
TapeTech,PLUNGER STOP LOCKING STRAP,052403,Parts,0.009,0.5,0.4,0.3,8.64,PLUNGER STOP LOCKING STRAP
TapeTech,KEEPER YOKE,052404B,Parts,0.029,1.2,1,1,12.63,<p>Keeper Yoke</p> <p>TapeTech part&nbsp;052404B</p>
TapeTech,Keeper Tube Cradle,052407B,Parts,0.0125,1,1,2.5,5.56,<p>TapeTech Keeper Tube Cradle</p> <p>TapeTech part #052407B</p>
TapeTech,KEEPER WIREFORM,052409,Parts,1,,,,18.67,<p>TapeTech Keeper Wireform</p> <p>Part #&nbsp;052409</p>
