"row_index","sku","name","brand","old_regular_price","new_regular_price","source","source_variant_sku","source_variant_title","source_product_title","source_url","match_score","match_type"
"513","AH9","Bottom Retainer Corner Clip","Columbia Tools","","12.63","csrbuilding.com","08AH9","AH9 - Bottom Retainer Corner Clip","Columbia Angle Head Repair Parts","https://csrbuilding.com/en-us/products/columbia-angle-head-repair-parts","190","normalized_sku_or_variant_part_token"
"515","AH18","Socket Wear Cap","Columbia Tools","","11.22","csrbuilding.com","08AH18","AH18 - Socket Wear Cap","Columbia Angle Head Repair Parts","https://csrbuilding.com/en-us/products/columbia-angle-head-repair-parts","190","normalized_sku_or_variant_part_token"
"516","FA227","6-32 X 1/4"" Flat Slot","Columbia Tools","","2.00","csrbuilding.com","08FA227","FA227 - 6-32 X 1/4"" Flat Slot","Columbia Angle Head Repair Parts","https://csrbuilding.com/en-us/products/columbia-angle-head-repair-parts","190","normalized_sku_or_variant_part_token"
"517","FA235","6-32 X 1/8"" Set Screw","Columbia Tools","","1.57","csrbuilding.com","08FA235","FA235 - 6-32 X 1/8"" Set Screw","Columbia Angle Head Repair Parts","https://csrbuilding.com/en-us/products/columbia-angle-head-repair-parts","190","normalized_sku_or_variant_part_token"
"518","FA236","6-32 X 1/8"" Binder Slot","Columbia Tools","","0.64","csrbuilding.com","08FA236","FA236 - 6-32 X 1/8"" Binder Slot","Columbia Angle Head Repair Parts","https://csrbuilding.com/en-us/products/columbia-angle-head-repair-parts","190","normalized_sku_or_variant_part_token"
"519","FA249","8-32X3/16"" Set Screw","Columbia Tools","","1.78","csrbuilding.com","08FA249","FA249 - 8-32X3/16"" Set Screw","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"521","FA260","8-32 x 3/8"" Pan Slot","Columbia Tools","","0.64","csrbuilding.com","08FA260","FA260 - 8-32 x 3/8"" Pan Slot","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"525","FA286","1/4"" x 1/2"" Flat Washer","Columbia Tools","","0.64","csrbuilding.com","08FA286","FA286 - 1/4"" x 1/2"" Flat Washer","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"528","FA297","1/4-20 x 5/8"" Socket","Columbia Tools","","2.43","csrbuilding.com","08FA297","FA297 - 1/4-20 x 5/8"" Socket","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"530","FA301","1/4-20 x 2 1/4"" Hex Bolt","Columbia Tools","","3.24","csrbuilding.com","08FA301","FA301 - 1/4-20 x 2 1/4"" Hex Bolt","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"531","FA303","5-16 Flat Washer","Columbia Tools","","3.25","csrbuilding.com","08FA303","FA303 - 5-16 Flat Washer","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"534","FA307","5-16 x 24 Jam Nut","Columbia Tools","","2.82","csrbuilding.com","08FA307","FA307 - 5-16 x 24 Jam Nut","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"536","FA313","1/4-20 X 1/4 Socket Head Set Screw","Columbia Tools","","1.78","csrbuilding.com","08FA313","FA313 - 1/4-20 X 1/4 Socket Head Set Screw","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"537","HP1","Pump Cylinder","Columbia Tools","","65.97","csrbuilding.com","08HP1","HP1 - Pump Cylinder","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"538","HP44","Collar O-Ring","Columbia Tools","","2.11","csrbuilding.com","08HP44","HP44 - Collar O-Ring","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"539","HP45","O Ring Enclosure","Columbia Tools","","28.07","csrbuilding.com","08HP45","HP45 - O Ring Enclosure","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"542","HPA-48","Handle Pin Assembly","Columbia Tools","","6.18","csrbuilding.com","08HPA-48","HPA48 - Handle Pin Assembly","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"543","MP2","Foot Valve Casting","Columbia Tools","","37.20","csrbuilding.com","08MP2","MP2 - Foot Valve Casting","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"544","MP3","Pump Flapper Valve","Columbia Tools","","4.21","csrbuilding.com","08MP3","MP3 - Pump Flapper Valve","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"546","MP6","Handle Link","Columbia Tools","","42.11","csrbuilding.com","08MP6","MP6 - Handle Link","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"547","MP7","Pump Handle","Columbia Tools","","112.29","csrbuilding.com","08MP7","MP7 - Pump Handle","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"548","MP8","Leg","Columbia Tools","","91.23","csrbuilding.com","08MP8","MP8 - Leg","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"554","MP23A","O-Ring","Columbia Tools","","1.69","csrbuilding.com","08MP23A","MP23A - O-Ring","Columbia Box Filler Adaptor Parts","https://csrbuilding.com/en-us/products/columbia-box-filler-adaptor-parts","190","normalized_sku_or_variant_part_token"
"555","MP24","Mud Pump Screen","Columbia Tools","","4.92","csrbuilding.com","08MP24","MP24 - Mud Pump Screen","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"556","MP25","Filler Studs","Columbia Tools","","11.94","csrbuilding.com","08MP25","MP25 - Filler Studs","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"559","MP33","Filler Gasket","Columbia Tools","","1.83","csrbuilding.com","08MP33","MP33 - Filler Gasket","Columbia Hot Mud Pump Repair Parts","https://csrbuilding.com/en-us/products/columbia-hot-mud-pump-repair-parts","190","normalized_sku_or_variant_part_token"
"562","FA218","4-40 x 3/8"" Flat Slot","Columbia Tools","","0.64","csrbuilding.com","08FA218","FA218 - 4-40 x 3/8"" Flat Slot","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"564","HNS4-2","Door 2""","Columbia Tools","","42.11","csrbuilding.com","08HNS4-2","HNS4-2 - Door 2""","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"565","HNS4-3","Door 3""","Columbia Tools","","42.11","csrbuilding.com","08HNS4-3","HNS4-3 - Door 3""","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"566","HNS7-2","Blade 2""","Columbia Tools","","29.47","csrbuilding.com","08HNS7-2","HNS7-2 - Blade 2""","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"567","HNS7-3","Blade 3""","Columbia Tools","","29.47","csrbuilding.com","08HNS7-3","HNS7-3 - Blade 3""","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"568","HNS8-2","Blade Holder 2""","Columbia Tools","","42.11","csrbuilding.com","08HNS8-2","HNS8-2 - Blade Holder 2""","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"569","HNS8-3","Blade Holder 3""","Columbia Tools","","42.11","csrbuilding.com","08HNS8-3","HNS8-3 - Blade Holder 3""","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"572","HNS12","Handle Clamp","Columbia Tools","","21.06","csrbuilding.com","08HNS12","HNS12 - Handle Clamp","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"573","HNS12A","Roll Pin","Columbia Tools","","7.02","csrbuilding.com","08HNS12A","HNS12A - Roll Pin","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"575","HNSA-14","Handle Link Assembly","Columbia Tools","","57.18","csrbuilding.com","08HNSA-14","HNSA14 - Handle Link Assembly","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"576","HNS15-2","Door Gasket 2""","Columbia Tools","","46.04","csrbuilding.com","08HNS15-2","HNS15-2 - Door Gasket 2""","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"577","HNS15-3","Door Gasket 3""","Columbia Tools","","45.05","csrbuilding.com","08HNS15-3","HNS15-3 - Door Gasket 3""","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"578","HNS17A","Nail Spotter Handle Tightness Screw","Columbia Tools","","6.33","csrbuilding.com","08HNS17A","HNS17A - Nail Spotter Handle Tightness Screw","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"579","HNS18","Pivot","Columbia Tools","","4.24","csrbuilding.com","08HNS18","HNS18 - Pivot","Columbia Hinged Nailspotter Repair Parts","https://csrbuilding.com/en-us/products/columbia-hinged-nailspotter-repair-parts","190","normalized_sku_or_variant_part_token"
"581","FA237","6-32 x 3/16"" Binder Slot","Columbia Tools","","0.64","csrbuilding.com","08FA237","FA237 - 6-32 x 3/16"" Binder Slot","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"582","FA317","5/32"" x 7/8"" Roll Pin","Columbia Tools","","1.33","csrbuilding.com","08FA317","FA317 - 5/32"" x 7/8"" Roll Pin","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"583","FA365","3/16 x 1"" Sping Pin SS","Columbia Tools","","3.31","csrbuilding.com","08FA365","FA365 - 3/16 x 1"" Sping Pin SS","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"584","FA376","8-32 x 5/16 SS Socket Head","Columbia Tools","","2.00","csrbuilding.com","08FA376","FA376 - 8-32 x 5/16 SS Socket Head","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"587","FA382","10-32 x 1/4"" SS Set Screw","Columbia Tools","","0.80","csrbuilding.com","08FA382","FA382 - 10-32 x 1/4"" SS Set Screw","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"588","HH5","Extension Housing","Columbia Tools","","42.11","csrbuilding.com","08HH5","HH5 - Extension Housing","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"589","HH8","Handle Tube","Columbia Tools","","57.41","csrbuilding.com","08HH8","HH8 - Handle Tube","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"592","HH32","Release Clip Washer","Columbia Tools","","28.07","csrbuilding.com","08HH32","HH32 - Release Clip Washer","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"594","HH35","Handle Grip","Columbia Tools","","8.02","csrbuilding.com","08HH35","HH35 - Handle Grip","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"595","MH1","Handle Mount Plate","Columbia Tools","","96.57","csrbuilding.com","08MH1","MH1 - Handle Mount Plate","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"596","MH2","Matrix Handle Head","Columbia Tools","","5.15","csrbuilding.com","08MH2","MH2 - Matrix Handle Head","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"597","MH3","Lower Mount Bracket","Columbia Tools","","41.38","csrbuilding.com","08MH3","MH3 - Lower Mount Bracket","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"598","MH3A","Mounting Bracket Stem","Columbia Tools","","5.15","csrbuilding.com","08MH3A","MH3A - Mounting Bracket Stem","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"599","MH4","Handle Grip","Columbia Tools","","47.10","csrbuilding.com","08MH4","MH4 - Handle Grip","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"600","MH5","Connecting Link Pin","Columbia Tools","","6.18","csrbuilding.com","08MH5","MH5 - Connecting Link Pin","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"601","MH6","Hinge Pin","Columbia Tools","","5.14","csrbuilding.com","08MH6","MH6 - Hinge Pin","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"602","MH7","Connecting Link Fork","Columbia Tools","","37.08","csrbuilding.com","08MH7","MH7 - Connecting Link Fork","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"603","MH8","Brake Rod Bushing","Columbia Tools","","10.31","csrbuilding.com","08MH8","MH8 - Brake Rod Bushing","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"604","MH9A","Brake Activation Rod","Columbia Tools","","30.90","csrbuilding.com","08MH9A","MH9A - Brake Activation Rod","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"605","MH10","Octagon","Columbia Tools","","46.35","csrbuilding.com","08MH10","MH10 - Octagon","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"606","MH11","Handle Grip Bushing","Columbia Tools","","7.01","csrbuilding.com","08MH11","MH11 - Handle Grip Bushing","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"607","MH12","PinchBrake Spring","Columbia Tools","","5.15","csrbuilding.com","08MH12","MH12 - PinchBrake Spring","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
