source_filename,canonical_filename,sku,gallery_position,view,width,height,conversion
columbia_cr.webp,columbia_tools_cr_04.webp,CR,4,front_top,982,781,lossless_webp
columbia_cr_2.webp,columbia_tools_cr_05.webp,CR,5,rear,966,784,lossless_webp
