Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,AL,,,0,AL Zero Rate,1,0,0,zero-rate
US,AK,,,0,AK Zero Rate,1,0,0,zero-rate
US,AZ,,,0,AZ Zero Rate,1,0,0,zero-rate
US,AR,,,0,AR Zero Rate,1,0,0,zero-rate
US,CA,,,0,CA Zero Rate,1,0,0,zero-rate
US,CO,,,0,CO Zero Rate,1,0,0,zero-rate
US,CT,,,0,CT Zero Rate,1,0,0,zero-rate
US,DC,,,0,DC Zero Rate,1,0,0,zero-rate
US,DE,,,0,DE Zero Rate,1,0,0,zero-rate
US,FL,,,0,FL Zero Rate,1,0,0,zero-rate
US,GA,,,0,GA Zero Rate,1,0,0,zero-rate
US,HI,,,0,HI Zero Rate,1,0,0,zero-rate
US,ID,,,0,ID Zero Rate,1,0,0,zero-rate
US,IL,,,0,IL Zero Rate,1,0,0,zero-rate
US,IN,,,0,IN Zero Rate,1,0,0,zero-rate
US,IA,,,0,IA Zero Rate,1,0,0,zero-rate
US,KS,,,0,KS Zero Rate,1,0,0,zero-rate
US,KY,,,0,KY Zero Rate,1,0,0,zero-rate
US,LA,,,0,LA Zero Rate,1,0,0,zero-rate
US,ME,,,0,ME Zero Rate,1,0,0,zero-rate
US,MD,,,0,MD Zero Rate,1,0,0,zero-rate
US,MA,,,0,MA Zero Rate,1,0,0,zero-rate
US,MI,,,0,MI Zero Rate,1,0,0,zero-rate
US,MN,,,0,MN Zero Rate,1,0,0,zero-rate
US,MS,,,0,MS Zero Rate,1,0,0,zero-rate
US,MO,,,0,MO Zero Rate,1,0,0,zero-rate
US,MT,,,0,MT Zero Rate,1,0,0,zero-rate
US,NE,,,0,NE Zero Rate,1,0,0,zero-rate
US,NV,,,0,NV Zero Rate,1,0,0,zero-rate
US,NH,,,0,NH Zero Rate,1,0,0,zero-rate
US,NJ,,,0,NJ Zero Rate,1,0,0,zero-rate
US,NM,,,0,NM Zero Rate,1,0,0,zero-rate
US,NY,,,0,NY Zero Rate,1,0,0,zero-rate
US,NC,,,0,NC Zero Rate,1,0,0,zero-rate
US,ND,,,0,ND Zero Rate,1,0,0,zero-rate
US,OH,,,0,OH Zero Rate,1,0,0,zero-rate
US,OK,,,0,OK Zero Rate,1,0,0,zero-rate
US,OR,,,0,OR Zero Rate,1,0,0,zero-rate
US,PA,,,0,PA Zero Rate,1,0,0,zero-rate
US,RI,,,0,RI Zero Rate,1,0,0,zero-rate
US,SC,,,0,SC Zero Rate,1,0,0,zero-rate
US,SD,,,0,SD Zero Rate,1,0,0,zero-rate
US,TN,,,0,TN Zero Rate,1,0,0,zero-rate
US,TX,,,0,TX Zero Rate,1,0,0,zero-rate
US,UT,,,0,UT Zero Rate,1,0,0,zero-rate
US,VT,,,0,VT Zero Rate,1,0,0,zero-rate
US,VA,,,0,VA Zero Rate,1,0,0,zero-rate
US,WA,,,0,WA Zero Rate,1,0,0,zero-rate
US,WV,,,0,WV Zero Rate,1,0,0,zero-rate
US,WI,,,0,WI Zero Rate,1,0,0,zero-rate
US,WY,,,0,WY Zero Rate,1,0,0,zero-rate
