Model,Description,UPC Code,Ship Box Length (in),Ship Box Width (in),Ship Box Height (in),Ship Package Weight (lbs),Ship Box Length (cm),Ship Box Width (cm),Ship Box Height (cm),Ship Package Weight (kg)
CTPMP,Continuous Flow Pump - USA/Canada (110V),873876001606,45,29,48,196,115,74,122,88.90410452
CTEPMP,Continuous Flow Pump - Europe (220V),873876002368,45,29,48,196,115,74,122,88.90410452
CTAPMP,Continuous Flow Pump - Australia/NZ (230V),873876002807,45,29,48,196,115,74,122,88.90410452
CTUPMP,Continuous Flow Pump - UK (110V),873876002887,45,29,48,196,115,74,122,88.90410452
CTVLV,CFS Taper/CFS Corner Finisher Flow Controller,873876001590,12.5,6,1.5,2.7,32,16,4,1.224699399
CTBXC,Continuous Flow Finishing Box Controller,873876001583,8,5,2,0.8,21,13,6,0.362873896
,,,,,,,,,,
QB6003 - 5,QuickBox™ QSX Blades: Flat Finishing (Black) – 5 pack,873876002542,11,4,0.5,0.1,28,10,1,0.045359237
QB6023 - 5,QuickBox™ QSX Blades: .045 Crown Finishing (White) – 5 pack,873876002559,11,4,0.5,0.1,28,10,1,0.045359237
QB6033 - 5,QuickBox™ QSX Blades : For Exterior Seaming (Yellow) – 5 pack,873876002566,11,4,0.5,0.1,28,10,1,0.045359237
QB6043 - 5,QuickBox™ QSX Blades: Notched for Adhesives (Green) – 5 pack,873876002573,11,4,0.5,0.1,28,10,1,0.045359237
