"Product ID","SKU","Product","On hand","Committed","Available","Incoming","Mapping"
"3594","COL-UHMW-MUD-APPLICATOR","Columbia UHMW Mud Applicator","0","0","0","0","unmapped"
"3642","HFFB14","Flat Box Hinged Door Gasket","0","0","0","0","unmapped"
"3643","FFB25","Rubber Gasket Retainer","0","0","0","0","unmapped"
"3644","AH3","Top Blade","0","0","0","0","unmapped"
"3692","FFB11","Adjuster Spring","0","0","0","0","unmapped"
"3713","FFB5","Axle","0","0","0","0","unmapped"
"3718","FFB9","Blade","0","0","0","0","unmapped"
"3719","HNS7","Blade","0","0","0","0","unmapped"
"3742","HNS8","Blade Holder","0","0","0","0","unmapped"
"3743","AH9-CLIP","Bottom Retainer Corner Clip","0","0","0","0","unmapped"
"3744","BH9","Brake Connecting Strap","0","0","0","0","unmapped"
"3763","HH-BRASS-CONNECTOR","Brass Connector","0","0","0","0","unmapped"
"3792","HNS4","Door","0","0","0","0","unmapped"
"3813","CFB4","Door","0","0","0","0","unmapped"
"3817","HNS15","Door Gasket","0","0","0","0","unmapped"
"3818","CFB7","Door Gasket","0","0","0","0","unmapped"
"3819","HNS-DOOR-SPRING","Door Spring","0","0","0","0","unmapped"
"3820","CT-SPROCKET","Drive Sprocket","0","0","0","0","unmapped"
"3842","AH7","Frame Tension Spring","0","0","0","0","unmapped"
"3867","AH1","Head Casting","0","0","0","0","unmapped"
"3868","HFFB3-PLATE","Hinge Box End Plate","0","0","0","0","unmapped"
"3892","CT-WAFER-BUSHING","Wafer Bushing","0","0","0","0","unmapped"
"3917","MP-PISTON-BACKING-WASHER","Piston Backing Washer","0","0","0","0","unmapped"
"3942","CT-INSERT-BUSHING","Insert Bushing","0","0","0","0","unmapped"
"3943","CT-NYLATRON-CHAIN-ROLLER","Nylatron Chain Roller","0","0","0","0","unmapped"
"3967","FFB7-SHOE","Shoe","0","0","0","0","unmapped"
"3968","CFB3","Side Plate","0","0","0","0","unmapped"
"3992","AH8-CLIP","Top Retainer Corner Clip","0","0","0","0","unmapped"
"3993","DS-DURA-III","Dura-III Adjustable","0","0","0","0","unmapped"
"3994","LV5-CORNER-APPLICATOR","LEVEL5 Corner Applicator","0","0","0","0","unmapped"
"3995","LV5-CORNER-HANDLE-APPLICATOR-EXT","LEVEL5 Corner Applicator Handle (Extendable)","0","0","0","0","unmapped"
"4017","LV5-CORNER-FINISHER","LEVEL5 Corner Finisher","0","0","0","0","unmapped"
"4018","LV5-CORNER-HANDLE-FINISHER-EXT","LEVEL5 Corner Finisher Handle (Extendable)","0","0","0","0","unmapped"
"4019","LV5-CORNER-FLUSHER","LEVEL5 Corner Flusher","0","0","0","0","unmapped"
"4020","LV5-FLAT-BOX-MEGA","LEVEL5 Flat Box (MEGA)","0","0","0","0","unmapped"
"4021","LV5-FLAT-BOX-STANDARD","LEVEL5 Flat Box (Standard)","0","0","0","0","unmapped"
"4022","LV5-FLAT-BOX-HANDLE-EXT","LEVEL5 Flat Box Handle (Extendable)","0","0","0","0","unmapped"
"4042","LV5-FLAT-BOX-HANDLE-FIXED","LEVEL5 Flat Box Handle (Fixed Length)","0","0","0","0","unmapped"
"4043","LV5-NAIL-SPOTTER","LEVEL5 Nail Spotter","0","0","0","0","unmapped"
"4045","LV5-CORNER-ROLLER-HANDLE","LEVEL5 Corner Roller Handle","0","0","0","0","unmapped"
"4046","LV5-FIXED-HANDLE-50","LEVEL5 50"" Fixed Handle","0","0","0","0","unmapped"
"4068","PT-CF","Platinum Angle Head Corner Finisher with Wheels","0","0","0","0","unmapped"
"4069","PT-CT","Platinum Compound Tube","0","0","0","0","unmapped"
"4070","PT-BH","Platinum Flat Box Handle","0","0","0","0","unmapped"
"4071","PT-FB","Platinum Flat Finishing Box","0","0","0","0","unmapped"
"4092","PT-NS","Platinum Nail Spotter","0","0","0","0","unmapped"
"4093","PT-SSCF","Platinum Stainless Steel Corner Flusher","0","0","0","0","unmapped"
"4094","PT-CORNER-HANDLE-50","Platinum 50"" Corner Tool Handle","0","0","0","0","unmapped"
"4095","PT-90-APPLICATOR","Platinum 90° Corner Applicator","0","0","0","0","unmapped"
"4096","PT-CORNER-ROLLER","Platinum Corner Roller","0","0","0","0","unmapped"
"4117","SP-S1-A","SurPro S1 Aluminum Drywall Stilts","0","0","0","0","unmapped"
"4118","SP-S1-M","SurPro S1 Magnesium Drywall Stilts","0","0","0","0","unmapped"
"4119","SP-S1X-A","SurPro S1X Aluminum Drywall Stilts","0","0","0","0","unmapped"
"4120","SP-S1X-M","SurPro S1X Magnesium Drywall Stilts","0","0","0","0","unmapped"
"4121","SP-S2-A","SurPro S2 Aluminum Drywall Stilts","0","0","0","0","unmapped"
"4122","SP-S2-M","SurPro S2 Magnesium Drywall Stilts","0","0","0","0","unmapped"
"4142","SP-S2X-A","SurPro S2X Aluminum Drywall Stilts","0","0","0","0","unmapped"
"4143","SP-S2X-M","SurPro S2X Magnesium Drywall Stilts","0","0","0","0","unmapped"
"4144","TT-APPLICATOR-HEAD","TapeTech Applicator Head","0","0","0","0","unmapped"
"4145","TT-BRAKELESS-BOX-HANDLE","TapeTech Brakeless Box Handle","0","0","0","0","unmapped"
"4146","TT-CARBON-FIBER-BOX-HANDLE","TapeTech Carbon Fiber Box Handle","0","0","0","0","unmapped"
