,,,,,,,Order Form,,,,,,,
Customer:,,0,,,,,,,Order date:,,,,00:00:00,
Ship To:,,0,,,,,,,PO#:,,,,0,
0,,,,,,,,,Need by date:,,,,00:00:00,
0,,,,,,,,,Carrier:,,,,0,
Please note that the case quantities are noted for each Product. Ordering in multiples of inner case quantities helps us keep costs low to you and reduces damage during shipping. ,,,,,,,,,,,,,,
Part #,Sku #,Description,Brand,Product Group,Product Type,MSRP,MAPP,Your Price,UOM,Inner Case Qty,Master Case Qty,Order Quantity,Total Price,
449324,4-001,"4"" Mud Roller",LEVEL5,Drywall Hand Tools,Rollers,18.49,16.64,11.65,Each,12,48,,0,
449325,4-002,Corner Mud Roller,LEVEL5,Drywall Hand Tools,Rollers,21.99,19.79,13.85,Each,6,24,,0,
449326,4-003,"4"" Mud Roller Frame",LEVEL5,Drywall Hand Tools,Rollers,12.99,11.69,8.18,Each,6,24,,0,
449327,4-004,Corner Mud Roller Frame,LEVEL5,Drywall Hand Tools,Rollers,12.99,11.69,8.18,Each,6,24,,0,
449328,4-005,"4"" Mud Roller w/Frame",LEVEL5,Drywall Hand Tools,Rollers,31.479999999999997,28.33,19.83,Each,6,24,,0,
449329,4-006,Corner Mud Roller w/Frame,LEVEL5,Drywall Hand Tools,Rollers,34.98,31.48,22.04,Each,6,24,,0,
449330,4-007,"4"" Mud Roller Cover 3pk",LEVEL5,Drywall Hand Tools,Rollers,55.47,49.92,34.94,Each,1,1,,0,
449331,4-008,Corner Mud Roller Cover 3pk,LEVEL5,Drywall Hand Tools,Rollers,65.97,59.37,41.56,Each,1,1,,0,
449332,4-009,"9""Mud Roller-3pk",LEVEL5,Drywall Hand Tools,Rollers,62.97,56.67,39.67,Each,1,1,,0,
449333,4-012,"12""Mud Roller-3pk",LEVEL5,Drywall Hand Tools,Rollers,68.97,62.07,43.45,Each,1,1,,0,
449384,4-600P,Taping Finishing Set w/Fixed Hndls-P,LEVEL5,Drywall Auto Tools,Auto Tool Sets,4813.38,3850.7,2695.49,Each,1,1,,0,
449386,4-601P,Taping Finishing Set w/Ext Hndls-P,LEVEL5,Drywall Auto Tools,Auto Tool Sets,5265.85,4212.68,2948.88,Each,1,1,,0,
449387,4-602,Finishing Set with Standard Handles,LEVEL5,Drywall Auto Tools,Auto Tool Sets,2994.3999999999996,2395.52,1676.86,Each,1,1,,0,
449390,4-604,"Flat Bx Set 10""/12""w/42""Fixed Hndl",LEVEL5,Drywall Auto Tools,Auto Tool Sets,1675.46,1340.37,938.26,Each,1,1,,0,
449391,4-605,"Flat Box Set 10""/12""wExt Hndl",LEVEL5,Drywall Auto Tools,Auto Tool Sets,1816.46,1453.17,1017.22,Each,1,1,,0,
449410,4-617P,Ultimate Pro Taping and Finishing Set W/ Bonus Items,LEVEL5,Drywall Auto Tools,Auto Tool Sets,7370.28,5896.22,4127.35,Each,1,1,,0,
449429,4-630,Starter Taping Set,LEVEL5,Drywall Auto Tools,Auto Tool Sets,2638.95,2111.16,1477.81,Each,1,1,,0,
449432,4-650,Starter Set w/Banjo ,LEVEL5,Drywall Semi Auto Tools,Banjo Sets,1959.91,1665.92,1166.14,Each,1,1,,0,
449433,4-660P,Taping Finishing Set + MiniShot,LEVEL5,Drywall Auto Tools,Auto Tool Sets,5468.8899999999985,4375.11,3062.58,Each,1,1,,0,
449447,4-677P,Ultimate Taping Set + MiniShot,LEVEL5,Drywall Auto Tools,Auto Tool Sets,7928.299999999998,6342.64,4439.85,Each,1,1,,0,
449457,4-701,"7""Corner Applicator (2G)",LEVEL5,Drywall Auto Tools,Applicator Boxes,335.99,285.59,199.91,Each,1,10,,0,
450999,4-701CASE-E,"7"" Corner Applicator Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,66.99,56.94,39.86,Each,1,10,,0,
449461,4-702,"8""Corner Applicator (2G)",LEVEL5,Drywall Auto Tools,Applicator Boxes,346.49,294.52,206.16,Each,1,10,,0,
451000,4-702CASE-E,"8"" Corner Applicator Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,66.99,56.94,39.86,Each,1,10,,0,
449465,4-707,Corner Roller (2G),LEVEL5,Drywall Auto Tools,Inside Corner Rollers,178.99,152.14,106.5,Each,1,10,,0,
450985,4-707CASE-A,Inside Corner Roller Case w/Foam Insert (No Tool),LEVEL5,Drywall Auto Tools,Storage,39.99,33.99,23.79,Each,1,10,,0,
449468,4-711,"34""Flat Box Fixed Hndl",LEVEL5,Drywall Auto Tools,Handles,205.99,175.09,122.56,Each,6,6,,0,
449470,4-712,"42""Flat Box Fixed Hndl",LEVEL5,Drywall Auto Tools,Handles,216.49,184.02,128.81,Each,6,6,,0,
449472,4-714,Gooseneck,LEVEL5,Drywall Auto Tools,Gooseneck,118.99,101.14,70.8,Each,6,24,,0,
449474,4-715,Flat Box Filler ,LEVEL5,Drywall Auto Tools,Compound Pumps,79.49,67.57,47.3,Each,1,60,,0,
449477,4-732,"2.5""Corner Finisher",LEVEL5,Drywall Auto Tools,Corner Finishers,467.49,397.37,278.16,Each,1,10,,0,
450986,4-732CASE-B,"2.5"" Corner Finisher Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,53.49,45.47,31.83,Each,1,10,,0,
449481,4-733,"3""Corner Finisher ",LEVEL5,Drywall Auto Tools,Corner Finishers,478.49,406.72,284.7,Each,1,10,,0,
450987,4-733CASE-B,"3"" Corner Finisher Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,53.49,45.47,31.83,Each,1,10,,0,
449485,4-734,"3.5""Corner Finisher ",LEVEL5,Drywall Auto Tools,Corner Finishers,489.49,416.07,291.25,Each,1,10,,0,
450988,4-734CASE-B,"3.5"" Corner Finisher Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,53.49,45.47,31.83,Each,1,10,,0,
449488,4-735,"4""Corner Finisher ",LEVEL5,Drywall Auto Tools,Corner Finishers,500.49,425.42,297.79,Each,1,10,,0,
450989,4-735CASE-B,"4"" Corner Finisher Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,53.49,45.47,31.83,Each,1,10,,0,
449491,4-740,"54""Fixed Flat Box Hndl",LEVEL5,Drywall Auto Tools,Handles,238.49,202.72,141.9,Each,6,6,,0,
449493,4-741,"Comound Tube 42"" ",LEVEL5,Drywall Semi Auto Tools,Compound Dispensers,226.49,203.84,142.69,Each,1,4,,0,
449495,4-743,"3""Direct Corner Flusher w/Wheels",LEVEL5,Drywall Semi Auto Tools,Flushers,142.99,128.69,90.08,Each,1,12,,0,
449496,4-744,"3.5""Direct Corner Flusher w/Wheels",LEVEL5,Drywall Semi Auto Tools,Flushers,147.49,132.74,92.92,Each,1,12,,0,
450718,4-746,Outside Corner Bead Mud Applicator,LEVEL5,Drywall Auto Tools,Outside Applicator Head,86.99,73.94,51.76,Each,1,12,,0,
449500,4-749,CT Box Filler Attachment,LEVEL5,Drywall Auto Tools,Compound Dispensers,31.99,27.19,19.03,Each,1,12,,0,
449501,4-754,"2""Nail Spotter (2G) ",LEVEL5,Drywall Auto Tools,Nail Spotters,318.99,271.14,189.8,Each,1,10,,0,
450990,4-754CASE-B,"2"" Nail Spotter Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,53.49,45.47,31.83,Each,1,10,,0,
449505,4-755,"3""Nail Spotter (2G) ",LEVEL5,Drywall Auto Tools,Nail Spotters,340.99,289.84,202.89,Each,1,10,,0,
450991,4-755CASE-B,"3"" Nail Spotter Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,53.49,45.47,31.83,Each,1,10,,0,
449515,4-759,"48""- 78""Flat Box Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,368.49,313.22,219.25,Each,6,6,,0,
449517,4-760,Automatic Drywall Taper (2G) ,LEVEL5,Drywall Auto Tools,Auto Tapers,1699.99,1444.99,1011.49,Each,1,4,,0,
451002,4-760CASE-I,Auto Taper or MiniShot Case w/Foam Insert (No Tool),LEVEL5,Drywall Auto Tools,Storage,199.99,169.99,118.99,Each,1,4,,0,
449520,4-764,"7""Standard Flat Box (2G) ",LEVEL5,Drywall Auto Tools,Flat Boxes,446.49,379.52,265.66,Each,1,10,,0,
450995,4-764CASE-C,"7"" Standard Flat Box Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,66.99,56.94,39.86,Each,1,10,,0,
449523,4-765,"10""Standard Flat Box (2G)",LEVEL5,Drywall Auto Tools,Flat Boxes,457.49,388.87,272.21,Each,1,10,,0,
450992,4-765CASE-C,"10"" Standard Flat Box Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,66.99,56.94,39.86,Each,1,10,,0,
449526,4-766,"12""Standard Flat Box (2G)",LEVEL5,Drywall Auto Tools,Flat Boxes,468.99,398.64,279.05,Each,1,10,,0,
450996,4-766CASE-D,"12"" Standard Flat Box Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,66.99,56.94,39.86,Each,1,10,,0,
449529,4-767,"7""MEGA Flat Box (2G) ",LEVEL5,Drywall Auto Tools,Flat Boxes,468.99,398.64,279.05,Each,1,10,,0,
450994,4-767CASE-C,"7"" MEGA Flat Box Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,66.99,56.94,39.86,Each,1,10,,0,
449532,4-768,"10""MEGA Flat Box (2G) ",LEVEL5,Drywall Auto Tools,Flat Boxes,479.99,407.99,285.59,Each,1,10,,0,
450993,4-768CASE-C,"10"" MEGA Flat Box Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,66.99,56.94,39.86,Each,1,10,,0,
449535,4-769,"12""MEGA Flat Box (2G) ",LEVEL5,Drywall Auto Tools,Flat Boxes,496.49,422.02,295.41,Each,1,10,,0,
450997,4-769CASE-D,"12"" MEGA Flat Box Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,66.99,56.94,39.86,Each,1,10,,0,
449538,4-770,"14""Standard Flat Box (2G) ",LEVEL5,Drywall Auto Tools,Flat Boxes,485.49,412.67,288.87,Each,1,10,,0,
450998,4-770CASE-D,"14"" Standard Flat Box Case w/Foam Insert (No Tool)",LEVEL5,Drywall Auto Tools,Storage,66.99,56.94,39.86,Each,1,10,,0,
449541,4-771,Compound Pump w/Filler (2G) ,LEVEL5,Drywall Auto Tools,Compound Pumps,532.49,452.62,316.83,Each,1,4,,0,
451001,4-771CASE-F,Compound Pump & Accessories Case w/Foam Insert (No Tool),LEVEL5,Drywall Auto Tools,Storage,133.49,113.47,79.43,Each,1,4,,0,
449544,4-772,Mini-Shot Compound Dispenser,LEVEL5,Drywall Auto Tools,Compound Dispensers,1099.99,934.99,654.49,Each,1,4,,0,
449546,4-773,"Mini-Shot 18"" Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,86.99,73.94,51.76,Each,6,6,,0,
449549,4-777,"50""Corner Roller Fixed Hndl",LEVEL5,Drywall Auto Tools,Handles,108.49,92.22,64.55,Each,6,24,,0,
449553,4-778,"50""Corner Applicator Fixed Hndl",LEVEL5,Drywall Auto Tools,Handles,108.49,92.22,64.55,Each,6,24,,0,
449557,4-779,"54""Corner Finisher Hndl",LEVEL5,Drywall Auto Tools,Handles,108.49,92.22,64.55,Each,6,24,,0,
449559,4-780,"40""-62""Flat Box Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,357.49,303.87,212.71,Each,6,6,,0,
449561,4-781,"30""-42""Flat Box Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,346.49,294.52,206.16,Each,6,6,,0,
449563,4-782,"23""-32""Flat Box Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,324.99,276.24,193.37,Each,6,6,,0,
449566,4-792,"36""-52""Corner Roller Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,210.98000000000002,179.33,125.53,Each,6,6,,0,
449568,4-794,"40""-58""Corner Applicator Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,205.98000000000002,175.08,122.56,Each,6,6,,0,
449570,4-795,"39""-57""Corner Finisher Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,219.98000000000002,186.98,130.89,Each,6,6,,0,
449572,4-796,"47""-77""Corner Roller Ext Hndl",LEVEL5,Drywall Auto Tools,Handles,232.98000000000002,198.03,138.62,Each,6,6,,0,
