"brand","sku","name","category","cost","price"
"Columbia Tools","3BH","Columbia 180° Grip Flat Box Handle - 3'","Flat Box Handles","125.28","174.00"
"Columbia Tools","42BH","Columbia 180° Grip Flat Box Handle - 42""","Flat Box Handles","126.00","175.00"
"Columbia Tools","4BH","Columbia 180° Grip Flat Box Handle - 4'","Flat Box Handles","126.72","176.00"
"Columbia Tools","5BH","Columbia 180° Grip Flat Box Handle - 5'","Flat Box Handles","127.44","177.00"
"Columbia Tools","6BH","Columbia 180° Grip Flat Box Handle - 6'","Flat Box Handles","128.16","178.00"
"Columbia Tools","2AH","Columbia Angle Head - 2""","Angle Heads","257.76","358.00"
"Columbia Tools","2.5AH","Columbia Angle Head - 2.5""","Angle Heads","0.00","421.79"
"Columbia Tools","3AH","Columbia Angle Head - 3""","Angle Heads","264.24","367.00"
"Columbia Tools","3.5AH","Columbia Angle Head - 3.5""","Angle Heads","0.00","454.23"
"Columbia Tools","AHA","Columbia Angle Head Adapter","Angle Heads","0.00","24.87"
"Columbia Tools","8FBBA","Columbia Automatic Fat Boy Box - 8""","Automatic Flat Boxes","310.32","431.00"
"Columbia Tools","10FBBA","Columbia Automatic Fat Boy Box - 10""","Automatic Flat Boxes","313.20","435.00"
"Columbia Tools","12FBBA","Columbia Automatic Fat Boy Box - 12""","Automatic Flat Boxes","318.96","443.00"
"Columbia Tools","8FFBA","Columbia Automatic Flat Box - 8""","Automatic Flat Boxes","285.84","397.00"
"Columbia Tools","10FFBA","Columbia Automatic Flat Box - 10""","Automatic Flat Boxes","288.72","401.00"
"Columbia Tools","12FFBA","Columbia Automatic Flat Box - 12""","Automatic Flat Boxes","291.60","405.00"
"Columbia Tools","14FFBA","Columbia Automatic Flat Box - 14""","Automatic Flat Boxes","294.48","409.00"
"Columbia Tools","TAPER","Columbia Automatic Taper - Standard 53""","Automatic Tapers","1211.76","1683.00"
"Columbia Tools","PTAPER","Columbia Automatic Taper - Predator Carbon Fiber 53""","Automatic Tapers","0.00","1838.55"
"Columbia Tools","STAPER","Columbia Automatic Taper - Sawed Off 39""","Automatic Tapers","1211.76","1683.00"
"Columbia Tools","SPTAPER","Columbia Automatic Taper - Predator Sawed Off Carbon Fiber 39""","Automatic Tapers","1365.12","1896.00"
"Columbia Tools","ICATW","Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels","Mud Applicators","59.76","83.00"
"Columbia Tools","ICA2-1","Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""","Mud Applicators","35.28","49.00"
"Columbia Tools","ICA4-1","Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""","Mud Applicators","45.36","63.00"
"Columbia Tools","CEXT90","Columbia Billet Mud Applicator - External 90","Mud Applicators","70.56","98.00"
"Columbia Tools","CFLT","Columbia Billet Mud Applicator - Flat","Mud Applicators","43.20","60.00"
"Columbia Tools","BF","Columbia Box Filler - Standard","Pumps & Adapters","37.44","52.00"
"Columbia Tools","TBBF","Columbia Box Filler - Tall Boy","Pumps & Adapters","37.44","52.00"
"Columbia Tools","CLT24","Columbia Cam Lock Tube - 24""","Semi-Automatic Tools","169.92","236.00"
"Columbia Tools","CLT32","Columbia Cam Lock Tube - 32""","Semi-Automatic Tools","174.24","242.00"
"Columbia Tools","CLT42","Columbia Cam Lock Tube - 42""","Semi-Automatic Tools","184.32","256.00"
