sku,type,parent_sku,gallery_position,filename,url,mapping_reason
COL-AUTOMATIC-FAT-BOY-BOX,variable,,6,columbia_tools_12fbba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_12fbba_01.webp,wc_export_order_preserved
COL-AUTOMATIC-FLAT-BOX,variable,,1,columbia_tools_8fbba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_8fbba_01.webp,wc_export_order_preserved
COL-AUTOMATIC-FLAT-BOX,variable,,2,columbia_tools_8ffba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_8ffba_01.webp,wc_export_order_preserved
COL-AUTOMATIC-FLAT-BOX,variable,,3,columbia_tools_10fbba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_10fbba_01.webp,wc_export_order_preserved
COL-AUTOMATIC-FLAT-BOX,variable,,4,columbia_tools_10ffba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_10ffba_01.webp,wc_export_order_preserved
COL-AUTOMATIC-FLAT-BOX,variable,,5,columbia_tools_12fbba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_12fbba_01.webp,wc_export_order_preserved
COL-AUTOMATIC-FLAT-BOX,variable,,6,columbia_tools_12ffba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_12ffba_01.webp,wc_export_order_preserved
COL-AUTOMATIC-FLAT-BOX,variable,,7,columbia_tools_14ffba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_14ffba_01.webp,wc_export_order_preserved
COL-AUTOMATIC-FLAT-BOX,variable,,8,columbia_tools_8fbba_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_8fbba_02.webp,wc_export_order_preserved
COL-AUTOMATIC-FLAT-BOX,variable,,9,columbia_tools_8fbba_03.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_8fbba_03.webp,wc_export_order_preserved
3.5AH,variation,COL-ANGLE-HEAD,1,columbia_tools_3_5ah_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3_5ah_01.webp,wc_export_order_preserved
8FBBA,variation,COL-AUTOMATIC-FAT-BOY-BOX,1,columbia_tools_8fbba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_8fbba_01.webp,wc_export_order_preserved
8FBBA,variation,COL-AUTOMATIC-FAT-BOY-BOX,2,columbia_tools_8fbba_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_8fbba_02.webp,optimized_append
8FBBA,variation,COL-AUTOMATIC-FAT-BOY-BOX,3,columbia_tools_8fbba_03.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_8fbba_03.webp,optimized_append
10FBBA,variation,COL-AUTOMATIC-FAT-BOY-BOX,1,columbia_tools_10fbba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_10fbba_01.webp,wc_export_order_preserved
12FBBA,variation,COL-AUTOMATIC-FAT-BOY-BOX,1,columbia_tools_12fbba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_12fbba_01.webp,wc_export_order_preserved
8FFBA,variation,COL-AUTOMATIC-FLAT-BOX,1,columbia_tools_8ffba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_8ffba_01.webp,wc_export_order_preserved
10FFBA,variation,COL-AUTOMATIC-FLAT-BOX,1,columbia_tools_10ffba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_10ffba_01.webp,wc_export_order_preserved
12FFBA,variation,COL-AUTOMATIC-FLAT-BOX,1,columbia_tools_12ffba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_12ffba_01.webp,wc_export_order_preserved
14FFBA,variation,COL-AUTOMATIC-FLAT-BOX,1,columbia_tools_14ffba_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_14ffba_01.webp,wc_export_order_preserved
COL-AUTOMATIC-TAPER,variable,,1,columbia_tools_taper_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_taper_01.webp,wc_export_order_preserved
COL-AUTOMATIC-TAPER,variable,,2,columbia_tools_taper_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_taper_02.webp,wc_export_order_preserved
COL-AUTOMATIC-TAPER,variable,,3,columbia_tools_taper_03.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_taper_03.webp,wc_export_order_preserved
COL-AUTOMATIC-TAPER,variable,,4,columbia_tools_taper_04.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_taper_04.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,1,columbia_tools_ica21_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ica21_01.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,2,columbia_tools_ica21_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ica21_02.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,3,columbia_tools_ica41_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ica41_01.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,4,columbia_tools_ica41_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ica41_02.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,5,columbia_tools_cext90_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_cext90_01.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,6,columbia_tools_cflt_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_cflt_01.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,7,columbia_tools_cext90_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_cext90_02.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,8,columbia_tools_cflt_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_cflt_02.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,9,columbia_tools_icatw_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_icatw_01.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,10,columbia_tools_icatw_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_icatw_02.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,11,columbia_tools_oa90_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_oa90_01.webp,wc_export_order_preserved
COL-BILLET-MUD-APPLICATOR,variable,,12,columbia_tools_oa90a_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_oa90a_01.webp,wc_export_order_preserved
