sku,name,type,brand,product_kind,category_key,display_category_key,finding,workflow,field,current_value
HFFB14,Flat Box Hinged Door Gasket,variable,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FFB25,Rubber Gasket Retainer,variable,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
AH3,Top Blade,variable,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA380,"1/8"" SS E-Clip",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA225,"1/8"" x 3/8"" Rivet Shoulder Washer",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA224,"1/8"" x 3/8"" Split Pin",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA271,10-24 Nyloc Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA272,10-24 Wing Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA273,"10-24 x 1"" Hex Bolt",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA312,"10-24 X 1/4"" Socket Hand Set",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA274,"10-24 x 3/8"" Socket",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA275,"10-24 x 7/8"" Hex Bolt",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA276,"10-24 x 7/8"" Pan Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
