universal_part_id,canonical_name,part_family,brands,catalog_skus,searched_skus,selected_sku,image_file,source_image_path,match_type
SCREW-4-40-X-5-16-BINDER-HEAD,4-40 x 5/16 Binder Head Screw,screw,Asgard;Columbia;TapeTech,FA215,FA215;4434;059156,FA215,products/Production/launch/universal_parts/images/screw-4-40-x-5-16-binder-head.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA215_01_1.jpg?v=1766167890,exact_csr_flipbook_shopify_variant_image
SCREW-5-16-18-X-7-8-HEX-HEAD,5/16-18 x 7/8 Hex Head Screw,screw,Asgard;Level5,,4650;709023;7341,709023,products/Production/launch/universal_parts/images/screw-5-16-18-x-7-8-hex-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-709023-01.webp,exact_local_occurrence_sku_filename
SCREW-6-32-X-1-2-FILLISTER-HEAD,6-32 x 1/2 Fillister Head Screw,screw,Asgard;Columbia;Level5;Platinum;TapeTech,FA245;059091,FA245;059091;4417;FA;7075,FA245,products/Production/launch/universal_parts/images/screw-6-32-x-1-2-fillister-head.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA245_01_1_43f6e6a5-5317-4f4d-8b3d-2ef564b41c39.jpg?v=1764001218,exact_csr_flipbook_shopify_variant_image
SCREW-6-32-X-1-4-BINDER-HEAD,6-32 x 1/4 Binder Head Screw,screw,Asgard;Columbia;Level5;TapeTech,FA239,FA239;4771;359005;FA;7312,FA239,products/Production/launch/universal_parts/images/screw-6-32-x-1-4-binder-head.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA239_01_1_ed048456-6561-4495-9e6f-34bddeccc60b.jpg?v=1763480525,exact_csr_flipbook_shopify_variant_image
SCREW-6-32-X-1-4-FILLISTER-HEAD,6-32 x 1/4 Fillister Head Screw,screw,Asgard;Level5;Platinum;TapeTech,,4390;059015;7012,209012,products/Production/launch/universal_parts/images/screw-6-32-x-1-4-fillister-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-209012-01.webp,representative_local_sibling_sku:209012
SCREW-8-32-X-3-8-BINDER-HEAD,8-32 x 3/8 Binder Head Screw,screw,Asgard;TapeTech,,4670;729064,729064,products/Production/launch/universal_parts/images/screw-8-32-x-3-8-binder-head.webp,products/scraped_results/brands/TapeTech/images/tapetech-729064-01.webp,exact_local_occurrence_sku_filename
SCREW-8-32-X-5-8-TRUSS,8-32 x 5/8 Truss Head Screw,screw,Asgard;TapeTech,,4428;059127,,,,missing
SET-SCREW-1-4-28-X-1-4,1/4-28 x 1/4 Set Screw,set screw,Columbia;TapeTech,FA302,FA302;809024,FA302,products/Production/launch/universal_parts/images/set-screw-1-4-28-x-1-4.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA302_01_1.jpg?v=1764182613,exact_csr_flipbook_shopify_variant_image
SET-SCREW-4-40-X-1-8,4-40 x 1/8 Set Screw,set screw,Columbia;TapeTech,FAZ1S,FAZ1S,,,,missing_exact_image_no_fallback
SET-SCREW-6-32-X-1-8,6-32 x 1/8 Set Screw,set screw,Columbia;TapeTech,FA235;FAZ21S,FA235;FAZ21S;FA;489013,FA235,products/Production/launch/universal_parts/images/set-screw-6-32-x-1-8.png,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA235_01_1.png?v=1764182413,exact_csr_flipbook_shopify_variant_image
WASHER-6-FLAT,#6 Flat Washer,washer,Asgard;Columbia;TapeTech,FA228,FA228;4849;489023;FA,FA228,products/Production/launch/universal_parts/images/washer-6-flat.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA228_01_1.jpg?v=1763480514,exact_csr_flipbook_shopify_variant_image
WASHER-6-LOCK,#6 Lock Washer,washer,Asgard;Columbia;Level5;TapeTech,FA229,FA229;4391;059016;FA;7013,FA229,products/Production/launch/universal_parts/images/washer-6-lock.jpg,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA229_01_1.jpg?v=1746450090,exact_csr_flipbook_shopify_variant_image
WASHER-8-LOCK,#8 Lock Washer,washer,Asgard;Columbia;TapeTech,FA28,FA28;4688;809017,809017,products/Production/launch/universal_parts/images/washer-8-lock.webp,drywalltoolbox/wp/wp-content/uploads/2026/05/tapetech-8-medium-spring-lockwasher-809017-01-480x480.webp,exact_local_occurrence_sku_filename
